energy_ev,total_up,Bi_p_up,Bi_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-3.68284142,0.74610633,0.37556473,0.00427685,0.35747181,0.24510203,0.00604449,0.14837804
-3.67683842,0.73757097,0.37313797,0.00409375,0.35312815,0.24711310,0.00659311,0.14040865
-3.67083542,0.73395372,0.37278391,0.00393452,0.35180975,0.25059789,0.00716732,0.13422300
-3.66483242,0.73518541,0.37451452,0.00380170,0.35334530,0.25548945,0.00776043,0.12978938
-3.65882941,0.74109406,0.37828883,0.00369739,0.35750990,0.26168514,0.00836481,0.12705939
-3.65282641,0.75141255,0.38401483,0.00362325,0.36403253,0.26904962,0.00897203,0.12597135
-3.64682341,0.76578881,0.39155299,0.00358044,0.37260434,0.27741892,0.00957304,0.12645367
-3.64082041,0.78379807,0.40072115,0.00356972,0.38288773,0.28660536,0.01015848,0.12842772
-3.63481741,0.80495679,0.41130049,0.00359135,0.39452608,0.29640318,0.01071886,0.13181058
-3.62881441,0.82873780,0.42304250,0.00364522,0.40715375,0.30659469,0.01124494,0.13651719
-3.62281141,0.85458607,0.43567658,0.00373077,0.42040620,0.31695673,0.01172795,0.14246225
-3.61680840,0.88193455,0.44891787,0.00384706,0.43392989,0.32726713,0.01215997,0.14956159
-3.61080540,0.91021954,0.46247518,0.00399278,0.44739175,0.33731095,0.01253414,0.15773324
-3.60480240,0.93889498,0.47605859,0.00416623,0.46048772,0.34688623,0.01284499,0.16689800
-3.59879940,0.96744526,0.48938648,0.00436537,0.47295034,0.35580913,0.01308861,0.17697976
-3.59279640,0.99539611,0.50219182,0.00458779,0.48455487,0.36391808,0.01326284,0.18790546
-3.58679340,1.02232328,0.51422751,0.00483077,0.49512392,0.37107702,0.01336740,0.19960483
-3.58079040,1.04785899,0.52527069,0.00509124,0.50453031,0.37717750,0.01340393,0.21200988
-3.57478739,1.07169588,0.53512599,0.00536581,0.51269811,0.38213966,0.01337600,0.22505438
-3.56878439,1.09358874,0.54362777,0.00565082,0.51960189,0.38591217,0.01328902,0.23867317
-3.56278139,1.11335412,0.55064125,0.00594236,0.52526404,0.38847114,0.01315012,0.25280150
-3.55677839,1.13086807,0.55606302,0.00623629,0.52975057,0.38981819,0.01296794,0.26737444
-3.55077539,1.14606233,0.55982055,0.00652833,0.53316531,0.38997786,0.01275241,0.28232629
-3.54477239,1.15891935,0.56187136,0.00681411,0.53564294,0.38899445,0.01251444,0.29759016
-3.53876938,1.16946639,0.56220161,0.00708926,0.53734099,0.38692865,0.01226561,0.31309756
-3.53276638,1.17776911,0.56082441,0.00734950,0.53843134,0.38385399,0.01201785,0.32877815
-3.52676338,1.18392486,0.55777798,0.00759070,0.53909127,0.37985336,0.01178306,0.34455943
-3.52076038,1.18805586,0.55312355,0.00780904,0.53949469,0.37501580,0.01157276,0.36036657
-3.51475738,1.19030251,0.54694328,0.00800106,0.53980366,0.36943352,0.01139776,0.37612211
-3.50875438,1.19081687,0.53933796,0.00816375,0.54016067,0.36319937,0.01126783,0.39174565
-3.50275138,1.18975635,0.53042465,0.00829467,0.54068180,0.35640469,0.01119140,0.40715344
-3.49674837,1.18727773,0.52033416,0.00839194,0.54145114,0.34913767,0.01117529,0.42225794
-3.49074537,1.18353142,0.50920829,0.00845437,0.54251656,0.34148197,0.01122451,0.43696717
-3.48474237,1.17865605,0.49719692,0.00848140,0.54388699,0.33351582,0.01134204,0.45118420
-3.47873937,1.17277348,0.48445481,0.00847317,0.54553136,0.32531132,0.01152876,0.46480653
-3.47273637,1.16598427,0.47113826,0.00843042,0.54737911,0.31693405,0.01178335,0.47772565
-3.46673337,1.15836373,0.45740157,0.00835451,0.54932233,0.30844279,0.01210228,0.48982685
