energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-5.03351676,1.94409097,0.01185153,0.02191116,0.06927300,1.44527256,0.50568395,0.14709787
-5.02751376,1.89186518,0.01123821,0.02159837,0.06644296,1.40563319,0.49845809,0.14099573
-5.02151076,1.83722758,0.01060145,0.02128648,0.06353267,1.36412634,0.49010949,0.13479529
-5.01550775,1.78063938,0.00994904,0.02097523,0.06057471,1.32111359,0.48071102,0.12855847
-5.00950475,1.72252915,0.00928916,0.02066302,0.05760052,1.27693466,0.47034242,0.12234241
-5.00350175,1.66329755,0.00863018,0.02034721,0.05464020,1.23191051,0.45909082,0.11619949
-4.99749875,1.60332495,0.00798050,0.02002447,0.05172244,1.18634855,0.44705180,0.11017772
-4.99149575,1.54298152,0.00734838,0.01969109,0.04887452,1.14054954,0.43433077,0.10432136
-4.98549275,1.48263886,0.00674184,0.01934346,0.04612246,1.09481574,0.42104472,0.09867163
-4.97948974,1.42268239,0.00616856,0.01897841,0.04349120,1.04945947,0.40732400,0.09326769
-4.97348674,1.36352350,0.00563580,0.01859364,0.04100485,1.00481158,0.39331409,0.08814750
-4.96748374,1.30561055,0.00515043,0.01818805,0.03868699,0.96122908,0.37917703,0.08334881
-4.96148074,1.24943781,0.00471883,0.01776202,0.03656093,0.91910125,0.36509243,0.07890992
-4.95547774,1.19555160,0.00434705,0.01731769,0.03464995,0.87885378,0.35125776,0.07487036
-4.94947474,1.14455290,0.00404073,0.01685903,0.03297747,0.84095033,0.33788778,0.07127137
-4.94347174,1.09709593,0.00380525,0.01639191,0.03156713,0.80589120,0.32521304,0.06815602
-4.93746873,1.05388244,0.00364578,0.01592408,0.03044274,0.77420881,0.31347727,0.06556915
-4.93146573,1.01565153,0.00356729,0.01546499,0.02962810,0.74646004,0.30293360,0.06355690
-4.92546273,0.98316506,0.00357465,0.01502557,0.02914669,0.72321529,0.29383981,0.06216591
-4.91945973,0.95718911,0.00367259,0.01461792,0.02902116,0.70504466,0.28645242,0.06144225
-4.91345673,0.93847177,0.00386575,0.01425490,0.02927268,0.69250148,0.28101993,0.06143000
-4.90745373,0.92771809,0.00415859,0.01394971,0.02992019,0.68610372,0.27777536,0.06216955
-4.90145073,0.92556302,0.00455531,0.01371542,0.03097949,0.68631393,0.27692830,0.06369572
-4.89544772,0.93254316,0.00505970,0.01356442,0.03246225,0.69351834,0.27865667,0.06603572
-4.88944472,0.94906868,0.00567499,0.01350798,0.03437498,0.70800602,0.28309867,0.06920701
-4.88344172,0.97539620,0.00640362,0.01355572,0.03671800,0.72994886,0.29034502,0.07321524
-4.87743872,1.01160418,0.00724702,0.01371516,0.03948444,0.75938330,0.30043202,0.07805228
-4.87143572,1.05757169,0.00820528,0.01399135,0.04265939,0.79619471,0.31333564,0.08369443
-4.86543272,1.11296182,0.00927697,0.01438649,0.04621913,0.84010519,0.32896696,0.09010105
-4.85942971,1.17721078,0.01045879,0.01489971,0.05013067,0.89066563,0.34716932,0.09721350
-4.85342671,1.24952345,0.01174534,0.01552691,0.05435150,0.94725268,0.36771735,0.10495470
-4.84742371,1.32887619,0.01312892,0.01626067,0.05882967,1.00907115,0.39031804,0.11322921
-4.84142071,1.41402724,0.01459936,0.01709030,0.06350417,1.07516219,0.41461413,0.12192395
-4.83541771,1.50353497,0.01614391,0.01800199,0.06830574,1.14441737,0.44018967,0.13090960
-4.82941471,1.59578387,0.01774723,0.01897910,0.07315799,1.21559859,0.46657775,0.14004273
-4.82341171,1.68901771,0.01939148,0.02000243,0.07797886,1.28736346,0.49327037,0.14916847
-4.81740870,1.78137916,0.02105650,0.02105075,0.08268243,1.35829557,0.51973008,0.15812386
-4.81140570,1.87095480,0.02272009,0.02210128,0.08718097,1.42693873,0.54540312,0.16674167
-4.80540270,1.95582403,0.02435836,0.02313031,0.09138720,1.49183421,0.56973370,0.17485455
-4.79939970,2.03411028,0.02594630,0.02411381,0.09521661,1.55155968,0.59217879,0.18229949
-4.79339670,2.10403267,0.02745824,0.02502811,0.09858990,1.60476841,0.61222313,0.18892232
-4.78739370,2.16395621,0.02886856,0.02585056,0.10143528,1.65022729,0.62939368,0.19458208
-4.78139070,2.21243860,0.03015235,0.02656020,0.10369061,1.68685220,0.64327312,0.19915515
-4.77538769,2.24827170,0.03128607,0.02713833,0.10530530,1.71373927,0.65351172,0.20253886
-4.76938469,2.27051601,0.03224827,0.02756905,0.10624184,1.73019079,0.65983732,0.20465462
-4.76338169,2.27852683,0.03302027,0.02783973,0.10647694,1.73573460,0.66206274,0.20545015
-4.75737869,2.27197084,0.03358667,0.02794134,0.10600219,1.73013636,0.66009054,0.20490097
-4.75137569,2.25083264,0.03393594,0.02786868,0.10482424,1.71340391,0.65391493,0.20301096
