energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
0.92146073,2.98790130,-4.08831141,0.02700949,-0.02391204,0.11711663,-0.11216974,0.75898180,-1.09186335,1.14484286,-1.78582571,1.09015117,-1.30561678,1.51545498,-1.85950043,0.24875002,-0.38435469,0.00000000,-0.00000000
0.92746373,2.89935603,-4.04982574,0.02709112,-0.02325432,0.11534751,-0.11712634,0.73238270,-1.08903088,1.10361232,-1.78303612,1.06593344,-1.26197329,1.47961299,-1.81581376,0.24037759,-0.39019775,0.00000000,-0.00000000
0.93346673,2.80991593,-4.00827715,0.02720791,-0.02261227,0.11366353,-0.12196947,0.70615224,-1.08533903,1.06386872,-1.77869379,1.03864396,-1.21783488,1.44078690,-1.77071732,0.23243901,-0.39510766,0.00000000,-0.00000000
0.93946973,2.72020279,-3.96458393,0.02738172,-0.02199732,0.11205558,-0.12664278,0.68034042,-1.08084259,1.02593912,-1.77301990,1.00846445,-1.17397255,1.39911657,-1.72499069,0.22502909,-0.39899785,0.00000000,-0.00000000
0.94547274,2.63080553,-3.91962601,0.02763512,-0.02142082,0.11050787,-0.13109060,0.65498299,-1.07558881,0.99010984,-1.76623681,0.97561816,-1.13111430,1.35477458,-1.67938593,0.21822847,-0.40179047,0.00000000,-0.00000000
0.95147574,2.54228411,-3.87421924,0.02799073,-0.02089378,0.10899905,-0.13525917,0.63010630,-1.06961774,0.95662659,-1.75855782,0.94036960,-1.08992545,1.30797140,-1.63460993,0.21210383,-0.40341837,0.00000000,-0.00000000
0.95747874,2.45517431,-3.82909299,0.02847051,-0.02042670,0.10750367,-0.13909798,0.60573213,-1.06296301,0.92569555,-1.75017758,0.90302318,-1.05099186,1.25895938,-1.59130865,0.20670876,-0.40382710,0.00000000,-0.00000000
0.96348174,2.36999274,-3.78487141,0.02909498,-0.02002928,0.10599374,-0.14256099,0.58188237,-1.05565297,0.89748511,-1.74126347,0.86392071,-1.01480669,1.20803509,-1.55005390,0.20208509,-0.40297686,0.00000000,-0.00000000
0.96948474,2.28724143,-3.74205908,0.02988252,-0.01971018,0.10444043,-0.14560772,0.55858316,-1.04771206,0.87212819,-1.73194837,0.82343748,-0.98176085,1.15553986,-1.51133266,0.19826453,-0.40084429,0.00000000,-0.00000000
0.97548774,2.20741160,-3.70103101,0.03084865,-0.01947676,0.10281579,-0.14820426,0.53586854,-1.03916211,0.84972480,-1.72232504,0.78197735,-0.95213745,1.10185829,-1.47553920,0.19527064,-0.39742406,0.00000000,-0.00000000
