energy_ev,total_up,B_p_up,B_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-5.27963982,3.01493224,0.20562224,0.00000000,1.34364644,0.99349443,1.47822351,0.00000000
-5.27363682,3.10603107,0.21679491,0.00000000,1.37638525,1.03493438,1.51464574,0.00000000
-5.26763382,3.18908120,0.22868827,0.00000000,1.40569637,1.07612082,1.54498674,0.00000000
-5.26163082,3.26325304,0.24121095,0.00000000,1.43119295,1.11682445,1.56887135,0.00000000
-5.25562781,3.32793334,0.25426574,0.00000000,1.45260203,1.15682773,1.58606941,0.00000000
-5.24962481,3.38271424,0.26774603,0.00000000,1.46975943,1.19591487,1.59649524,0.00000000
-5.24362181,3.42737659,0.28153264,0.00000000,1.48260218,1.23386189,1.60020263,0.00000000
-5.23761881,3.46186873,0.29549135,0.00000000,1.49115882,1.27042769,1.59737591,0.00000000
-5.23161581,3.48628257,0.30947135,0.00000000,1.49553844,1.30534686,1.58831762,0.00000000
-5.22561281,3.50082830,0.32330480,0.00000000,1.49591889,1.33832493,1.57343347,0.00000000
-5.21960980,3.50580972,0.33680758,0.00000000,1.49253487,1.36903675,1.55321542,0.00000000
-5.21360680,3.50160142,0.34978151,0.00000000,1.48566645,1.39712835,1.52822360,0.00000000
-5.20760380,3.48862937,0.36201773,0.00000000,1.47562848,1.42222253,1.49906806,0.00000000
-5.20160080,3.46735561,0.37330152,0.00000000,1.46276127,1.44392806,1.46639090,0.00000000
-5.19559780,3.43826792,0.38341810,0.00000000,1.44742260,1.46185230,1.43084963,0.00000000
-5.18959480,3.40187437,0.39215938,0.00000000,1.42998143,1.47561670,1.39310209,0.00000000
-5.18359180,3.35870277,0.39933131,0.00000000,1.41081288,1.48487443,1.35379345,0.00000000
-5.17758879,3.30930418,0.40476150,0.00000000,1.39029465,1.48932919,1.31354543,0.00000000
-5.17158579,3.25425965,0.40830666,0.00000000,1.36880436,1.48875434,1.27294770,0.00000000
-5.16558279,3.19418909,0.40985975,0.00000000,1.34671761,1.48301107,1.23255164,0.00000000
-5.15957979,3.12976084,0.40935607,0.00000000,1.32440643,1.47206485,1.19286590,0.00000000
-5.15357679,3.06170075,0.40677844,0.00000000,1.30223770,1.45599887,1.15435388,0.00000000
-5.14757379,2.99079965,0.40216076,0.00000000,1.28057144,1.43502402,1.11743253,0.00000000
-5.14157079,2.91791810,0.39559014,0.00000000,1.25975860,1.40948457,1.08247235,0.00000000
-5.13556778,2.84398777,0.38720714,0.00000000,1.24013843,1.37985925,1.04979823,0.00000000
-5.12956478,2.77000908,0.37720443,0.00000000,1.22203544,1.34675773,1.01969095,0.00000000
-5.12356178,2.69704503,0.36582356,0.00000000,1.20575594,1.31091241,0.99238909,0.00000000
-5.11755878,2.62621132,0.35335033,0.00000000,1.19158452,1.27316608,0.96809137,0.00000000
-5.11155578,2.55866341,0.34010868,0.00000000,1.17978074,1.23445595,0.94695916,0.00000000
-5.10555278,2.49558107,0.32645350,0.00000000,1.17057607,1.19579452,0.92911932,0.00000000
-5.09954977,2.43815111,0.31276250,0.00000000,1.16417166,1.15824840,0.91466723,0.00000000
-5.09354677,2.38754912,0.29942765,0.00000000,1.16073678,1.12291549,0.90366998,0.00000000
-5.08754377,2.34492075,0.28684618,0.00000000,1.16040825,1.09090146,0.89616969,0.00000000
-5.08154077,2.31136307,0.27541161,0.00000000,1.16329077,1.06329612,0.89218682,0.00000000
-5.07553777,2.28790627,0.26550503,0.00000000,1.16945785,1.04115019,0.89172328,0.00000000
-5.06953477,2.27549575,0.25748661,0.00000000,1.17895335,1.02545289,0.89476516,0.00000000
-5.06353177,2.27497457,0.25168776,0.00000000,1.19179294,1.01711063,0.90128469,0.00000000
-5.05752876,2.28706579,0.24840385,0.00000000,1.20796537,1.01692695,0.91124135,0.00000000
-5.05152576,2.31235467,0.24788761,0.00000000,1.22743291,1.02558380,0.92458166,0.00000000
-5.04552276,2.35127017,0.25034329,0.00000000,1.25013065,1.04362418,0.94123749,0.00000000
