energy_ev,total_up,Cd_p_up,Cd_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-5.09954977,1.40615146,0.75566619,0.11556604,0.26210934,0.00000000,0.57722985,0.00000000
-5.09354677,1.35922867,0.73178584,0.11173460,0.25256811,0.00000000,0.55941406,0.00000000
-5.08754377,1.30606226,0.70404635,0.10740452,0.24204386,0.00000000,0.53854920,0.00000000
-5.08154077,1.24749109,0.67297286,0.10264646,0.23063984,0.00000000,0.51506127,0.00000000
-5.07553777,1.18448124,0.63915588,0.09754170,0.21848427,0.00000000,0.48942550,0.00000000
-5.06953477,1.11809557,0.60323316,0.09217962,0.20572564,0.00000000,0.46215210,0.00000000
-5.06353177,1.04946113,0.56587087,0.08665514,0.19252719,0.00000000,0.43377159,0.00000000
-5.05752876,0.97973606,0.52774497,0.08106589,0.17906132,0.00000000,0.40482041,0.00000000
-5.05152576,0.91007725,0.48952344,0.07550962,0.16550384,0.00000000,0.37582725,0.00000000
-5.04552276,0.84161014,0.45185011,0.07008165,0.15202863,0.00000000,0.34730059,0.00000000
-5.03951976,0.77540169,0.41533057,0.06487260,0.13880273,0.00000000,0.31971794,0.00000000
-5.03351676,0.71243725,0.38052050,0.05996641,0.12598216,0.00000000,0.29351689,0.00000000
-5.02751376,0.65360192,0.34791670,0.05543874,0.11370856,0.00000000,0.26908826,0.00000000
-5.02151076,0.59966664,0.31795075,0.05135571,0.10210672,0.00000000,0.24677117,0.00000000
-5.01550775,0.55127886,0.29098536,0.04777300,0.09128303,0.00000000,0.22685023,0.00000000
-5.00950475,0.50895775,0.26731307,0.04473534,0.08132483,0.00000000,0.20955439,0.00000000
-5.00350175,0.47309331,0.24715704,0.04227630,0.07230052,0.00000000,0.19505746,0.00000000
-4.99749875,0.44394900,0.23067360,0.04041833,0.06426037,0.00000000,0.18347983,0.00000000
-4.99149575,0.42166707,0.21795602,0.03917312,0.05723791,0.00000000,0.17489119,0.00000000
-4.98549275,0.40627615,0.20903931,0.03854204,0.05125163,0.00000000,0.16931397,0.00000000
-4.97948974,0.39770026,0.20390541,0.03851681,0.04630698,0.00000000,0.16672714,0.00000000
-4.97348674,0.39576886,0.20248871,0.03908022,0.04239844,0.00000000,0.16707023,0.00000000
-4.96748374,0.40022723,0.20468130,0.04020694,0.03951154,0.00000000,0.17024733,0.00000000
-4.96148074,0.41074709,0.21033810,0.04186436,0.03762467,0.00000000,0.17613090,0.00000000
-4.95547774,0.42693686,0.21928144,0.04401345,0.03671074,0.00000000,0.18456540,0.00000000
-4.94947474,0.44835166,0.23130515,0.04660966,0.03673841,0.00000000,0.19537070,0.00000000
-4.94347174,0.47450282,0.24617822,0.04960377,0.03767308,0.00000000,0.20834514,0.00000000
-4.93746873,0.50486685,0.26364788,0.05294281,0.03947746,0.00000000,0.22326852,0.00000000
-4.93146573,0.53889401,0.28344248,0.05657092,0.04211184,0.00000000,0.23990491,0.00000000
-4.92546273,0.57601647,0.30527391,0.06043020,0.04553406,0.00000000,0.25800542,0.00000000
-4.91945973,0.61565605,0.32884004,0.06446165,0.04969927,0.00000000,0.27731100,0.00000000
-4.91345673,0.65723171,0.35382703,0.06860600,0.05455944,0.00000000,0.29755540,0.00000000
-4.90745373,0.70016677,0.37991177,0.07280458,0.06006289,0.00000000,0.31846822,0.00000000
-4.90145073,0.74389573,0.40676441,0.07700013,0.06615366,0.00000000,0.33977819,0.00000000
-4.89544772,0.78787092,0.43405111,0.08113763,0.07277100,0.00000000,0.36121663,0.00000000
-4.88944472,0.83156863,0.46143706,0.08516501,0.07984894,0.00000000,0.38252107,0.00000000
-4.88344172,0.87449490,0.48858959,0.08903381,0.08731599,0.00000000,0.40343896,0.00000000
-4.87743872,0.91619069,0.51518162,0.09269985,0.09509506,0.00000000,0.42373155,0.00000000
-4.87143572,0.95623660,0.54089511,0.09612363,0.10310362,0.00000000,0.44317757,0.00000000
-4.86543272,0.99425678,0.56542466,0.09927082,0.11125408,0.00000000,0.46157697,0.00000000
-4.85942971,1.02992233,0.58848110,0.10211251,0.11945440,0.00000000,0.47875438,0.00000000
-4.85342671,1.06295390,0.60979502,0.10462544,0.12760904,0.00000000,0.49456222,0.00000000
-4.84742371,1.09312370,0.62912006,0.10679203,0.13562002,0.00000000,0.50888359,0.00000000
-4.84142071,1.12025691,0.64623614,0.10860046,0.14338832,0.00000000,0.52163451,0.00000000
-4.83541771,1.14423242,0.66095229,0.11004451,0.15081534,0.00000000,0.53276577,0.00000000
-4.82941471,1.16498319,0.67310920,0.11112346,0.15780463,0.00000000,0.54226409,0.00000000
-4.82341171,1.18249598,0.68258140,0.11184181,0.16426357,0.00000000,0.55015266,0.00000000
-4.81740870,1.19681068,0.68927900,0.11220908,0.17010523,0.00000000,0.55649092,0.00000000
-4.81140570,1.20801911,0.69314897,0.11223943,0.17525017,0.00000000,0.56137356,0.00000000
-4.80540270,1.21626321,0.69417592,0.11195136,0.17962815,0.00000000,0.56492876,0.00000000
-4.79939970,1.22173256,0.69238232,0.11136730,0.18317979,0.00000000,0.56731543,0.00000000
-4.79339670,1.22466107,0.68782819,0.11051318,0.18585797,0.00000000,0.56871966,0.00000000
-4.78739370,1.22532259,0.68061004,0.10941799,0.18762909,0.00000000,0.56935019,0.00000000
-4.78139070,1.22402549,0.67085927,0.10811321,0.18847393,0.00000000,0.56943298,0.00000000
-4.77538769,1.22110573,0.65873978,0.10663226,0.18838828,0.00000000,0.56920486,0.00000000
-4.76938469,1.21691874,0.64444493,0.10500984,0.18738310,0.00000000,0.56890644,0.00000000
-4.76338169,1.21182969,0.62819377,0.10328120,0.18548435,0.00000000,0.56877423,0.00000000
-4.75737869,1.20620256,0.61022657,0.10148133,0.18273237,0.00000000,0.56903239,0.00000000
-4.75137569,1.20038799,0.59079979,0.09964417,0.17918085,0.00000000,0.56988406,0.00000000
-4.74537269,1.19471038,0.57018055,0.09780163,0.17489537,0.00000000,0.57150282,0.00000000
-4.73936968,1.18945465,0.54864067,0.09598277,0.16995170,0.00000000,0.57402437,0.00000000
-4.73336668,1.18485326,0.52645056,0.09421282,0.16443366,0.00000000,0.57753908,0.00000000
-4.72736368,1.18107408,0.50387312,0.09251243,0.15843085,0.00000000,0.58208551,0.00000000
-4.72136068,1.17820992,0.48115780,0.09089687,0.15203626,0.00000000,0.58764552,0.00000000
-4.71535768,1.17627040,0.45853517,0.08937550,0.14534372,0.00000000,0.59414119,0.00000000
-4.70935468,1.17517684,0.43621209,0.08795134,0.13844556,0.00000000,0.60143402,0.00000000
-4.70335168,1.17476064,0.41436783,0.08662092,0.13143029,0.00000000,0.60932642,0.00000000
-4.69734867,1.17476576,0.39315115,0.08537436,0.12438063,0.00000000,0.61756584,0.00000000
-4.69134567,1.17485536,0.37267864,0.08419578,0.11737178,0.00000000,0.62585142,0.00000000
-4.68534267,1.17462260,0.35303425,0.08306388,0.11047014,0.00000000,0.63384308,0.00000000
-4.67933967,1.17360548,0.33427012,0.08195288,0.10373243,0.00000000,0.64117281,0.00000000
-4.67333667,1.17130504,0.31640859,0.08083369,0.09720522,0.00000000,0.64745769,0.00000000
-4.66733367,1.16720634,0.29944540,0.07967518,0.09092498,0.00000000,0.65231421,0.00000000
-4.66133067,1.16080123,0.28335376,0.07844570,0.08491852,0.00000000,0.65537328,0.00000000
-4.65532766,1.15161190,0.26808922,0.07711455,0.07920376,0.00000000,0.65629522,0.00000000
-4.64932466,1.13921405,0.25359496,0.07565358,0.07379088,0.00000000,0.65478407,0.00000000
-4.64332166,1.12325863,0.23980747,0.07403857,0.06868367,0.00000000,0.65060063,0.00000000
-4.63731866,1.10349098,0.22666206,0.07225055,0.06388109,0.00000000,0.64357349,0.00000000
-4.63131566,1.07976659,0.21409823,0.07027689,0.05937885,0.00000000,0.63360765,0.00000000
-4.62531266,1.05206254,0.20206455,0.06811212,0.05517105,0.00000000,0.62069032,0.00000000
-4.61930965,1.02048443,0.19052287,0.06575846,0.05125172,0.00000000,0.60489364,0.00000000
-4.61330665,0.98526819,0.17945180,0.06322603,0.04761628,0.00000000,0.58637428,0.00000000
-4.60730365,0.94677713,0.16884935,0.06053277,0.04426272,0.00000000,0.56536998,0.00000000
-4.60130065,0.90549428,0.15873465,0.05770401,0.04119272,0.00000000,0.54219330,0.00000000
-4.59529765,0.86201070,0.14914888,0.05477180,0.03841239,0.00000000,0.51722291,0.00000000
-4.58929465,0.81701022,0.14015537,0.05177404,0.03593283,0.00000000,0.49089290,0.00000000
-4.58329165,0.77125169,0.13183899,0.04875333,0.03377046,0.00000000,0.46368068,0.00000000
-4.57728864,0.72554933,0.12430491,0.04575581,0.03194707,0.00000000,0.43609397,0.00000000
-4.57128564,0.68075224,0.11767686,0.04282986,0.03048965,0.00000000,0.40865747,0.00000000
-4.56528264,0.63772376,0.11209500,0.04002475,0.02942997,0.00000000,0.38189980,0.00000000
-4.55927964,0.59732148,0.10771338,0.03738943,0.02880403,0.00000000,0.35634092,0.00000000
-4.55327664,0.56037831,0.10469723,0.03497126,0.02865125,0.00000000,0.33248068,0.00000000
-4.54727364,0.52768518,0.10321990,0.03281490,0.02901354,0.00000000,0.31078855,0.00000000
-4.54127064,0.49997548,0.10345968,0.03096132,0.02993411,0.00000000,0.29169472,0.00000000
-4.53526763,0.47791145,0.10559628,0.02944688,0.03145627,0.00000000,0.27558259,0.00000000
-4.52926463,0.46207235,0.10980714,0.02830261,0.03362195,0.00000000,0.26278274,0.00000000
-4.52326163,0.45294434,0.11626334,0.02755352,0.03647020,0.00000000,0.25356803,0.00000000
-4.51725863,0.45091195,0.12512527,0.02721815,0.04003550,0.00000000,0.24814992,0.00000000
-4.51125563,0.45625081,0.13653791,0.02730809,0.04434611,0.00000000,0.24667572,0.00000000
-4.50525263,0.46912157,0.15062576,0.02782769,0.04942227,0.00000000,0.24922662,0.00000000
-4.49924962,0.48956491,0.16748750,0.02877389,0.05527449,0.00000000,0.25581645,0.00000000
-4.49324662,0.51749761,0.18719043,0.03013605,0.06190191,0.00000000,0.26639096,0.00000000
-4.48724362,0.55270969,0.20976482,0.03189596,0.06929072,0.00000000,0.28082784,0.00000000
-4.48124062,0.59486303,0.23519838,0.03402798,0.07741292,0.00000000,0.29893721,0.00000000
-4.47523762,0.64349149,0.26343098,0.03649925,0.08622519,0.00000000,0.32046297,0.00000000
-4.46923462,0.69800307,0.29434999,0.03927009,0.09566828,0.00000000,0.34508496,0.00000000
-4.46323162,0.75768442,0.32778638,0.04229453,0.10566670,0.00000000,0.37242219,0.00000000
