energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-5.78389195,1.58316327,0.05241438,0.00121891,0.00392595,1.16974136,0.80748239,0.68773045
-5.77788894,1.58758058,0.05514757,0.00124192,0.00414286,1.16222647,0.79551684,0.68714042
-5.77188594,1.59278929,0.05795218,0.00126858,0.00435749,1.15513055,0.78484321,0.68656151
-5.76588294,1.59876651,0.06077957,0.00129809,0.00456501,1.14867759,0.77557045,0.68609502
-5.75987994,1.60546155,0.06358259,0.00132969,0.00476066,1.14306015,0.76778287,0.68582719
-5.75387694,1.61279852,0.06631725,0.00136267,0.00493994,1.13843400,0.76153730,0.68582709
-5.74787394,1.62068012,0.06894406,0.00139640,0.00509870,1.13491446,0.75686111,0.68614559
-5.74187094,1.62899223,0.07142927,0.00143033,0.00523329,1.13257427,0.75375088,0.68681501
-5.73586793,1.63760882,0.07374582,0.00146402,0.00534066,1.13144294,0.75217196,0.68784952
-5.72986493,1.64639660,0.07587393,0.00149715,0.00541849,1.13150738,0.75205861,0.68924599
-5.72386193,1.65521894,0.07780140,0.00152951,0.00546517,1.13271330,0.75331495,0.69098504
-5.71785893,1.66393852,0.07952344,0.00156102,0.00547991,1.13496739,0.75581620,0.69303223
-5.71185593,1.67241856,0.08104219,0.00159169,0.00546271,1.13813971,0.75941055,0.69533895
-5.70585293,1.68052225,0.08236588,0.00162162,0.00541434,1.14206627,0.76392118,0.69784318
-5.69984992,1.68811056,0.08350766,0.00165097,0.00533630,1.14655160,0.76914862,0.70046987
-5.69384692,1.69503874,0.08448418,0.00167995,0.00523074,1.15137122,0.77487338,0.70313099
-5.68784392,1.70115169,0.08531402,0.00170880,0.00510032,1.15627415,0.78085875,0.70572544
-5.68184092,1.70627904,0.08601604,0.00173772,0.00494819,1.16098555,0.78685403,0.70813889
-5.67583792,1.71023038,0.08660774,0.00176691,0.00477777,1.16520960,0.79259803,0.71024368
-5.66983492,1.71279160,0.08710379,0.00179649,0.00459268,1.16863307,0.79782313,0.71189918
-5.66383192,1.71372272,0.08751466,0.00182655,0.00439664,1.17092949,0.80225978,0.71295267
-5.65782891,1.71275807,0.08784572,0.00185706,0.00419327,1.17176437,0.80564162,0.71324100
-5.65182591,1.70960913,0.08809652,0.00188793,0.00398611,1.17080142,0.80771108,0.71259315
-5.64582291,1.70397015,0.08826059,0.00191900,0.00377843,1.16770992,0.80822548,0.71083372
-5.63981991,1.69552677,0.08832563,0.00195003,0.00357325,1.16217300,0.80696342,0.70778745
-5.63381691,1.68396714,0.08827403,0.00198074,0.00337329,1.15389672,0.80373133,0.70328448
-5.62781391,1.66899521,0.08808392,0.00201080,0.00318092,1.14261969,0.79836982,0.69716629
-5.62181091,1.65034534,0.08773033,0.00203991,0.00299825,1.12812266,0.79075963,0.68929208
-5.61580790,1.62779747,0.08718681,0.00206777,0.00282707,1.11023775,0.78082678,0.67954511
-5.60980490,1.60119183,0.08642700,0.00209411,0.00266899,1.08885677,0.76854664,0.66783878
-5.60380190,1.57044221,0.08542637,0.00211877,0.00252546,1.06393807,0.75394657,0.65412200
-5.59779890,1.53554681,0.08416385,0.00214163,0.00239783,1.03551161,0.73710691,0.63838355
-5.59179590,1.49659594,0.08262336,0.00216269,0.00228747,1.00368161,0.71816021,0.62065513
-5.58579290,1.45377588,0.08079504,0.00218204,0.00219581,0.96862690,0.69728841,0.60101276
-5.57978989,1.40736838,0.07867626,0.00219987,0.00212442,0.93059835,0.67471826,0.57957653
-5.57378689,1.35774594,0.07627215,0.00221643,0.00207508,0.88991385,0.65071481,0.55650853
-5.56778389,1.30536268,0.07359592,0.00223203,0.00204981,0.84695070,0.62557350,0.53200914
-5.56178089,1.25074141,0.07066864,0.00224703,0.00205086,0.80213574,0.59961088,0.50631163
-5.55577789,1.19445748,0.06751872,0.00226175,0.00208079,0.75593378,0.57315455,0.47967556
