energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-5.52576288,3.22146863,0.01799536,0.27158940,0.59656932,1.58199639,0.04471346,1.15942879
-5.51975988,3.18485956,0.01878407,0.27079247,0.60998759,1.54251162,0.04592036,1.15801662
-5.51375688,3.15732673,0.01960614,0.26998500,0.62540010,1.50738427,0.04738169,1.16073875
-5.50775388,3.14015235,0.02045609,0.26932256,0.64283743,1.47747494,0.04910830,1.16786891
-5.50175088,3.13437134,0.02132662,0.26895545,0.66226981,1.45353841,0.05110598,1.17956649
-5.49574787,3.14074772,0.02220862,0.26902391,0.68360523,1.43621048,0.05337507,1.19587140
-5.48974487,3.15976029,0.02309138,0.26965383,0.70669004,1.42599846,0.05591022,1.21670286
-5.48374187,3.19159836,0.02396286,0.27095326,0.73131205,1.42327624,0.05870033,1.24186209
-5.47773887,3.23616838,0.02481001,0.27300973,0.75720626,1.42828399,0.06172862,1.27103924
-5.47173587,3.29311130,0.02561920,0.27588860,0.78406310,1.44113280,0.06497289,1.30382439
-5.46573287,3.36183043,0.02637669,0.27963233,0.81153883,1.46181422,0.06840593,1.33972223
-5.45972986,3.44152864,0.02706917,0.28426076,0.83926776,1.49021423,0.07199613,1.37817012
-5.45372686,3.53125337,0.02768424,0.28977216,0.86687579,1.52613111,0.07570815,1.41855868
-5.44772386,3.62994732,0.02821094,0.29614517,0.89399457,1.56929633,0.07950380,1.46025410
-5.44172086,3.73650238,0.02864026,0.30334121,0.92027562,1.61939735,0.08334292,1.50262125
-5.43571786,3.84981390,0.02896547,0.31130735,0.94540376,1.67610104,0.08718440,1.54504648
-5.42971486,3.96883243,0.02918253,0.31997939,0.96910896,1.73907636,0.09098708,1.58695895
-5.42371186,4.09260988,0.02929023,0.32928492,0.99117618,1.80801488,0.09471080,1.62784958
-5.41770885,4.22033754,0.02929035,0.33914623,1.01145241,1.88264766,0.09831720,1.66728657
-5.41170585,4.35137342,0.02918760,0.34948294,1.02985063,1.96275734,0.10177059,1.70492661
-5.40570285,4.48525703,0.02898949,0.36021411,1.04635035,2.04818443,0.10503858,1.74052145
-5.39969985,4.62171062,0.02870606,0.37125980,1.06099459,2.13882685,0.10809259,1.77391916
-5.39369685,4.76062611,0.02834947,0.38254214,1.07388359,2.23463272,0.11090820,1.80506027
-5.38769385,4.90203834,0.02793357,0.39398563,1.08516531,2.33558600,0.11346533,1.83396883
-5.38169085,5.04608564,0.02747334,0.40551704,1.09502335,2.44168581,0.11574823,1.86073910
-5.37568784,5.19295979,0.02698433,0.41706471,1.10366289,2.55292010,0.11774534,1.88551832
-5.36968484,5.34284798,0.02648200,0.42855747,1.11129544,2.66923510,0.11944893,1.90848689
-5.36368184,5.49587012,0.02598120,0.43992330,1.11812316,2.79050214,0.12085473,1.92983684
-5.35767884,5.65201498,0.02549560,0.45108791,1.12432373,2.91648378,0.12196139,1.94974995
-5.35167584,5.81107924,0.02503716,0.46197334,1.13003659,3.04680134,0.12276991,1.96837678
-5.34567284,5.97261322,0.02461578,0.47249667,1.13535136,3.18090610,0.12328308,1.98581784
-5.33966983,6.13587687,0.02423893,0.48256925,1.14029905,3.31805611,0.12350491,2.00210808
-5.33366683,6.29980934,0.02391152,0.49209624,1.14484672,3.45730056,0.12344015,2.01720549
-5.32766383,6.46301461,0.02363574,0.50097679,1.14889589,3.59747342,0.12309388,2.03098468
