energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-5.50175088,12.66614634,0.54693328,5.56232309,0.01838190,1.41053361,4.54698497,3.81964440,0.07832114,1.48789771
-5.49574787,12.74863018,0.55354331,5.56990920,0.01869864,1.43427369,4.62165781,3.85636365,0.07865196,1.48984359
-5.48974487,12.82173084,0.55988571,5.57162244,0.01895019,1.45777009,4.69613872,3.89162855,0.07870329,1.49072511
-5.48374187,12.88466499,0.56595509,5.56733001,0.01912505,1.48083748,4.76994956,3.92511845,0.07847245,1.49052905
-5.47773887,12.93705752,0.57177756,5.55712702,0.01921451,1.50330337,4.84267443,3.95658912,0.07796455,1.48930074
-5.47173587,12.97893148,0.57740862,5.54132178,0.01921283,1.52501239,4.91397166,3.98587498,0.07719205,1.48713979
-5.46573287,13.01067840,0.58292966,5.52041197,0.01911720,1.54582948,4.98358161,4.01288609,0.07617416,1.48419280
-5.45972986,13.03301092,0.58844327,5.49505309,0.01892776,1.56564189,5.05132971,4.03760001,0.07493596,1.48064331
-5.45372686,13.04690029,0.59406735,5.46602068,0.01864737,1.58436001,5.11712422,4.06004956,0.07350732,1.47669944
-5.44772386,13.05350286,0.59992848,5.43416863,0.01828151,1.60191699,5.18094882,4.08030724,0.07192165,1.47257989
-5.44172086,13.05407964,0.60615469,5.40038560,0.01783800,1.61826728,5.24285018,4.09846779,0.07021465,1.46849910
-5.43571786,13.04991416,0.61286802,5.36555227,0.01732671,1.63338426,5.30292127,4.11463014,0.06842289,1.46465236
-5.42971486,13.04223343,0.62017727,5.33050133,0.01675925,1.64725718,5.36128137,4.12888032,0.06658264,1.46120188
-5.42371186,13.03213677,0.62817139,5.29598278,0.01614866,1.65988763,5.41805398,4.14127660,0.06472859,1.45826452
-5.41770885,13.02053677,0.63691363,5.26263592,0.01550912,1.67128576,5.47334388,4.15183799,0.06289289,1.45590216
-5.41170585,13.00811583,0.64643718,5.23096977,0.01485558,1.68146659,5.52721504,4.16053719,0.06110429,1.45411520
-5.40570285,12.99530055,0.65674222,5.20135258,0.01420355,1.69044655,5.57967047,4.16729835,0.05938748,1.45283974
-5.39969985,12.98225533,0.66779483,5.17401086,0.01356883,1.69824043,5.63063572,4.17200002,0.05776275,1.45194870
-5.39369685,12.96889524,0.67952774,5.14903769,0.01296733,1.70485893,5.67994677,4.17448300,0.05624580,1.45125690
-5.38769385,12.95491684,0.69184310,5.12640956,0.01241487,1.71030685,5.72734342,4.17456262,0.05484783,1.45052993
-5.38169085,12.93984494,0.70461700,5.10601063,0.01192712,1.71458194,5.77246870,4.17204455,0.05357576,1.44949632
-5.37568784,12.92309185,0.71770568,5.08766261,0.01151943,1.71767450,5.81487427,4.16674307,0.05243271,1.44786247
-5.36968484,12.90402544,0.73095310,5.07115855,0.01120682,1.71956753,5.85403191,4.15850046,0.05141856,1.44532945
-5.36368184,12.88204148,0.74419948,5.05629834,0.01100386,1.72023744,5.88935035,4.14720625,0.05053063,1.44161081
-5.35767884,12.85663564,0.75729033,5.04292377,0.01092464,1.71965526,5.92019661,4.13281481,0.04976441,1.43645043
-5.35167584,12.82747071,0.77008552,5.03095104,0.01098266,1.71778811,5.94592083,4.11536023,0.04911428,1.42963930
-5.34567284,12.79443465,0.78246775,5.02039866,0.01119071,1.71460095,5.96588303,4.09496724,0.04857427,1.42103036
-5.33966983,12.75768579,0.79435000,5.01140901,0.01156073,1.71005847,5.97948056,4.07185746,0.04813866,1.41055049
-5.33366683,12.71768225,0.80568135,5.00426221,0.01210360,1.70412693,5.98617454,4.04635041,0.04780259,1.39820900
-5.32766383,12.67519320,0.81645076,4.99938099,0.01282890,1.69677606,5.98551396,4.01885901,0.04756246,1.38410193
-5.32166083,12.63129111,0.82668852,4.99732628,0.01374462,1.68798078,5.97715602,3.98987976,0.04741629,1.36841203
-5.31565783,12.58732454,0.83646508,4.99878305,0.01485680,1.67772278,5.96088160,3.95997790,0.04736385,1.35140421
-5.30965483,12.54487251,0.84588712,5.00453700,0.01616922,1.66599191,5.93660506,3.92976830,0.04740666,1.33341672
-5.30365183,12.50568242,0.85509109,5.01544283,0.01768298,1.65278726,5.90437779,3.89989293,0.04754792,1.31484831
-5.29764882,12.47159409,0.86423424,5.03238547,0.01939617,1.63811806,5.86438527,3.87099613,0.04779218,1.29614223
-5.29164582,12.44445387,0.87348375,5.05623591,0.02130350,1.62200424,5.81693797,3.84369873,0.04814500,1.27776758
-5.28564282,12.42602279,0.88300426,5.08780397,0.02339606,1.60447666,5.76245650,3.81857250,0.04861241,1.26019918
-5.27963982,12.41788362,0.89294462,5.12779013,0.02566111,1.58557704,5.70145186,3.79611597,0.04920043,1.24389688
-5.27363682,12.42135178,0.90342454,5.17673921,0.02808192,1.56535760,5.63450206,3.77673315,0.04991440,1.22928534
-5.26763382,12.43739486,0.91452188,5.23499832,0.03063787,1.54388035,5.56222620,3.76071590,0.05075839,1.21673548
-5.26163082,12.46656543,0.92626151,5.30268166,0.03330452,1.52121611,5.48525780,3.74823120,0.05173456,1.20654831
-5.25562781,12.50895122,0.93860630,5.37964432,0.03605396,1.49744336,5.40421852,3.73931371,0.05284265,1.19894220
-5.24962481,12.56414566,0.95145105,5.46546694,0.03885517,1.47264680,5.31969402,3.73386426,0.05407947,1.19404406
-5.24362181,12.63124117,0.96461983,5.55945241,0.04167463,1.44691597,5.23221313,3.73165431,0.05543849,1.19188488
-5.23761881,12.70884597,0.97786704,5.66063533,0.04447696,1.42034370,5.14223143,3.73233619,0.05690959,1.19239987
-5.23161581,12.79512420,0.99088233,5.76780396,0.04722572,1.39302473,5.05012003,3.73545871,0.05847892,1.19543295
-5.22561281,12.88785732,1.00329931,5.87953400,0.04988420,1.36505438,4.95616013,3.74048728,0.06012887,1.20074544
-5.21960980,12.98452413,1.01470780,5.99423240,0.05241637,1.33652747,4.86054328,3.74682752,0.06183827,1.20802813
-5.21360680,13.08239483,1.02466890,6.11018906,0.05478765,1.30753747,4.76337727,3.75385117,0.06358262,1.21691624
-5.20760380,13.17863419,1.03273239,6.22563356,0.05696584,1.27817583,4.66469686,3.76092287,0.06533456,1.22700613
-5.20160080,13.27040812,1.03845545,6.33879393,0.05892182,1.24853162,4.56447862,3.76742622,0.06706437,1.23787285
-5.19559780,13.35498745,1.04142176,6.44795396,0.06063023,1.21869132,4.46265860,3.77278795,0.06874061,1.24908756
-5.18959480,13.42984329,1.04126008,6.55150604,0.06207000,1.18873870,4.35915172,3.77649859,0.07033085,1.26023374
-5.18359180,13.49272861,1.03766114,6.64799651,0.06322472,1.15875478,4.25387132,3.77812868,0.07180243,1.27092144
-5.17758879,13.54174170,1.03039215,6.73616124,0.06408290,1.12881770,4.14674787,3.77733972,0.07312323,1.28079882
-5.17158579,13.57536859,1.01930801,6.81494970,0.06463797,1.09900251,4.03774546,3.77388914,0.07426251,1.28956053
-5.16558279,13.59250266,1.00435874,6.88353670,0.06488828,1.06938066,3.92687521,3.76762957,0.07519165,1.29695263
-5.15957979,13.59244172,0.98559272,6.94132185,0.06483681,1.04001934,3.81420502,3.75850236,0.07588489,1.30277419
-5.15357679,13.57486407,0.96315559,6.98791765,0.06449084,1.01098053,3.69986513,3.74652647,0.07632003,1.30687569
-5.14757379,13.53978681,0.93728510,7.02312797,0.06386155,0.98231984,3.58404963,3.73178337,0.07647896,1.30915473
-5.14157079,13.48751069,0.90830201,7.04691916,0.06296346,0.95408520,3.46701409,3.71439984,0.07634823,1.30954980
-5.13556778,13.41855681,0.87659780,7.05938691,0.06181393,0.92631560,3.34906995,3.69452971,0.07591935,1.30803270
-5.12956478,13.33360083,0.84261984,7.06072158,0.06043260,0.89903986,3.23057621,3.67233654,0.07518914,1.30460051
-5.12356178,13.23341046,0.80685481,7.05117537,0.05884082,0.87227574,3.11192966,3.64797862,0.07415985,1.29926807
-5.11755878,13.11879140,0.76981134,7.03103379,0.05706118,0.84602939,2.99355424,3.62159764,0.07283915,1.29206135
-5.11155578,12.99054601,0.73200274,7.00059396,0.05511701,0.82029550,2.87589062,3.59331223,0.07124008,1.28301273
-5.10555278,12.84944782,0.69393064,6.96015104,0.05303196,0.79505793,2.75938681,3.56321686,0.06938078,1.27215826
-5.09954977,12.69623357,0.65607031,6.90999381,0.05082968,0.77029118,2.64449026,3.53138647,0.06728418,1.25953734
-5.09354677,12.53161251,0.61885824,6.85040917,0.04853350,0.74596249,2.53164207,3.49788646,0.06497749,1.24519471
-5.08754377,12.35629161,0.58268244,6.78169474,0.04616618,0.72203464,2.42127330,3.46278732,0.06249165,1.22918456
-5.08154077,12.17101356,0.54787578,6.70417784,0.04374975,0.69846919,2.31380340,3.42618276,0.05986069,1.21157623
-5.07553777,11.97660332,0.51471221,6.61823884,0.04130531,0.67523008,2.20964035,3.38820968,0.05712095,1.19246111
-5.06953477,11.77401839,0.48340610,6.52433617,0.03885292,0.65228740,2.10918219,3.34906850,0.05431033,1.17195987
-5.06353177,11.56439740,0.45411411,6.42303026,0.03641152,0.62962096,2.01281914,3.30904167,0.05146744,1.15022932
-5.05752876,11.34910177,0.42693941,6.31500402,0.03399881,0.60722349,1.92093577,3.26850893,0.04863075,1.12746821
-5.05152576,11.12974589,0.40193775,6.20107734,0.03163116,0.58510333,1.83391259,3.22795746,0.04583778,1.10392129
-5.04552276,10.90821186,0.37912470,6.08221402,0.02932359,0.56328617,1.75212622,3.18798583,0.04312428,1.07988102
-5.03951976,10.68664643,0.35848382,5.95951987,0.02708966,0.54181596,1.67594808,3.14930079,0.04052349,1.05568661
-5.03351676,10.46743894,0.33997482,5.83423174,0.02494146,0.52075475,1.60574090,3.11270664,0.03806552,1.03172020
-5.02751376,10.25318060,0.32354170,5.70769771,0.02288951,0.50018146,1.54185325,3.07908736,0.03577671,1.00840007
-5.02151076,10.04660706,0.30912005,5.58134965,0.02094278,0.48018970,1.48461203,3.04938211,0.03367927,0.98617136
-5.01550775,9.85052732,0.29664347,5.45666969,0.01910866,0.46088470,1.43431332,3.02455544,0.03179092,0.96549432
-5.00950475,9.66774310,0.28604879,5.33515276,0.01739296,0.44237958,1.39121196,3.00556361,0.03012468,0.94683096
-5.00350175,9.50096353,0.27727998,5.21826768,0.01579994,0.42479115,1.35551063,2.99331896,0.02868886,0.93063063
-4.99749875,9.35272027,0.27029067,5.10741906,0.01433240,0.40823548,1.32734888,2.98865432,0.02748713,0.91731525
-4.99149575,9.22528796,0.26504542,5.00391241,0.01299169,0.39282359,1.30679302,2.99228932,0.02651869,0.90726492
-4.98549275,9.12061467,0.26151983,4.90892448,0.01177784,0.37865731,1.29382742,3.00480060,0.02577860,0.90080473
-4.97948974,9.04026588,0.25969955,4.82348017,0.01068968,0.36582568,1.28834786,3.02659741,0.02525817,0.89819329
-4.97348674,8.98538472,0.25957846,4.74843711,0.00972492,0.35440205,1.29015741,3.05790380,0.02494543,0.89961353
-4.96748374,8.95666980,0.26115625,4.68447809,0.00888031,0.34444184,1.29896509,3.09874818,0.02482564,0.90516619
-4.96148074,8.95437084,0.26443548,4.63211111,0.00815173,0.33598117,1.31438751,3.14896061,0.02488179,0.91486618
-4.95547774,8.97830090,0.26941834,4.59167606,0.00753437,0.32903629,1.33595341,3.20817750,0.02509520,0.92864186
-4.94947474,9.02786319,0.27610336,4.56335675,0.00702275,0.32360372,1.36311091,3.27585317,0.02544600,0.94633721
-4.94347174,9.10208928,0.28448202,4.54719662,0.00661093,0.31966106,1.39523710,3.35127732,0.02591362,0.96771657
-4.93746873,9.19968541,0.29453548,4.54311616,0.00629249,0.31716827,1.43164946,3.43359689,0.02647722,0.99247165
-4.93146573,9.31908284,0.30623153,4.55093045,0.00606069,0.31606932,1.47161858,3.52184123,0.02711608,1.02023042
-4.92546273,9.45848880,0.31952175,4.57036477,0.00590846,0.31629401,1.51438161,3.61494864,0.02780988,1.05056728
-4.91945973,9.61593477,0.33433895,4.60106738,0.00582850,0.31775987,1.55915582,3.71179327,0.02853897,1.08301413
-4.91345673,9.78931927,0.35059502,4.64261813,0.00581326,0.32037393,1.60515177,3.81121073,0.02928454,1.11707191
-4.90745373,9.97644377,0.36817918,4.69453282,0.00585505,0.32403439,1.65158559,3.91202173,0.03002875,1.15222197
-4.90145073,10.17504062,0.38695671,4.75626314,0.00594598,0.32863204,1.69769013,4.01305280,0.03075479,1.18793713
-4.89544772,10.38279333,0.40676827,4.82719306,0.00607810,0.33405139,1.74272467,4.11315393,0.03144698,1.22369205
-4.88944472,10.59735026,0.42742989,4.90663246,0.00624336,0.34017171,1.78598321,4.21121301,0.03209076,1.25897267
-4.88344172,10.81633337,0.44873367,4.99380965,0.00643374,0.34686773,1.82680124,4.30616728,0.03267271,1.29328464
-4.87743872,11.03734444,0.47044935,5.08786407,0.00664129,0.35401037,1.86456131,4.39701249,0.03318063,1.32616078
-4.87143572,11.25797112,0.49232675,5.18784100,0.00685823,0.36146735,1.89869740,4.48281022,0.03360354,1.35716733
-4.86543272,11.47579543,0.51409914,5.29268963,0.00707708,0.36910396,1.92869857,4.56269418,0.03393179,1.38590934
-4.85942971,11.68840650,0.53548754,5.40126569,0.00729080,0.37678380,1.95411201,4.63587610,0.03415709,1.41203502
-4.85342671,11.89341947,0.55620592,5.51233960,0.00749286,0.38436991,1.97454568,4.70165180,0.03427267,1.43523930
-4.84742371,12.08850092,0.57596715,5.62461026,0.00767747,0.39172594,1.98967098,4.75940773,0.03427337,1.45526651
-4.84142071,12.27140103,0.59448953,5.73672449,0.00783967,0.39871765,1.99922523,4.80862810,0.03415577,1.47191235
-4.83541771,12.43999126,0.61150376,5.84730129,0.00797550,0.40521464,2.00301422,4.84890234,0.03391833,1.48502511
-4.82941471,12.59230585,0.62676001,5.95495979,0.00808208,0.41109217,2.00091463,4.87993267,0.03356145,1.49450608
-4.82341171,12.72658462,0.64003477,6.05834942,0.00815775,0.41623316,1.99287626,4.90154084,0.03308753,1.50030913
-4.81740870,12.84131411,0.65113728,6.15618035,0.00820213,0.42053013,1.97892361,4.91367356,0.03250106,1.50243952
-4.81140570,12.93526399,0.65991504,6.24725244,0.00821615,0.42388716,1.95915687,4.91640554,0.03180847,1.50095164
-4.80540270,13.00751560,0.66625825,6.33048094,0.00820204,0.42622156,1.93375163,4.90993939,0.03101814,1.49594594
-4.79939970,13.05748028,0.67010288,6.40491723,0.00816330,0.42746539,1.90295737,4.89460184,0.03014014,1.48756477
-4.79339670,13.08490527,0.67143211,6.46976350,0.00810461,0.42756656,1.86709425,4.87083553,0.02918607,1.47598735
-4.78739370,13.08986633,0.67027611,6.52438073,0.00803168,0.42648956,1.82654815,4.83918647,0.02816871,1.46142389
-4.78139070,13.07274703,0.66671017,6.56828963,0.00795112,0.42421579,1.78176395,4.80028721,0.02710172,1.44410901
-4.77538769,13.03420570,0.66085111,6.60116515,0.00787018,0.42074338,1.73323695,4.75483620,0.02599925,1.42429467
-4.76938469,12.97513209,0.65285230,6.62282534,0.00779658,0.41608670,1.68150283,4.70357426,0.02487553,1.40224284
-4.76338169,12.89659679,0.64289747,6.63321614,0.00773821,0.41027534,1.62712629,4.64725941,0.02374448,1.37821830
-4.75737869,12.79979684,0.63119361,6.63239363,0.00770291,0.40335288,1.57068889,4.58664118,0.02261933,1.35248175
-4.75137569,12.68600165,0.61796351,6.62050592,0.00769818,0.39537539,1.51277647,4.52243613,0.02151228,1.32528364
-4.74537269,12.55650318,0.60343806,6.59777630,0.00773094,0.38640972,1.45396683,4.45530605,0.02043417,1.29685900
-4.73936968,12.41257408,0.58784896,6.56448971,0.00780730,0.37653173,1.39481802,4.38584012,0.01939430,1.26742352
-4.73336668,12.25543716,0.57142218,6.52098370,0.00793237,0.36582453,1.33585795,4.31454241,0.01840025,1.23717099
-4.72736368,12.08624816,0.55437229,6.46764502,0.00811006,0.35437682,1.27757569,4.24182545,0.01745778,1.20627244
-4.72136068,11.90609334,0.53689822,6.40491205,0.00834301,0.34228128,1.22041473,4.16801049,0.01657092,1.17487670
-4.71535768,11.71600167,0.51918029,6.33328297,0.00863246,0.32963322,1.16476859,4.09333443,0.01574198,1.14311252
-4.70935468,11.51697052,0.50137883,6.25332872,0.00897831,0.31652944,1.11097880,4.01796307,0.01497176,1.11109209
-4.70335168,11.31000237,0.48363414,6.16570922,0.00937908,0.30306720,1.05933517,3.94200986,0.01425975,1.07891556
-4.69734867,11.09614921,0.46606777,6.07119117,0.00983208,0.28934350,1.01007828,3.86555890,0.01360442,1.04667635
-4.69134567,10.87656035,0.44878484,5.97066487,0.01033353,0.27545450,0.96340368,3.78869070,0.01300352,1.01446691
-4.68534267,10.65252907,0.43187716,5.86515791,0.01087875,0.26149502,0.91946762,3.71150887,0.01245437,0.98238442
-4.67933967,10.42553330,0.41542678,5.75584335,0.01146242,0.24755818,0.87839360,3.63416596,0.01195417,0.95053612
-4.67333667,10.19726573,0.39950955,5.64404007,0.01207885,0.23373506,0.84027933,3.55688653,0.01150032,0.91904379
-4.66733367,9.96964940,0.38419859,5.53120394,0.01272225,0.22011432,0.80520347,3.47998572,0.01109059,0.88804713
-4.66133067,9.74483560,0.36956706,5.41890839,0.01338707,0.20678178,0.77323170,3.40388188,0.01072338,0.85770570
-4.65532766,9.52518213,0.35569020,5.30881416,0.01406823,0.19381994,0.74442161,3.32910199,0.01039779,0.82819918
