energy_ev,total_up,Cu_p_up,Cu_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-1.59379690,0.66094263,0.25235095,0.14322832,0.06792229,0.02708757,0.01268109,0.08287227,0.05905415,0.25857793
-1.58779390,0.68941709,0.26745935,0.14862522,0.07306770,0.02827779,0.01291034,0.08937340,0.06032180,0.26888163
-1.58179090,0.71816150,0.28350375,0.15405928,0.07892340,0.02957667,0.01308302,0.09630420,0.06127512,0.27886187
-1.57578789,0.74691292,0.30047490,0.15946817,0.08544406,0.03097440,0.01319698,0.10360422,0.06189266,0.28844840
-1.56978489,0.77547485,0.31838487,0.16480697,0.09258322,0.03246373,0.01325278,0.11120865,0.06216193,0.29760268
-1.56378189,0.80371495,0.33726428,0.17004767,0.10029207,0.03403964,0.01325382,0.11904784,0.06207949,0.30631769
-1.55777889,0.83156028,0.35715855,0.17517821,0.10851821,0.03569883,0.01320620,0.12704695,0.06165071,0.31461644
-1.55177589,0.85899064,0.37812339,0.18020096,0.11720467,0.03743918,0.01311871,0.13512583,0.06088928,0.32254950
-1.54577289,0.88603024,0.40021971,0.18513092,0.12628916,0.03925909,0.01300252,0.14319909,0.05981635,0.33019152
-1.53976988,0.91273836,0.42350817,0.18999353,0.13570369,0.04115687,0.01287095,0.15117660,0.05845948,0.33763693
-1.53376688,0.93919930,0.44804366,0.19482241,0.14537460,0.04313008,0.01273906,0.15896425,0.05685137,0.34499508
-1.52776388,0.96551234,0.47386980,0.19965699,0.15522302,0.04517502,0.01262318,0.16646520,0.05502852,0.35238495
-1.52176088,0.99178205,0.50101386,0.20454011,0.16516578,0.04728620,0.01254045,0.17358144,0.05302977,0.35992963
-1.51575788,1.01810940,0.52948226,0.20951579,0.17511675,0.04945603,0.01250820,0.18021576,0.05089488,0.36775089
-1.50975488,1.04458400,0.55925658,0.21462710,0.18498854,0.05167451,0.01254342,0.18627406,0.04866318,0.37596399
-1.50375188,1.07127772,0.59029062,0.21991421,0.19469450,0.05392921,0.01266212,0.19166784,0.04637236,0.38467277
-1.49774887,1.09823977,0.62250809,0.22541275,0.20415089,0.05620528,0.01287876,0.19631695,0.04405742,0.39396539
-1.49174587,1.12549334,0.65580135,0.23115227,0.21327913,0.05848569,0.01320566,0.20015230,0.04174988,0.40391061
-1.48574287,1.15303363,0.69003096,0.23715502,0.22200805,0.06075153,0.01365248,0.20311858,0.03947716,0.41455487
-1.47973987,1.18082723,0.72502597,0.24343485,0.23027591,0.06298250,0.01422574,0.20517674,0.03726230,0.42592004
-1.47373687,1.20881266,0.76058503,0.24999635,0.23803216,0.06515744,0.01492839,0.20630619,0.03512382,0.43800192
-1.46773387,1.23690175,0.79647811,0.25683416,0.24523886,0.06725493,0.01575957,0.20650662,0.03307590,0.45076952
-1.46173087,1.26498182,0.83244876,0.26393240,0.25187164,0.06925392,0.01671433,0.20579928,0.03112868,0.46416508
-1.45572786,1.29291839,0.86821690,0.27126431,0.25792018,0.07113441,0.01778362,0.20422768,0.02928877,0.47810467
-1.44972486,1.32055842,0.90348207,0.27879213,0.26338822,0.07287806,0.01895428,0.20185775,0.02755983,0.49247962
-1.44372186,1.34773385,0.93792715,0.28646712,0.26829314,0.07446877,0.02020928,0.19877735,0.02594327,0.50715849
-1.43771886,1.37426570,0.97122248,0.29422993,0.27266515,0.07589317,0.02152799,0.19509517,0.02443892,0.52198975
-1.43171586,1.39996860,1.00303066,0.30201136,0.27654613,0.07714113,0.02288665,0.19093916,0.02304575,0.53680499
-1.42571286,1.42465586,1.03301173,0.30973341,0.27998835,0.07820602,0.02425896,0.18645438,0.02176243,0.55142293
-1.41970985,1.44814536,1.06082910,0.31731089,0.28305305,0.07908507,0.02561674,0.18180057,0.02058795,0.56565382
-1.41370685,1.47026613,1.08615614,0.32465341,0.28580906,0.07977947,0.02693073,0.17714934,0.01952196,0.57930463
-1.40770385,1.49086574,1.10868331,0.33166797,0.28833150,0.08029453,0.02817141,0.17268122,0.01856514,0.59218459
-1.40170085,1.50981852,1.12812603,0.33826188,0.29070073,0.08063965,0.02930991,0.16858256,0.01771933,0.60411124
-1.39569785,1.52703425,1.14423294,0.34434619,0.29300152,0.08082830,0.03031884,0.16504245,0.01698757,0.61491679
-1.38969485,1.54246732,1.15679442,0.34983934,0.29532237,0.08087790,0.03117318,0.16224961,0.01637404,0.62445458
-1.38369185,1.55612574,1.16565121,0.35467097,0.29775516,0.08080963,0.03185106,0.16038939,0.01588382,0.63260548
-1.37768884,1.56807964,1.17070259,0.35878575,0.30039493,0.08064821,0.03233441,0.15964087,0.01552265,0.63928396
-1.37168584,1.57846865,1.17191393,0.36214696,0.30333963,0.08042162,0.03260960,0.16017402,0.01529658,0.64444361
-1.36568284,1.58750758,1.16932303,0.36473967,0.30668996,0.08016073,0.03266776,0.16214692,0.01521157,0.64808169
-1.35967984,1.59548977,1.16304491,0.36657327,0.31054896,0.07989886,0.03250511,0.16570315,0.01527312,0.65024266
-1.35367684,1.60278750,1.15327457,0.36768325,0.31502128,0.07967138,0.03212297,0.17096904,0.01548589,0.65102020
-1.34767384,1.60984914,1.14028735,0.36813191,0.32021216,0.07951506,0.03152768,0.17805108,0.01585336,0.65055759
-1.34167084,1.61719250,1.12443674,0.36800809,0.32622585,0.07946751,0.03073032,0.18703328,0.01637758,0.64904642
-1.33566783,1.62539447,1.10614922,0.36742564,0.33316354,0.07956643,0.02974627,0.19797455,0.01705894,0.64672325
-1.32966483,1.63507680,1.08591632,0.36652076,0.34112073,0.07984889,0.02859462,0.21090616,0.01789612,0.64386453
-1.32366183,1.64688847,1.06428388,0.36544822,0.35018420,0.08035051,0.02729752,0.22582930,0.01888603,0.64077965
-1.31765883,1.66148496,1.04183875,0.36437654,0.36042845,0.08110457,0.02587942,0.24271294,0.02002398,0.63780235
-1.31165583,1.67950534,1.01919332,0.36348238,0.37191200,0.08214114,0.02436623,0.26149187,0.02130378,0.63528074
-1.30565283,1.70154778,0.99696848,0.36294420,0.38467350,0.08348624,0.02278459,0.28206539,0.02271807,0.63356639
-1.29964982,1.72814463,0.97577548,0.36293565,0.39872801,0.08516096,0.02116103,0.30429645,0.02425862,0.63300254
-1.29364682,1.75973810,0.95619749,0.36361877,0.41406351,0.08718065,0.01952125,0.32801160,0.02591672,0.63391232
-1.28764382,1.79665747,0.93877148,0.36513742,0.43063797,0.08955428,0.01788953,0.35300184,0.02768351,0.63658696
-1.28164082,1.83909897,0.92397130,0.36761108,0.44837708,0.09228378,0.01628810,0.37902432,0.02955038,0.64127481
-1.27563782,1.88710925,0.91219245,0.37112946,0.46717286,0.09536361,0.01473680,0.40580521,0.03150929,0.64817135
-1.26963482,1.94057306,0.90373932,0.37574795,0.48688334,0.09878044,0.01325269,0.43304357,0.03355296,0.65741065
-1.26363182,1.99920594,0.89881531,0.38148420,0.50733320,0.10251302,0.01184993,0.46041620,0.03567508,0.66905864
-1.25762881,2.06255208,0.89751619,0.38831600,0.52831564,0.10653223,0.01053964,0.48758357,0.03787028,0.68310836
