energy_ev,total_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-4.79339670,1.54035063,0.00527329,0.00000000,0.00547011,1.22261750,1.10141852,0.42157124
-4.78739370,1.54735299,0.00497815,0.00000000,0.00524380,1.23330345,1.09437010,0.44094629
-4.78139070,1.55061665,0.00470158,0.00000000,0.00500085,1.24107842,1.08418342,0.45997172
-4.77538769,1.54988765,0.00444186,0.00000000,0.00474476,1.24566719,1.07094309,0.47824164
-4.76938469,1.54498145,0.00419757,0.00000000,0.00447948,1.24684556,1.05478780,0.49535654
-4.76338169,1.53578626,0.00396767,0.00000000,0.00420926,1.24444539,1.03590614,0.51093453
-4.75737869,1.52226642,0.00375151,0.00000000,0.00393858,1.23835996,1.01453220,0.52462296
-4.75137569,1.50446600,0.00354882,0.00000000,0.00367200,1.22854939,0.99094147,0.53611007
-4.74537269,1.48251249,0.00335972,0.00000000,0.00341409,1.21504618,0.96544684,0.54513605
-4.73936968,1.45662025,0.00318471,0.00000000,0.00316927,1.19796020,0.93839509,0.55150325
-4.73336668,1.42709334,0.00302463,0.00000000,0.00294175,1.17748308,0.91016356,0.55508487
-4.72736368,1.39432731,0.00288063,0.00000000,0.00273546,1.15389120,0.88115692,0.55583194
-4.72136068,1.35880915,0.00275418,0.00000000,0.00255392,1.12754695,0.85180386,0.55377788
-4.71535768,1.32111515,0.00264699,0.00000000,0.00240025,1.09889771,0.82255329,0.54904058
-4.70935468,1.28190594,0.00256097,0.00000000,0.00227710,1.06847220,0.79386984,0.54182177
-4.70335168,1.24191831,0.00249822,0.00000000,0.00218657,1.03687373,0.76622839,0.53240342
-4.69734867,1.20195379,0.00246092,0.00000000,0.00213028,1.00477042,0.74010744,0.52114132
-4.69134567,1.16286363,0.00245131,0.00000000,0.00210924,0.97288208,0.71598112,0.50845603
-4.68534267,1.12553057,0.00247161,0.00000000,0.00212394,0.94196429,0.69431002,0.49482132
-4.67933967,1.09084756,0.00252393,0.00000000,0.00217427,0.91278968,0.67553081,0.48075052
-4.67333667,1.05969415,0.00261021,0.00000000,0.00225958,0.88612713,0.66004492,0.46678124
-4.66733367,1.03291112,0.00273212,0.00000000,0.00237862,0.86271946,0.64820674,0.45345898
-4.66133067,1.01127434,0.00289099,0.00000000,0.00252959,0.84326048,0.64031166,0.44132010
-4.65532766,0.99546870,0.00308770,0.00000000,0.00271016,0.82837199,0.63658464,0.43087477
-4.64932466,0.98606330,0.00332265,0.00000000,0.00291746,0.81858197,0.63716967,0.42259044
-4.64332166,0.98348877,0.00359566,0.00000000,0.00314814,0.81430446,0.64212093,0.41687644
-4.63731866,0.98801781,0.00390597,0.00000000,0.00339843,0.81582226,0.65139602,0.41407008
-4.63131566,0.99974983,0.00425218,0.00000000,0.00366413,0.82327306,0.66485182,0.41442484
