energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Se_s_up,Se_p_up
-4.94347174,3.05367357,0.28774188,2.11029664,0.00249039,0.11064915,0.43020371,0.36186195,0.01107172,0.45943852
-4.93746873,2.95928637,0.28420693,2.03990932,0.00225952,0.11208275,0.40498316,0.35452220,0.01083777,0.44399808
-4.93146573,2.86966450,0.28059023,1.97333634,0.00203976,0.11344627,0.38092562,0.34753271,0.01064798,0.42875403
-4.92546273,2.78494157,0.27687640,1.91077412,0.00183295,0.11468636,0.35821505,0.34079802,0.01049347,0.41379994
-4.91945973,2.70511404,0.27304968,1.85229711,0.00164064,0.11575345,0.33700264,0.33422441,0.01036548,0.39921390
-4.91345673,2.63007021,0.26909700,1.79787638,0.00146402,0.11660400,0.31740760,0.32772536,0.01025566,0.38505997
-4.90745373,2.55962221,0.26501110,1.74740116,0.00130399,0.11720245,0.29951905,0.32122668,0.01015640,0.37139038
-4.90145073,2.49353912,0.26079315,1.70070181,0.00116114,0.11752291,0.28339871,0.31467110,0.01006107,0.35824816
-4.89544772,2.43157925,0.25645501,1.65757326,0.00103580,0.11755035,0.26908406,0.30802206,0.00996419,0.34566999
-4.88944472,2.37351989,0.25202064,1.61779732,0.00092809,0.11728133,0.25659180,0.30126660,0.00986160,0.33368903
-4.88344172,2.31918295,0.24752679,1.58116312,0.00083791,0.11672413,0.24592121,0.29441720,0.00975049,0.32233747
-4.87743872,2.26845534,0.24302270,1.54748457,0.00076504,0.11589841,0.23705731,0.28751248,0.00962947,0.31164866
-4.87143572,2.22130322,0.23856892,1.51661421,0.00070912,0.11483424,0.22997352,0.28061674,0.00949842,0.30165860
-4.86543272,2.17777971,0.23423524,1.48845312,0.00066969,0.11357068,0.22463380,0.27381845,0.00935850,0.29240675
-4.85942971,2.13802598,0.23009781,1.46295651,0.00064626,0.11215397,0.22099409,0.26722776,0.00921188,0.28393613
-4.85342671,2.10226614,0.22623569,1.44013528,0.00063831,0.11063525,0.21900311,0.26097313,0.00906163,0.27629262
-4.84742371,2.07079647,0.22272696,1.42005366,0.00064530,0.10906819,0.21860263,0.25519732,0.00891147,0.26952371
-4.84142071,2.04397012,0.21964456,1.40282344,0.00066672,0.10750642,0.21972716,0.25005293,0.00876550,0.26367667
-4.83541771,2.02217827,0.21705224,1.38859550,0.00070207,0.10600100,0.22230341,0.24569762,0.00862802,0.25879635
-4.82941471,2.00582912,0.21500080,1.37754915,0.00075091,0.10459800,0.22624950,0.24228931,0.00850323,0.25492285
-4.82341171,1.99532592,0.21352474,1.36988021,0.00081283,0.10333638,0.23147432,0.23998150,0.00839505,0.25208904
-4.81740870,1.99104530,0.21263975,1.36578839,0.00088750,0.10224618,0.23787698,0.23891883,0.00830691,0.25031842
-4.81140570,1.99331710,0.21234094,1.36546486,0.00097461,0.10134717,0.24534672,0.23923307,0.00824158,0.24962316
-4.80540270,2.00240646,0.21260220,1.36908041,0.00107393,0.10064801,0.25376329,0.24103958,0.00820106,0.25000270
-4.79939970,2.01849904,0.21337643,1.37677479,0.00118526,0.10014592,0.26299794,0.24443432,0.00818649,0.25144286
-4.79339670,2.04168972,0.21459698,1.38864763,0.00130846,0.09982698,0.27291495,0.24949144,0.00819813,0.25391560
-4.78739370,2.07197506,0.21617997,1.40475102,0.00144340,0.09966684,0.28337381,0.25626139,0.00823532,0.25737939
-4.78139070,2.10924937,0.21802750,1.42508401,0.00159000,0.09963204,0.29423183,0.26476958,0.00829659,0.26178024
-4.77538769,2.15330437,0.22003164,1.44958880,0.00174816,0.09968165,0.30534719,0.27501557,0.00837966,0.26705321
-4.76938469,2.20383179,0.22207880,1.47814877,0.00191778,0.09976933,0.31658211,0.28697263,0.00848163,0.27312442
-4.76338169,2.26042854,0.22405453,1.51058784,0.00209872,0.09984551,0.32780610,0.30058781,0.00859907,0.27991341
-4.75737869,2.32260386,0.22584832,1.54667120,0.00229077,0.09985979,0.33889896,0.31578227,0.00872818,0.28733562
-4.75137569,2.38978793,0.22735817,1.58610710,0.00249365,0.09976327,0.34975347,0.33245217,0.00886493,0.29530506
-4.74537269,2.46134138,0.22849486,1.62854943,0.00270696,0.09951076,0.36027749,0.35046975,0.00900527,0.30373678
-4.73936968,2.53656527,0.22918551,1.67360105,0.00293014,0.09906282,0.37039543,0.36968499,0.00914525,0.31254924
-4.73336668,2.61471141,0.22937647,1.72081776,0.00316249,0.09838742,0.38004897,0.38992760,0.00928119,0.32166635
-4.72736368,2.69499277,0.22903529,1.76971286,0.00340308,0.09746129,0.38919694,0.41100956,0.00940980,0.33101912
-4.72136068,2.77659393,0.22815171,1.81976243,0.00365082,0.09627079,0.39781460,0.43272820,0.00952831,0.34054688
-4.71535768,2.85868184,0.22673775,1.87041132,0.00390435,0.09481234,0.40589210,0.45486978,0.00963457,0.35019811
-4.70935468,2.94041686,0.22482681,1.92108021,0.00416212,0.09309242,0.41343253,0.47721366,0.00972712,0.35993069
-4.70335168,3.02096445,0.22247196,1.97117357,0.00442235,0.09112713,0.42044955,0.49953698,0.00980525,0.36971185
-4.69734867,3.09950760,0.21974337,2.02008893,0.00468307,0.08894132,0.42696484,0.52161981,0.00986901,0.37951761
-4.69134567,3.17526006,0.21672528,2.06722730,0.00494214,0.08656751,0.43300551,0.54325058,0.00991926,0.38933197
-4.68534267,3.24748046,0.21351235,2.11200475,0.00519728,0.08404439,0.43860178,0.56423173,0.00995763,0.39914574
-4.67933967,3.31548708,0.21020591,2.15386505,0.00544615,0.08141534,0.44378482,0.58438527,0.00998649,0.40895521
-4.67333667,3.37867286,0.20690996,2.19229291,0.00568638,0.07872667,0.44858518,0.60355811,0.01000892,0.41876067
-4.66733367,3.43652032,0.20372729,2.22682762,0.00591562,0.07602602,0.45303157,0.62162682,0.01002863,0.42856483
-4.66133067,3.48861555,0.20075579,2.25707640,0.00613166,0.07336068,0.45715020,0.63850164,0.01004989,0.43837118
-4.65532766,3.53466062,0.19808515,2.28272693,0.00633243,0.07077613,0.46096458,0.65412934,0.01007740,0.44818246
