energy_ev,total_up,Ag_p_up,Ag_d_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up
-4.63131566,4.21780533,1.99593513,3.00127562,0.23103569,0.00000000,0.07591032,0.53327418
-4.62531266,4.20162199,1.95922651,3.00305992,0.22535021,0.00000000,0.07345684,0.52272901
-4.61930965,4.16887053,1.91607062,2.99201002,0.21876569,0.00000000,0.07066576,0.51108595
-4.61330665,4.11947196,1.86675250,2.96798336,0.21136796,0.00000000,0.06758452,0.49835686
-4.60730365,4.05364137,1.81163552,2.93107295,0.20325077,0.00000000,0.06426399,0.48457173
-4.60130065,3.97188789,1.75116078,2.88160625,0.19451396,0.00000000,0.06075711,0.46978012
-4.59529765,3.87500475,1.68584395,2.82013653,0.18526168,0.00000000,0.05711740,0.45405165
-4.58929465,3.76405006,1.61626945,2.74742708,0.17560045,0.00000000,0.05339764,0.43747554
-4.58329165,3.64031896,1.54308192,2.66442891,0.16563737,0.00000000,0.04964853,0.42015919
-4.57728864,3.50530840,1.46697533,2.57225304,0.15547832,0.00000000,0.04591762,0.40222594
-4.57128564,3.36067627,1.38868012,2.47213853,0.14522628,0.00000000,0.04224830,0.38381206
-4.56528264,3.20819639,1.30894881,2.36541767,0.13497977,0.00000000,0.03867904,0.36506331
-4.55927964,3.04971152,1.22854062,2.25347980,0.12483143,0.00000000,0.03524289,0.34613100
-4.55327664,2.88708613,1.14820589,2.13773505,0.11486684,0.00000000,0.03196711,0.32716802
-4.54727364,2.72216085,1.06867074,2.01957956,0.10516346,0.00000000,0.02887307,0.30832484
-4.54127064,2.55671020,0.99062273,1.90036329,0.09578988,0.00000000,0.02597636,0.28974579
-4.53526763,2.39240506,0.91469799,1.78136143,0.08680527,0.00000000,0.02328698,0.27156574
-4.52926463,2.23078096,0.84147024,1.66375027,0.07825905,0.00000000,0.02080980,0.25390719
-4.52326163,2.07321289,0.77144212,1.54858801,0.07019084,0.00000000,0.01854508,0.23687815
-4.51725863,1.92089707,0.70503890,1.43680081,0.06263066,0.00000000,0.01648902,0.22057046
-4.51125563,1.77483982,0.64260489,1.32917412,0.05559926,0.00000000,0.01463447,0.20505896
-4.50525263,1.63585302,0.58440214,1.22634897,0.04910874,0.00000000,0.01297154,0.19040116
-4.49924962,1.50455599,0.53061173,1.12882302,0.04316332,0.00000000,0.01148832,0.17663757
-4.49324662,1.38138271,0.48133701,1.03695565,0.03776020,0.00000000,0.01017148,0.16379250
-4.48724362,1.26659373,0.43660878,0.95097643,0.03289060,0.00000000,0.00900684,0.15187531
-4.48124062,1.16029164,0.39639191,0.87099637,0.02854080,0.00000000,0.00797992,0.14088196
-4.47523762,1.06243919,0.36059305,0.79702104,0.02469327,0.00000000,0.00707636,0.13079674
-4.46923462,0.97287902,0.32906921,0.72896494,0.02132776,0.00000000,0.00628228,0.12159422
-4.46323162,0.89135412,0.30163660,0.66666645,0.01842238,0.00000000,0.00558459,0.11324115
-4.45722861,0.81752818,0.27807968,0.60990265,0.01595457,0.00000000,0.00497118,0.10569834
-4.45122561,0.75100524,0.25815996,0.55840372,0.01390205,0.00000000,0.00443109,0.09892251
-4.44522261,0.69134805,0.24162437,0.51186627,0.01224355,0.00000000,0.00395456,0.09286794
-4.43921961,0.63809470,0.22821305,0.46996562,0.01095949,0.00000000,0.00353309,0.08748800
-4.43321661,0.59077343,0.21766633,0.43236652,0.01003244,0.00000000,0.00315941,0.08273646
-4.42721361,0.54891534,0.20973081,0.39873258,0.00944747,0.00000000,0.00282745,0.07856867
-4.42121061,0.51206506,0.20416456,0.36873402,0.00919227,0.00000000,0.00253227,0.07494251
-4.41520760,0.47978938,0.20074118,0.34205412,0.00925715,0.00000000,0.00226998,0.07181922
-4.40920460,0.45168401,0.19925296,0.31839431,0.00963486,0.00000000,0.00203766,0.06916401
-4.40320160,0.42737862,0.19951287,0.29747794,0.01032024,0.00000000,0.00183329,0.06694657
-4.39719860,0.40654023,0.20135564,0.27905310,0.01130974,0.00000000,0.00165567,0.06514143
-4.39119560,0.38887532,0.20463784,0.26289444,0.01260086,0.00000000,0.00150434,0.06372818
-4.38519260,0.37413071,0.20923699,0.24880411,0.01419142,0.00000000,0.00137957,0.06269159
-4.37918959,0.36209331,0.21505003,0.23661217,0.01607888,0.00000000,0.00128229,0.06202163
-4.37318659,0.35258918,0.22199089,0.22617628,0.01825951,0.00000000,0.00121408,0.06171339
-4.36718359,0.34548166,0.22998765,0.21738093,0.02072768,0.00000000,0.00117716,0.06176687
-4.36118059,0.34066902,0.23897925,0.21013632,0.02347514,0.00000000,0.00117441,0.06218672
-4.35517759,0.33808152,0.24891201,0.20437674,0.02649039,0.00000000,0.00120931,0.06298191
-4.34917459,0.33767811,0.25973606,0.20005875,0.02975821,0.00000000,0.00128598,0.06416526
-4.34317159,0.33944267,0.27140197,0.19715897,0.03325928,0.00000000,0.00140916,0.06575293
-4.33716858,0.34338010,0.28385766,0.19567161,0.03697005,0.00000000,0.00158415,0.06776379
-4.33116558,0.34951199,0.29704584,0.19560577,0.04086277,0.00000000,0.00181680,0.07021877
-4.32516258,0.35787213,0.31090192,0.19698240,0.04490569,0.00000000,0.00211338,0.07314004
-4.31915958,0.36850180,0.32535275,0.19983104,0.04906349,0.00000000,0.00248050,0.07655014
