energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-5.44172086,4.90201460,3.44176186,0.90176980,0.00353104,1.57191613,0.02658635,1.66277257,0.78429628,0.53087249
-5.43571786,4.90244501,3.41258063,0.89091226,0.00346116,1.54953772,0.02681404,1.69354351,0.79498691,0.54126296
-5.42971486,4.89405073,3.37674989,0.87836863,0.00338251,1.52376962,0.02697562,1.72212146,0.80451076,0.55106569
-5.42371186,4.87721971,3.33438543,0.86430218,0.00329657,1.49483392,0.02706388,1.74849835,0.81284456,0.56033661
-5.41770885,4.85251428,3.28572521,0.84890725,0.00320492,1.46301776,0.02707269,1.77271674,0.81999168,0.56914291
-5.41170585,4.82065630,3.23113352,0.83240527,0.00310916,1.42867034,0.02699718,1.79486242,0.82598066,0.57755887
-5.40570285,4.78250551,3.17109956,0.81503972,0.00301085,1.39219727,0.02683388,1.81505511,0.83086281,0.58566117
-5.39969985,4.73903210,3.10623051,0.79707002,0.00291147,1.35405259,0.02658078,1.83343785,0.83470901,0.59352416
-5.39369685,4.69128503,3.03723974,0.77876471,0.00281239,1.31472862,0.02623743,1.85016569,0.83760593,0.60121503
-5.38769385,4.64035752,2.96493060,0.76039420,0.00271481,1.27474427,0.02580500,1.86539440,0.83965189,0.60878944
-5.38169085,4.58735178,2.89017716,0.74222346,0.00261975,1.23463230,0.02528623,1.87926986,0.84095274,0.61628763
-5.37568784,4.53334469,2.81390260,0.72450493,0.00252807,1.19492623,0.02468548,1.89191893,0.84161779,0.62373127
-5.36968484,4.47935643,2.73705691,0.70747212,0.00244043,1.15614742,0.02400858,1.90344225,0.84175638,0.63112139
-5.36368184,4.42632373,2.66059484,0.69133403,0.00235731,1.11879309,0.02326279,1.91390964,0.84147490,0.63843737
-5.35767884,4.37507934,2.58545539,0.67627093,0.00227908,1.08332592,0.02245662,1.92335842,0.84087492,0.64563724
-5.35167584,4.32633867,2.51254394,0.66243141,0.00220598,1.05016550,0.02159970,1.93179473,0.84005207,0.65265926
-5.34567284,4.28069459,2.44271785,0.64993114,0.00213819,1.01968234,0.02070258,1.93919812,0.83909620,0.65942473
-5.33966983,4.23862041,2.37677601,0.63885318,0.00207585,0.99219449,0.01977651,1.94552891,0.83809240,0.66584204
-5.33366683,4.20048096,2.31545285,0.62924992,0.00201911,0.96796700,0.01883323,1.95073819,0.83712308,0.67181169
-5.32766383,4.16655083,2.25941670,0.62114656,0.00196818,0.94721407,0.01788472,1.95477970,0.83627087,0.67723216
-5.32166083,4.13703875,2.20927220,0.61454579,0.00192333,0.93010373,0.01694304,1.95762300,0.83562199,0.68200615
-5.31565783,4.11211616,2.16556611,0.60943352,0.00188493,0.91676463,0.01602001,1.95926692,0.83527003,0.68604712
-5.30965483,4.09194806,2.12879573,0.60578525,0.00185345,0.90729443,0.01512708,1.95975250,0.83531955,0.68928550
-5.30365183,4.07672385,2.09941876,0.60357264,0.00182948,0.90176910,0.01427507,1.95917438,0.83588935,0.69167445
-5.29764882,4.06668569,2.07786331,0.60276994,0.00181369,0.90025236,0.01347403,1.95768966,0.83711495,0.69319451
-5.29164582,4.06215197,2.06453682,0.60335974,0.00180679,0.90280460,0.01273305,1.95552354,0.83914990,0.69385717
