energy_ev,total_up,Ag_p_up,Ag_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-5.56778389,0.48367910,0.42134919,0.29411915,0.00446575,0.08143330,0.06291620,0.00002938
-5.56178089,0.45272657,0.41078060,0.27036568,0.00375000,0.07773089,0.06227014,0.00002555
-5.55577789,0.42310825,0.39884272,0.24820031,0.00313924,0.07398592,0.06132102,0.00002215
-5.54977489,0.39475947,0.38556674,0.22754328,0.00262266,0.07021383,0.06006405,0.00001917
-5.54377189,0.36763923,0.37102943,0.20832243,0.00219026,0.06643462,0.05850507,0.00001658
-5.53776888,0.34173218,0.35535147,0.19047519,0.00183304,0.06267299,0.05666014,0.00001436
-5.53176588,0.31704977,0.33869439,0.17395035,0.00154305,0.05895841,0.05455475,0.00001249
-5.52576288,0.29363051,0.32125627,0.15870924,0.00131352,0.05532505,0.05222283,0.00001097
-5.51975988,0.27153961,0.30326654,0.14472664,0.00113891,0.05181161,0.04970552,0.00000978
-5.51375688,0.25086779,0.28498003,0.13199116,0.00101487,0.04846106,0.04704975,0.00000891
-5.50775388,0.23172968,0.26667056,0.12050544,0.00093831,0.04532035,0.04430680,0.00000837
-5.50175088,0.21426168,0.24862441,0.11028583,0.00090735,0.04244001,0.04153078,0.00000816
-5.49574787,0.19861952,0.23113383,0.10136192,0.00092128,0.03987368,0.03877725,0.00000830
-5.48974487,0.18497546,0.21449096,0.09377574,0.00098051,0.03767765,0.03610180,0.00000879
-5.48374187,0.17351527,0.19898209,0.08758059,0.00108653,0.03591025,0.03355887,0.00000967
-5.47773887,0.16443492,0.18488263,0.08283974,0.00124180,0.03463125,0.03120063,0.00001096
-5.47173587,0.15793693,0.17245260,0.07962465,0.00144963,0.03390111,0.02907612,0.00001269
-5.46573287,0.15422635,0.16193275,0.07801293,0.00171409,0.03378013,0.02723045,0.00001491
-5.45972986,0.15350626,0.15354129,0.07808588,0.00203982,0.03432743,0.02570418,0.00001765
-5.45372686,0.15597269,0.14747089,0.07992559,0.00243186,0.03559983,0.02453284,0.00002097
-5.44772386,0.16180888,0.14388612,0.08361163,0.00289541,0.03765043,0.02374655,0.00002489
-5.44172086,0.17117891,0.14292099,0.08921722,0.00343562,0.04052709,0.02336965,0.00002948
-5.43571786,0.18422058,0.14467655,0.09680502,0.00405726,0.04427063,0.02342044,0.00003477
-5.42971486,0.20103772,0.14921849,0.10642256,0.00476450,0.04891294,0.02391090,0.00004079
-5.42371186,0.22169211,0.15657470,0.11809737,0.00556051,0.05447486,0.02484646,0.00004758
-5.41770885,0.24619519,0.16673280,0.13183209,0.00644724,0.06096409,0.02622571,0.00005514
-5.41170585,0.27449993,0.17963775,0.14759961,0.00742501,0.06837307,0.02804023,0.00006348
-5.40570285,0.30649333,0.19518977,0.16533863,0.00849232,0.07667700,0.03027434,0.00007259
-5.39969985,0.34199002,0.21324268,0.18494984,0.00964552,0.08583219,0.03290501,0.00008243
-5.39369685,0.38072754,0.23360306,0.20629300,0.01087869,0.09577471,0.03590184,0.00009295
-5.38769385,0.42236372,0.25603041,0.22918539,0.01218346,0.10641968,0.03922716,0.00010409
