energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
1.85192596,4.93303768,-2.90624091,0.81055450,-0.28966813,1.60760389,-1.80379532,0.80044346,-0.36541066,1.13248683,-0.31133654,0.05932287,-0.02508495,0.41818738,-0.20793975,0.13757942,-0.12431637,1.55584999,-0.43158958
1.85792896,4.95010936,-2.79948534,0.81094719,-0.27953037,1.61305637,-1.73856994,0.79475908,-0.35918329,1.14030407,-0.29952900,0.05955259,-0.02395770,0.41779607,-0.19741577,0.13687066,-0.11891719,1.55941582,-0.41764187
1.86393197,4.95347582,-2.69554413,0.80963950,-0.26990501,1.61519930,-1.67603551,0.78767836,-0.35258946,1.14387362,-0.28788978,0.05991255,-0.02302782,0.41688814,-0.18677092,0.13594484,-0.11347159,1.55627801,-0.40371935
1.86993497,4.94258842,-2.59553228,0.80666051,-0.26089607,1.61368569,-1.61675863,0.77913849,-0.34577520,1.14313763,-0.27655454,0.06038541,-0.02231297,0.41541437,-0.17614502,0.13479228,-0.10804037,1.54640955,-0.39001936
1.87593797,4.91713337,-2.50071229,0.80205607,-0.25262702,1.60823512,-1.56140889,0.76910465,-0.33892069,1.13810735,-0.26567041,0.06094850,-0.02183289,0.41333471,-0.16568098,0.13340467,-0.10269003,1.52990681,-0.37675656
1.88194097,4.87703327,-2.41247143,0.79588632,-0.24523844,1.59864020,-1.51074800,0.75757088,-0.33223693,1.12885994,-0.25539254,0.06157430,-0.02160941,0.41061918,-0.15552191,0.13177545,-0.09749161,1.50698434,-0.36415859
1.88794397,4.82244271,-2.33228961,0.78822329,-0.23888474,1.58477075,-1.46561203,0.74456004,-0.32596095,1.11553372,-0.24587992,0.06223115,-0.02166611,0.40724851,-0.14580816,0.12990015,-0.09251922,1.47796641,-0.35246068
1.89394697,4.75373872,-2.26169907,0.77914881,-0.23372973,1.56657597,-1.42688737,0.73012309,-0.32034952,1.09832226,-0.23729063,0.06288412,-0.02202792,0.40321468,-0.13667434,0.12777688,-0.08784848,1.44327566,-0.34189921
1.89994997,4.67150689,-2.20223731,0.76875272,-0.22994133,1.54408453,-1.39548147,0.71433761,-0.31567167,1.07746752,-0.22977676,0.06349617,-0.02272049,0.39852135,-0.12824657,0.12540674,-0.08355472,1.40341949,-0.33270463
1.90595298,4.57652400,-2.15539514,0.75713168,-0.22768567,1.51740280,-1.37228933,0.69730572,-0.31220016,1.05325239,-0.22347918,0.06402930,-0.02376941,0.39318409,-0.12063977,0.12279430,-0.07971108,1.35897482,-0.32509396
