energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
2.34417209,0.93378125,0.03634025,0.08485192,0.24882064,0.18581064,0.00000000,0.30966346,0.00208395
2.35017509,0.90193861,0.03638934,0.08154542,0.24096347,0.17895547,0.00000000,0.29760474,0.00200314
2.35617809,0.86518550,0.03620680,0.07780577,0.23177656,0.17114506,0.00000000,0.28396265,0.00191170
2.36218109,0.82423062,0.03579546,0.07370556,0.22143682,0.16252861,0.00000000,0.26900115,0.00181138
2.36818409,0.77983551,0.03516245,0.06932152,0.21013621,0.15326534,0.00000000,0.25299895,0.00170405
2.37418709,0.73279134,0.03431903,0.06473213,0.19807588,0.14351950,0.00000000,0.23624095,0.00159162
2.38019010,0.68389590,0.03328025,0.06001539,0.18546033,0.13345554,0.00000000,0.21900988,0.00147600
2.38619310,0.63393191,0.03206452,0.05524677,0.17249181,0.12323358,0.00000000,0.20157872,0.00135902
2.39219610,0.58364735,0.03069305,0.05049734,0.15936514,0.11300541,0.00000000,0.18420378,0.00124243
2.39819910,0.53373854,0.02918925,0.04583224,0.14626323,0.10291102,0.00000000,0.16711905,0.00112779
2.40420210,0.48483626,0.02757807,0.04130953,0.13335323,0.09307595,0.00000000,0.15053167,0.00101652
2.41020510,0.43749547,0.02588529,0.03697937,0.12078366,0.08360930,0.00000000,0.13461880,0.00090982
2.41620810,0.39218845,0.02413686,0.03288355,0.10868229,0.07460257,0.00000000,0.11952573,0.00080871
2.42221111,0.34930150,0.02235823,0.02905542,0.09715497,0.06612919,0.00000000,0.10536539,0.00071397
2.42821411,0.30913485,0.02057375,0.02552014,0.08628524,0.05824478,0.00000000,0.09221888,0.00062619
2.43421711,0.27190545,0.01880611,0.02229513,0.07613475,0.05098794,0.00000000,0.08013707,0.00054575
2.44022011,0.23775226,0.01707595,0.01939086,0.06674420,0.04438157,0.00000000,0.06914307,0.00047285
2.44622311,0.20674340,0.01540146,0.01681172,0.05813501,0.03843458,0.00000000,0.05923522,0.00040755
2.45222611,0.17888477,0.01379814,0.01455702,0.05031118,0.03314383,0.00000000,0.05039056,0.00034976
2.45822911,0.15412946,0.01227870,0.01262201,0.04326159,0.02849618,0.00000000,0.04256854,0.00029928
2.46423212,0.13238757,0.01085295,0.01099895,0.03696241,0.02447065,0.00000000,0.03571475,0.00025584
2.47023512,0.11353586,0.00952794,0.00967807,0.03137948,0.02104044,0.00000000,0.02976449,0.00021908
2.47623812,0.09742699,0.00830802,0.00864840,0.02647078,0.01817482,0.00000000,0.02464621,0.00018863
2.48224112,0.08389785,0.00719507,0.00789857,0.02218863,0.01584085,0.00000000,0.02028453,0.00016409
