energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-5.26163082,1.59833743,0.02418166,0.06987795,1.00446520,0.00000000,0.43421067,0.22598546
-5.25562781,1.62990529,0.02386852,0.06831096,1.02857266,0.00000000,0.42165987,0.23217502
-5.24962481,1.66911008,0.02351015,0.06810310,1.05552253,0.00000000,0.41205725,0.23967882
-5.24362181,1.71518465,0.02310482,0.06928878,1.08469217,0.00000000,0.40531264,0.24840379
-5.23761881,1.76740117,0.02265348,0.07189640,1.11549837,0.00000000,0.40131726,0.25826491
-5.23161581,1.82508470,0.02215946,0.07594827,1.14740756,0.00000000,0.39995098,0.26918728
-5.22561281,1.88762321,0.02162819,0.08146059,1.17994344,0.00000000,0.40108947,0.28110755
-5.21960980,1.95447392,0.02106681,0.08844358,1.21269193,0.00000000,0.40461098,0.29397473
-5.21360680,2.02516591,0.02048374,0.09690156,1.24530328,0.00000000,0.41040276,0.30775030
-5.20760380,2.09929925,0.01988818,0.10683334,1.27749164,0.00000000,0.41836695,0.32240761
-5.20160080,2.17654104,0.01928963,0.11823261,1.30903200,0.00000000,0.42842606,0.33793065
-5.19559780,2.25661905,0.01869744,0.13108865,1.33975524,0.00000000,0.44052780,0.35431227
-5.18959480,2.33931353,0.01812030,0.14538715,1.36954139,0.00000000,0.45464950,0.37155194
-5.18359180,2.42444812,0.01756589,0.16111133,1.39831189,0.00000000,0.47080189,0.38965327
-5.17758879,2.51188047,0.01704051,0.17824324,1.42602121,0.00000000,0.48903233,0.40862132
-5.17158579,2.60149330,0.01654889,0.19676517,1.45264850,0.00000000,0.50942729,0.42845996
-5.16558279,2.69318648,0.01609398,0.21666116,1.47818965,0.00000000,0.53211398,0.44916936
-5.15957979,2.78687046,0.01567692,0.23791856,1.50265023,0.00000000,0.55726093,0.47074376
-5.15357679,2.88246112,0.01529707,0.26052928,1.52603958,0.00000000,0.58507730,0.49316950
-5.14757379,2.97987625,0.01495212,0.28449091,1.54836638,0.00000000,0.61581068,0.51642354
-5.14157079,3.07903310,0.01463833,0.30980730,1.56963551,0.00000000,0.64974312,0.54047230
-5.13556778,3.17984686,0.01435076,0.33648852,1.58984648,0.00000000,0.68718514,0.56527095
-5.12956478,3.28222941,0.01408359,0.36455012,1.60899305,0.00000000,0.72846754,0.59076296
-5.12356178,3.38608775,0.01383048,0.39401147,1.62706386,0.00000000,0.77393093,0.61687998
-5.11755878,3.49132155,0.01358489,0.42489318,1.64404392,0.00000000,0.82391293,0.64354186
-5.11155578,3.59781935,0.01334043,0.45721356,1.65991636,0.00000000,0.87873313,0.67065680
-5.10555278,3.70545284,0.01309119,0.49098411,1.67466440,0.00000000,0.93867615,0.69812147
-5.09954977,3.81406922,0.01283197,0.52620419,1.68827298,0.00000000,1.00397317,0.72582112
-5.09354677,3.92348144,0.01255854,0.56285506,1.70072991,0.00000000,1.07478240,0.75362964
-5.08754377,4.03345675,0.01226777,0.60089353,1.71202633,0.00000000,1.15116941,0.78140950
-5.08154077,4.14370390,0.01195776,0.64024545,1.72215623,0.00000000,1.23308801,0.80901167
-5.07553777,4.25385979,0.01162786,0.68079959,1.73111524,0.00000000,1.32036268,0.83627555
-5.06953477,4.36347655,0.01127862,0.72240210,1.73889841,0.00000000,1.41267361,0.86302896
-5.06353177,4.47200995,0.01091180,0.76485214,1.74549748,0.00000000,1.50954526,0.88908842
-5.05752876,4.57881049,0.01053019,0.80789892,1.75089761,0.00000000,1.61033960,0.91425975
-5.05152576,4.68311823,0.01013749,0.85124068,1.75507398,0.00000000,1.71425474,0.93833904
-5.04552276,4.78406236,0.00973816,0.89452580,1.75798861,0.00000000,1.82032968,0.96111441
-5.03951976,4.88066663,0.00933724,0.93735629,1.75958769,0.00000000,1.92745578,0.98236823
-5.03351676,4.97186097,0.00894020,0.97929377,1.75979980,0.00000000,2.03439496,1.00188029
-5.02751376,5.05649999,0.00855277,1.01986785,1.75853539,0.00000000,2.13980457,1.01943162
-5.02151076,5.13338794,0.00818078,1.05858697,1.75568768,0.00000000,2.24226848,1.03480910
-5.01550775,5.20130998,0.00783006,1.09495102,1.75113514,0.00000000,2.34033345,1.04781078
-5.00950475,5.25906854,0.00750632,1.12846570,1.74474566,0.00000000,2.43254958,1.05825160
-5.00350175,5.30552363,0.00721509,1.15865781,1.73638229,0.00000000,2.51751344,1.06596955
-4.99749875,5.33963531,0.00696159,1.18509084,1.72591027,0.00000000,2.59391194,1.07083172
-4.99149575,5.36050631,0.00675074,1.20738028,1.71320509,0.00000000,2.66056519,1.07274027
-4.98549275,5.36742253,0.00658704,1.22520777,1.69816109,0.00000000,2.71646618,1.07163767
-4.97948974,5.35988918,0.00647456,1.23833334,1.68070003,0.00000000,2.76081551,1.06751111
-4.97348674,5.33766036,0.00641686,1.24660516,1.66077905,0.00000000,2.79304917,1.06039569
-4.96748374,5.30075995,0.00641695,1.24996621,1.63839746,0.00000000,2.81285802,1.05037598
-4.96148074,5.24949230,0.00647717,1.24845733,1.61360173,0.00000000,2.82019774,1.03758605
-4.95547774,5.18444149,0.00659911,1.24221650,1.58648815,0.00000000,2.81528853,1.02220741
-4.94947474,5.10645868,0.00678356,1.23147429,1.55720300,0.00000000,2.79860445,1.00446521
-4.94347174,5.01663765,0.00703034,1.21654556,1.52593983,0.00000000,2.77085287,0.98462249
-4.93746873,4.91627944,0.00733826,1.19781785,1.49293391,0.00000000,2.73294473,0.96297288
-4.93146573,4.80684759,0.00770497,1.17573693,1.45845414,0.00000000,2.68595729,0.93983185
-4.92546273,4.68991621,0.00812694,1.15079034,1.42279274,0.00000000,2.63109116,0.91552706
-4.91945973,4.56711359,0.00859941,1.12348972,1.38625322,0.00000000,2.56962376,0.89038829
-4.91345673,4.44006430,0.00911633,1.09435282,1.34913758,0.00000000,2.50286169,0.86473733
-4.90745373,4.31033312,0.00967048,1.06388616,1.31173330,0.00000000,2.43209443,0.83887858
-4.90145073,4.17937387,0.01025350,1.03256938,1.27430110,0.00000000,2.35855169,0.81309083
-4.89544772,4.04848606,0.01085609,1.00084184,1.23706427,0.00000000,2.28336655,0.78762056
-4.88944472,3.91878182,0.01146816,0.96909239,1.20020033,0.00000000,2.20754624,0.76267746
-4.88344172,3.79116493,0.01207915,0.93765260,1.16383552,0.00000000,2.13195152,0.73843213
-4.87743872,3.66632296,0.01267831,0.90679382,1.12804260,0.00000000,2.05728577,0.71501632
-4.87143572,3.54473272,0.01325506,0.87672799,1.09284215,0.00000000,1.98409358,0.69252549
-4.86543272,3.42667834,0.01379935,0.84761208,1.05820716,0.00000000,1.91276855,0.67102373
