energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
0.68734367,1.62340452,-1.62296554,0.31142314,-0.31130198,0.04293545,-0.04292759,0.24055048,-0.24049742,0.76701641,-0.76682647,0.01146057,-0.01145313,0.18961975,-0.18951748,0.02334459,-0.02332711,0.60491702,-0.60481330
0.69334667,1.65005628,-1.64963731,0.31807581,-0.31795871,0.04359600,-0.04358826,0.24463685,-0.24458534,0.77425117,-0.77407021,0.01200953,-0.01200272,0.19966430,-0.19956824,0.02467657,-0.02465985,0.61179228,-0.61169091
0.69934967,1.67529874,-1.67490852,0.32449358,-0.32438288,0.04424629,-0.04423892,0.24874797,-0.24869891,0.78081270,-0.78064403,0.01251251,-0.01250649,0.20915149,-0.20906421,0.02593385,-0.02591823,0.61868825,-0.61859109
0.70535268,1.69883807,-1.69848495,0.33052726,-0.33042526,0.04487820,-0.04487144,0.25289725,-0.25285152,0.78665449,-0.78650129,0.01295645,-0.01295136,0.21786856,-0.21779249,0.02708907,-0.02707487,0.62565256,-0.62556144
0.71135568,1.72040665,-1.72009838,0.33602568,-0.33593460,0.04548558,-0.04547963,0.25710139,-0.25705980,0.79173585,-0.79160108,0.01332983,-0.01332578,0.22561546,-0.22555282,0.02811662,-0.02810412,0.63273318,-0.63264987
0.71735868,1.73977101,-1.73951451,0.34084042,-0.34076235,0.04606427,-0.04605931,0.26137972,-0.26134300,0.79602402,-0.79591034,0.01362293,-0.01362003,0.23221031,-0.23216303,0.02899333,-0.02898280,0.63997701,-0.63990316
0.72336168,1.75673827,-1.75653945,0.34483080,-0.34476759,0.04661194,-0.04660812,0.26575313,-0.26572190,0.79949581,-0.79940547,0.01382803,-0.01382633,0.23749444,-0.23746412,0.02969913,-0.02969078,0.64742807,-0.64736518
0.72936468,1.77116038,-1.77102394,0.34786868,-0.34782190,0.04712792,-0.04712535,0.27024259,-0.27021737,0.80213847,-0.80207326,0.01393953,-0.01393909,0.24133689,-0.24132477,0.03021755,-0.03021156,0.65512493,-0.65507428
0.73536768,1.78293572,-1.78286501,0.34984300,-0.34981392,0.04761284,-0.04761160,0.27486727,-0.27484846,0.80394962,-0.80391084,0.01395411,-0.01395495,0.24363816,-0.24364506,0.03053625,-0.03053273,0.66309759,-0.66306024
0.74137069,1.79200785,-1.79200485,0.35066372,-0.35065322,0.04806827,-0.04806839,0.27964236,-0.27963020,0.80493621,-0.80492457,0.01387076,-0.01387287,0.24433294,-0.24435925,0.03064730,-0.03064633,0.67136384,-0.67134058
0.74737369,1.79836149,-1.79842669,0.35026493,-0.35027350,0.04849625,-0.04849776,0.28457654,-0.28457116,0.80511237,-0.80512805,0.01369074,-0.01369407,0.24339186,-0.24343752,0.03054747,-0.03054906,0.67992514,-0.67991648
0.75337669,1.80201579,-1.80214824,0.34860698,-0.34863469,0.04889885,-0.04890171,0.28966944,-0.28967081,0.80449650,-0.80453911,0.01341748,-0.01342199,0.24082205,-0.24088657,0.03023824,-0.03024233,0.68876242,-0.68876857
0.75937969,1.80301547,-1.80321284,0.34567761,-0.34572412,0.04927764,-0.04928179,0.29490911,-0.29491709,0.80310761,-0.80317622,0.01305648,-0.01306206,0.23666648,-0.23674896,0.02972574,-0.02973223,0.69783190,-0.69785279
0.76538269,1.80142053,-1.80167919,0.34149192,-0.34155648,0.04963324,-0.04963861,0.30026967,-0.30028398,0.80096128,-0.80105445,0.01261502,-0.01262157,0.23100223,-0.23110139,0.02902052,-0.02902927,0.70706141,-0.70709669
0.77138569,1.79729526,-1.79761045,0.33609138,-0.33617287,0.04996496,-0.04997143,0.30570940,-0.30572969,0.79806564,-0.79818151,0.01210194,-0.01210933,0.22393765,-0.22405186,0.02813720,-0.02814801,0.71634741,-0.71639649
0.77738869,1.79069749,-1.79106347,0.32954186,-0.32963882,0.05027040,-0.05027787,0.31116948,-0.31119529,0.79441762,-0.79455394,0.01152731,-0.01153540,0.21560856,-0.21573592,0.02709399,-0.02710663,0.72555319,-0.72561524
0.78339170,1.78166903,-1.78207929,0.32193086,-0.32204154,0.05054538,-0.05055368,0.31657336,-0.31660417,0.79000001,-0.79015427,0.01090208,-0.01091074,0.20617374,-0.20631212,0.02591214,-0.02592633,0.73450840,-0.73458240
0.78939470,1.77022819,-1.77067567,0.31336425,-0.31348666,0.05078375,-0.05079276,0.32182714,-0.32186238,0.78477956,-0.78494900,0.01023778,-0.01024685,0.19580982,-0.19595696,0.02461529,-0.02463075,0.74301032,-0.74309511
0.79539770,1.75636514,-1.75684245,0.30396259,-0.30409458,0.05097761,-0.05098716,0.32682086,-0.32685994,0.77870639,-0.77888815,0.00954614,-0.00955546,0.18470594,-0.18485947,0.02322882,-0.02324525,0.75082691,-0.75092121
