energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Na_s_up,Se_s_up,Se_p_up
-4.30715358,1.85461838,0.12905426,0.07006587,0.67148201,0.22408666,0.12508322,0.09548741,0.92197906
-4.30115058,1.81432889,0.11652993,0.07893715,0.66301083,0.22980204,0.13418453,0.09022952,0.88842263
-4.29514757,1.79238130,0.10524333,0.08908556,0.66241451,0.23800261,0.14402260,0.08565209,0.86320499
-4.28914457,1.78889459,0.09521595,0.10055480,0.66991497,0.24865989,0.15452326,0.08176952,0.84632851
-4.28314157,1.80365900,0.08645026,0.11337696,0.68561535,0.26170243,0.16558368,0.07858288,0.83762671
-4.27713857,1.83613614,0.07893139,0.12756939,0.70949558,0.27701435,0.17707300,0.07608009,0.83676942
-4.27113557,1.88546623,0.07262889,0.14313162,0.74140961,0.29443507,0.18883441,0.07423654,0.84327168
-4.26513257,1.95048233,0.06749867,0.16004251,0.78108430,0.31376016,0.20068827,0.07301593,0.85650625
-4.25912956,2.02973152,0.06348496,0.17825765,0.82812002,0.33474359,0.21243658,0.07237145,0.87571950
-4.25312656,2.12150255,0.06052218,0.19770725,0.88199310,0.35710113,0.22386837,0.07224719,0.90005034
-4.24712356,2.22385962,0.05853679,0.21829444,0.94206038,0.38051491,0.23476611,0.07257978,0.92855173
-4.24112056,2.33468149,0.05744895,0.23989433,1.00756589,0.40463924,0.24491260,0.07330015,0.96021444
-4.23511756,2.45170529,0.05717417,0.26235370,1.07764980,0.42910720,0.25409839,0.07433546,0.99399221
-4.22911456,2.57257395,0.05762472,0.28549161,1.15135984,0.45353817,0.26212906,0.07561100,1.02882796
-4.22311156,2.69488641,0.05871099,0.30910082,1.22766517,0.47754593,0.26883236,0.07705220,1.06368005
-4.21710855,2.81624922,0.06034272,0.33295028,1.30547270,0.50074704,0.27406463,0.07858647,1.09754815
-4.21110555,2.93432846,0.06243024,0.35678852,1.38364575,0.52276949,0.27771638,0.08014506,1.12949771
-4.20510255,3.04690062,0.06488557,0.38034797,1.46102488,0.54326106,0.27971664,0.08166469,1.15868251
-4.19909955,3.15190116,0.06762360,0.40335021,1.53645040,0.56189740,0.28003590,0.08308912,1.18436450
-4.19309655,3.24746942,0.07056318,0.42551199,1.60878629,0.57838938,0.27868750,0.08437040,1.20593042
-4.18709355,3.33198865,0.07362824,0.44655181,1.67694477,0.59248966,0.27572746,0.08547007,1.22290465
-4.18109055,3.40412003,0.07674897,0.46619695,1.73991090,0.60399806,0.27125254,0.08635997,1.23495790
-4.17508754,3.46282955,0.07986286,0.48419058,1.79676623,0.61276571,0.26539692,0.08702289,1.24191154
-4.16908454,3.50740694,0.08291573,0.50029888,1.84671096,0.61869790,0.25832734,0.08745297,1.24373748
-4.16308154,3.53747599,0.08586269,0.51431756,1.88908329,0.62175526,0.25023713,0.08765580,1.24055361
-4.15707854,3.55299570,0.08866888,0.52607780,1.92337542,0.62195352,0.24133938,0.08764827,1.23261499
-4.15107554,3.55425218,0.09131004,0.53545114,1.94924529,0.61936178,0.23185937,0.08745813,1.22030116
-4.14507254,3.54184126,0.09377278,0.54235306,1.96652334,0.61409913,0.22202684,0.08712331,1.20409998
-4.13906953,3.51664237,0.09605456,0.54674522,1.97521389,0.60633011,0.21206830,0.08669088,1.18458861
-4.13306653,3.47978408,0.09816331,0.54863598,1.97549094,0.59625883,0.20219962,0.08621580,1.16241214
-4.12706353,3.43260271,0.10011661,0.54807935,1.96768824,0.58412207,0.19261940,0.08575934,1.13826077
-4.12106053,3.37659486,0.10194057,0.54517224,1.95228403,0.57018173,0.18350316,0.08538727,1.11284611
-4.11505753,3.31336572,0.10366824,0.54005024,1.92988102,0.55471658,0.17499868,0.08516782,1.08687745
-4.10905453,3.24457483,0.10533771,0.53288208,1.90118236,0.53801400,0.16722260,0.08516937,1.06103872
-4.10305153,3.17188114,0.10698995,0.52386298,1.86696470,0.52036166,0.16025835,0.08545803,1.03596688
-4.09704852,3.09688943,0.10866640,0.51320737,1.82804953,0.50203965,0.15415544,0.08609516,1.01223243
-4.09104552,3.02110019,0.11040648,0.50114114,1.78527416,0.48331325,0.14893011,0.08713477,0.99032260
-4.08504252,2.94586474,0.11224509,0.48789408,1.73946362,0.46442669,0.14456725,0.08862106,0.97062786
-4.07903952,2.87234738,0.11421019,0.47369257,1.69140490,0.44559799,0.14102335,0.09058607,0.95343199
-4.07303652,2.80149616,0.11632074,0.45875320,1.64182459,0.42701518,0.13823057,0.09304769,0.93890616
-4.06703352,2.73402323,0.11858486,0.44327733,1.59137094,0.40883389,0.13610141,0.09600786,0.92710720
-4.06103052,2.67039567,0.12099853,0.42744698,1.54060108,0.39117646,0.13453405,0.09945145,0.91797997
