energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
0.65132566,1.68564762,0.51944302,0.00000000,0.01194121,0.11726472,0.59271162,1.46921229
0.65732866,1.71884410,0.52712896,0.00000000,0.01257097,0.12152725,0.61400546,1.49696558
0.66333167,1.75353206,0.53507500,0.00000000,0.01334771,0.12639340,0.63660044,1.52483593
0.66933467,1.78962240,0.54309453,0.00000000,0.01425113,0.13176494,0.66014848,1.55295854
0.67533767,1.82702949,0.55100404,0.00000000,0.01525980,0.13753207,0.68428187,1.58149367
0.68134067,1.86565917,0.55862578,0.00000000,0.01635143,0.14357572,0.70861743,1.61060927
0.68734367,1.90539567,0.56579005,0.00000000,0.01750311,0.14977000,0.73276126,1.64046196
0.69334667,1.94608833,0.57233724,0.00000000,0.01869162,0.15598519,0.75631421,1.67117755
0.69934967,1.98753940,0.57811956,0.00000000,0.01989376,0.16209080,0.77887801,1.70283233
0.70535268,2.02949372,0.58300269,0.00000000,0.02108668,0.16795888,0.80006208,1.73543634
0.71135568,2.07163141,0.58686705,0.00000000,0.02224828,0.17346728,0.81949087,1.76891981
0.71735868,2.11356410,0.58960906,0.00000000,0.02335756,0.17850292,0.83681163,1.80312372
0.72336168,2.15483559,0.59114218,0.00000000,0.02439501,0.18296483,0.85170230,1.83779535
0.72936468,2.19492690,0.59139774,0.00000000,0.02534294,0.18676680,0.86387924,1.87258916
0.73536768,2.23326601,0.59032565,0.00000000,0.02618582,0.18983979,0.87310465,1.90707331
0.74137069,2.26924184,0.58789488,0.00000000,0.02691056,0.19213367,0.87919307,1.94074162
0.74737369,2.30222208,0.58409366,0.00000000,0.02750668,0.19361848,0.88201700,1.97303043
0.75337669,2.33157401,0.57892951,0.00000000,0.02796653,0.19428504,0.88151106,2.00333968
0.75937969,2.35668733,0.57242896,0.00000000,0.02828528,0.19414492,0.87767458,2.03105704
0.76538269,2.37699787,0.56463695,0.00000000,0.02846098,0.19322975,0.87057248,2.05558400
0.77138569,2.39201105,0.55561607,0.00000000,0.02849445,0.19158994,0.86033429,2.07636235
0.77738869,2.40132374,0.54544544,0.00000000,0.02838910,0.18929278,0.84715121,2.09289988
0.78339170,2.40464348,0.53421937,0.00000000,0.02815078,0.18642009,0.83127150,2.10479369
0.78939470,2.40180393,0.52204584,0.00000000,0.02778741,0.18306546,0.81299408,2.11175008
0.79539770,2.39277581,0.50904478,0.00000000,0.02730877,0.17933113,0.79266078,2.11359980
0.80140070,2.37767269,0.49534625,0.00000000,0.02672608,0.17532477,0.77064740,2.11030803
0.80740370,2.35675127,0.48108848,0.00000000,0.02605165,0.17115606,0.74735400,2.10197843
0.81340670,2.33040620,0.46641596,0.00000000,0.02529857,0.16693346,0.72319474,2.08885135
0.81940970,2.29915972,0.45147742,0.00000000,0.02448030,0.16276100,0.69858766,2.07129612
