energy_ev,total_up,Au_p_up,Au_d_up,In_p_up,In_d_up,Te_p_up,Te_d_up
-3.77288644,1.95170912,2.41041471,0.70074907,0.70135680,0.00117521,0.57359687,0.00000000
-3.76688344,1.99013011,2.46274309,0.71362676,0.71407030,0.00120271,0.58518417,0.00000000
-3.76088044,2.01837111,2.50295731,0.72278455,0.72269189,0.00122389,0.59390433,0.00000000
-3.75487744,2.03646885,2.53106187,0.72824147,0.72718982,0.00123867,0.59978414,0.00000000
-3.74887444,2.04469026,2.54733754,0.73009956,0.72762304,0.00124710,0.60291613,0.00000000
-3.74287144,2.04351601,2.55232189,0.72853798,0.72413735,0.00124939,0.60345300,0.00000000
-3.73686843,2.03361529,2.54677905,0.72380391,0.71695832,0.00124587,0.60159949,0.00000000
-3.73086543,2.01581308,2.53166021,0.71620084,0.70638115,0.00123697,0.59760215,0.00000000
-3.72486243,1.99105165,2.50805697,0.70607477,0.69275808,0.00122323,0.59173747,0.00000000
-3.71885943,1.96034836,2.47715010,0.69379914,0.67648407,0.00120526,0.58429909,0.00000000
-3.71285643,1.92475196,2.44015644,0.67975916,0.65798137,0.00118369,0.57558468,0.00000000
-3.70685343,1.88529982,2.39827684,0.66433657,0.63768389,0.00115917,0.56588325,0.00000000
-3.70085043,1.84297835,2.35264803,0.64789535,0.61602216,0.00113236,0.55546361,0.00000000
-3.69484742,1.79868849,2.30430071,0.63076943,0.59340953,0.00110387,0.54456441,0.00000000
-3.68884442,1.75321815,2.25412624,0.61325261,0.57023032,0.00107428,0.53338641,0.00000000
-3.68284142,1.70722276,2.20285328,0.59559155,0.54683052,0.00104408,0.52208723,0.00000000
-3.67683842,1.66121460,2.15103537,0.57798167,0.52351114,0.00101373,0.51077881,0.00000000
-3.67083542,1.61556118,2.09904966,0.56056639,0.50052470,0.00098359,0.49952753,0.00000000
-3.66483242,1.57049238,2.04710638,0.54343935,0.47807459,0.00095398,0.48835691,0.00000000
-3.65882941,1.52611519,1.99526794,0.52664941,0.45631729,0.00092512,0.47725262,0.00000000
-3.65282641,1.48243519,1.94347596,0.51020798,0.43536703,0.00089725,0.46616924,0.00000000
-3.64682341,1.43938270,1.89158435,0.49409804,0.41530252,0.00087052,0.45503849,0.00000000
