energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-3.01050525,0.31930222,0.00006898,0.02462353,0.05277760,0.17313472,0.00324780,0.10941955,0.05327317,0.00146709
-3.00450225,0.34354636,0.00005702,0.02720335,0.05511803,0.18468750,0.00356589,0.11812924,0.05858963,0.00158445
-2.99849925,0.37038904,0.00004697,0.02993824,0.05792159,0.19811748,0.00391757,0.12734767,0.06421410,0.00170900
-2.99249625,0.39941253,0.00003864,0.03279911,0.06109083,0.21321822,0.00429987,0.13690700,0.07008342,0.00183846
-2.98649325,0.43016678,0.00003185,0.03575375,0.06452736,0.22976559,0.00470926,0.14662987,0.07612792,0.00197044
-2.98049025,0.46217730,0.00002648,0.03876724,0.06813350,0.24752145,0.00514167,0.15633303,0.08227275,0.00210246
-2.97448724,0.49495454,0.00002237,0.04180254,0.07181401,0.26623805,0.00559253,0.16583153,0.08843942,0.00223197
-2.96848424,0.52800473,0.00001945,0.04482122,0.07547808,0.28566319,0.00605683,0.17494333,0.09454772,0.00235650
-2.96248124,0.56084196,0.00001762,0.04778431,0.07904129,0.30554608,0.00652915,0.18349428,0.10051789,0.00247362
-2.95647824,0.59300133,0.00001684,0.05065329,0.08242776,0.32564397,0.00700381,0.19132330,0.10627305,0.00258108
-2.95047524,0.62405283,0.00001711,0.05339112,0.08557222,0.34572934,0.00747494,0.19828743,0.11174171,0.00267683
-2.94447224,0.65361552,0.00001844,0.05596334,0.08842203,0.36559766,0.00793662,0.20426679,0.11686037,0.00275910
-2.93846923,0.68137164,0.00002090,0.05833919,0.09093909,0.38507540,0.00838304,0.20916902,0.12157609,0.00282646
-2.93246623,0.70708005,0.00002456,0.06049260,0.09310147,0.40402805,0.00880863,0.21293311,0.12584886,0.00287787
-2.92646323,0.73058843,0.00002957,0.06240320,0.09490478,0.42236800,0.00920823,0.21553246,0.12965380,0.00291270
-2.92046023,0.75184386,0.00003607,0.06405710,0.09636313,0.44006168,0.00957727,0.21697694,0.13298296,0.00293079
-2.91445723,0.77090107,0.00004427,0.06544757,0.09750970,0.45713589,0.00991188,0.21731387,0.13584668,0.00293244
-2.90845423,0.78792796,0.00005440,0.06657544,0.09839680,0.47368272,0.01020907,0.21662793,0.13827446,0.00291840
-2.90245123,0.80320798,0.00006672,0.06744930,0.09909545,0.48986285,0.01046685,0.21503978,0.14031527,0.00288988
-2.89644822,0.81713893,0.00008151,0.06808539,0.09969434,0.50590674,0.01068430,0.21270366,0.14203712,0.00284852
-2.89044522,0.83022803,0.00009909,0.06850728,0.10029841,0.52211356,0.01086166,0.20980383,0.14352611,0.00279631
-2.88444222,0.84308307,0.00011978,0.06874519,0.10102677,0.53884746,0.01100032,0.20655004,0.14488469,0.00273560
