energy_ev,total_up,Ag_p_up,Ag_d_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up
-5.51375688,12.49443340,0.42052675,2.50514715,1.17530588,8.79927862,0.00990666,0.22383132,0.69329079,0.00000000
-5.50775388,12.19132127,0.42533283,2.44679633,1.15314320,8.55918093,0.00968770,0.22408718,0.68607451,0.00000000
-5.50175088,11.88913980,0.42988098,2.38617887,1.13071014,8.32292670,0.00951797,0.22465195,0.67807856,0.00000000
-5.49574787,11.59159950,0.43416738,2.32404268,1.10824599,8.09337711,0.00939712,0.22547198,0.66943241,0.00000000
-5.48974487,11.30198667,0.43819275,2.26111021,1.08595343,7.87300349,0.00932543,0.22648161,0.66027097,0.00000000
-5.48374187,11.02307930,0.44196197,2.19805679,1.06399491,7.66382855,0.00930378,0.22760433,0.65073097,0.00000000
-5.47773887,10.75708937,0.44548386,2.13549315,1.04249158,7.46738832,0.00933354,0.22875473,0.64094796,0.00000000
-5.47173587,10.50563383,0.44877126,2.07395230,1.02152498,7.28471603,0.00941657,0.22984093,0.63105421,0.00000000
-5.46573287,10.26973437,0.45184128,2.01388154,1.00114108,7.11634828,0.00955503,0.23076744,0.62117739,0.00000000
-5.45972986,10.04984478,0.45471584,1.95563923,0.98135628,6.96235212,0.00975132,0.23143841,0.61144001,0.00000000
-5.45372686,9.84590298,0.45742226,1.89949621,0.96216499,6.82237114,0.01000789,0.23176100,0.60195953,0.00000000
-5.44772386,9.65740351,0.45999399,1.84564133,0.94354799,6.69568714,0.01032718,0.23164874,0.59284889,0.00000000
-5.44172086,9.48348528,0.46247120,1.79419017,0.92548111,6.58129365,0.01071145,0.23102471,0.58421727,0.00000000
-5.43571786,9.32302884,0.46490129,1.74519629,0.90794348,6.47797678,0.01116267,0.22982441,0.57617093,0.00000000
-5.42971486,9.17475698,0.46733906,1.69866376,0.89092481,6.38439892,0.01168245,0.22799808,0.56881369,0.00000000
-5.42371186,9.03733282,0.46984647,1.65456018,0.87443123,6.29918067,0.01227189,0.22551248,0.56224716,0.00000000
-5.41770885,8.90945002,0.47249206,1.61282928,0.85848934,6.22097692,0.01293160,0.22235201,0.55657027,0.00000000
-5.41170585,8.78991041,0.47534975,1.57340210,0.84314825,6.14854347,0.01366161,0.21851903,0.55187821,0.00000000
-5.40570285,8.67768575,0.47849721,1.53620646,0.82847957,6.08079128,0.01446140,0.21403357,0.54826076,0.00000000
-5.39969985,8.57196117,0.48201376,1.50117394,0.81457553,6.01682664,0.01532993,0.20893230,0.54579986,0.00000000
-5.39369685,8.47215945,0.48597785,1.46824439,0.80154533,5.95597604,0.01626571,0.20326692,0.54456685,0.00000000
-5.38769385,8.37794639,0.49046431,1.43736792,0.78951036,5.89779580,0.01726691,0.19710210,0.54461925,0.00000000
-5.38169085,8.28921878,0.49554141,1.40850451,0.77859837,5.84206744,0.01833154,0.19051295,0.54599761,0.00000000
-5.37568784,8.20607741,0.50126802,1.38162157,0.76893753,5.78878013,0.01945760,0.18358232,0.54872240,0.00000000
-5.36968484,8.12878839,0.50769092,1.35669004,0.76065042,5.73810279,0.02064333,0.17639801,0.55279143,0.00000000
-5.36368184,8.05773646,0.51484259,1.33367953,0.75384886,5.69034821,0.02188748,0.16904993,0.55817791,0.00000000
-5.35767884,7.99337431,0.52273943,1.31255300,0.74862956,5.64593232,0.02318954,0.16162753,0.56482949,0.00000000
-5.35167584,7.93617159,0.53138082,1.29326180,0.74507124,5.60533136,0.02455006,0.15421741,0.57266829,0.00000000
-5.34567284,7.88656732,0.54074884,1.27574132,0.74323315,5.56903988,0.02597087,0.14690127,0.58159217,0.00000000
-5.33966983,7.84492857,0.55080896,1.25990784,0.74315510,5.53753182,0.02745538,0.13975432,0.59147720,0.00000000
-5.33366683,7.81151775,0.56151143,1.24565689,0.74485905,5.51122689,0.02900871,0.13284413,0.60218127,0.00000000
-5.32766383,7.78646982,0.57279365,1.23286321,0.74835180,5.49046350,0.03063785,0.12622980,0.61354873,0.00000000
-5.32166083,7.76978026,0.58458304,1.22138239,0.75362873,5.47547918,0.03235170,0.11996174,0.62541585,0.00000000
-5.31565783,7.76130333,0.59680065,1.21105409,0.76067800,5.46639877,0.03416099,0.11408170,0.63761682,0.00000000
-5.30965483,7.76075973,0.60936490,1.20170661,0.76948500,5.46323007,0.03607806,0.10862320,0.64999002,0.00000000
-5.30365183,7.76775207,0.62219567,1.19316235,0.78003643,5.46586614,0.03811660,0.10361223,0.66238418,0.00000000
-5.29764882,7.78178605,0.63521810,1.18524400,0.79232370,5.47409318,0.04029116,0.09906809,0.67466410,0.00000000
-5.29164582,7.80229491,0.64836619,1.17778076,0.80634534,5.48760251,0.04261652,0.09500445,0.68671571,0.00000000
-5.28564282,7.82866497,0.66158573,1.17061433,0.82210804,5.50600517,0.04510706,0.09143033,0.69845001,0.00000000
-5.27963982,7.86025969,0.67483660,1.16360415,0.83962627,5.52884756,0.04777586,0.08835116,0.70980583,0.00000000
-5.27363682,7.89644046,0.68809410,1.15663158,0.85892042,5.55562673,0.05063386,0.08576964,0.72075112,0.00000000
-5.26763382,7.93658248,0.70134942,1.14960278,0.88001344,5.58580422,0.05368890,0.08368656,0.73128283,0.00000000
-5.26163082,7.98008470,0.71460900,1.14244999,0.90292624,5.61881742,0.05694479,0.08210133,0.74142528,0.00000000
