energy_ev,total_up,Ag_p_up,Ag_d_up,In_p_up,In_d_up,Se_s_up,Se_p_up
-2.00800400,1.77411214,1.28568198,0.26115532,0.46051885,0.00058686,0.18195767,0.73419627
-2.00200100,1.86401669,1.34516486,0.27977536,0.48189476,0.00062434,0.18414729,0.76437187
-1.99599800,1.96026283,1.40914310,0.29912716,0.50474288,0.00066287,0.18741755,0.79775016
-1.98999500,2.06186818,1.47697249,0.31905777,0.52876824,0.00070220,0.19167443,0.83392687
-1.98399200,2.16776279,1.54796573,0.33940522,0.55365456,0.00074205,0.19680424,0.87244375
-1.97798899,2.27681685,1.62141451,0.36000214,0.57907211,0.00078219,0.20267687,0.91280087
-1.97198599,2.38786904,1.69661122,0.38067934,0.60468567,0.00082237,0.20914924,0.95446983
-1.96598299,2.49975436,1.77286932,0.40126940,0.63016237,0.00086237,0.21606910,0.99690724
-1.95997999,2.61133071,1.84954133,0.42161002,0.65517906,0.00090200,0.22327889,1.03956824
-1.95397699,2.72150292,1.92603388,0.44154707,0.67942906,0.00094109,0.23061957,1.08191950
-1.94797399,2.82924395,2.00181910,0.46093709,0.70262799,0.00097948,0.23793454,1.12345144
-1.94197099,2.93361221,2.07644191,0.47964941,0.72451862,0.00101707,0.24507322,1.16368929
-1.93596798,3.03376510,2.14952311,0.49756767,0.74487461,0.00105375,0.25189451,1.20220268
-1.92996498,3.12896836,2.22075834,0.51459076,0.76350304,0.00108945,0.25826990,1.23861366
-1.92396198,3.21860146,2.28991302,0.53063326,0.78024595,0.00112411,0.26408621,1.27260289
-1.91795898,3.30215931,2.35681404,0.54562548,0.79498076,0.00115769,0.26924794,1.30391413
-1.91195598,3.37925095,2.42133861,0.55951309,0.80761985,0.00119016,0.27367914,1.33235683
-1.90595298,3.44959553,2.48340138,0.57225648,0.81810934,0.00122150,0.27732483,1.35780713
-1.89994997,3.51301673,2.54294056,0.58383015,0.82642734,0.00125170,0.28015192,1.38020725
-1.89394697,3.56943604,2.59990415,0.59422190,0.83258184,0.00128075,0.28214968,1.39956355
-1.88794397,3.61886575,2.65423719,0.60343233,0.83660827,0.00130866,0.28332968,1.41594339
-1.88194097,3.66140226,2.70587094,0.61147436,0.83856714,0.00133545,0.28372532,1.42947109
-1.87593797,3.69722022,2.75471466,0.61837317,0.83854162,0.00136115,0.28339084,1.44032312
-1.86993497,3.72656766,2.80065068,0.62416625,0.83663529,0.00138579,0.28239997,1.44872274
-1.86393197,3.74976236,2.84353299,0.62890377,0.83297016,0.00140945,0.28084415,1.45493426
-1.85792896,3.76718924,2.88318950,0.63264907,0.82768477,0.00143223,0.27883034,1.45925694
-1.85192596,3.77929838,2.91942781,0.63547922,0.82093254,0.00145427,0.27647850,1.46201872
-1.84592296,3.78660335,2.95204414,0.63748541,0.81288027,0.00147571,0.27391881,1.46356976
-1.83991996,3.78967907,2.98083481,0.63877317,0.80370661,0.00149678,0.27128848,1.46427570
-1.83391696,3.78915852,3.00560945,0.63946210,0.79360063,0.00151771,0.26872845,1.46451083
-1.82791396,3.78572771,3.02620513,0.63968499,0.78276013,0.00153880,0.26637984,1.46465094
-1.82191096,3.78011820,3.04250041,0.63958627,0.77138990,0.00156036,0.26438033,1.46506595
-1.81590795,3.77309672,3.05442824,0.63931961,0.75969965,0.00158272,0.26286040,1.46611230
-1.80990495,3.76545150,3.06198698,0.63904461,0.74790171,0.00160627,0.26193973,1.46812513
-1.80390195,3.75797543,3.06524848,0.63892271,0.73620837,0.00163135,0.26172365,1.47141039
-1.79789895,3.75144610,3.06436278,0.63911224,0.72482902,0.00165834,0.26229984,1.47623693
-1.79189595,3.74660326,3.05955879,0.63976299,0.71396696,0.00168756,0.26373540,1.48282883
-1.78589295,3.74412446,3.05114090,0.64101017,0.70381614,0.00171930,0.26607434,1.49135823
-1.77988994,3.74459994,3.03948142,0.64296846,0.69455771,0.00175379,0.26933566,1.50193882
-1.77388694,3.74850787,3.02500918,0.64572606,0.68635672,0.00179119,0.27351205,1.51462041
-1.76788394,3.75619129,3.00819488,0.64933930,0.67935890,0.00183156,0.27856937,1.52938486
-1.76188094,3.76783820,2.98953384,0.65382818,0.67368773,0.00187486,0.28444692,1.54614362
-1.75587794,3.78346608,2.96952723,0.65917290,0.66944202,0.00192093,0.29105851,1.56473717
-1.74987494,3.80291207,2.94866262,0.66531203,0.66669391,0.00196951,0.29829445,1.58493663
-1.74387194,3.82582988,2.92739520,0.67214219,0.66548761,0.00202021,0.30602435,1.60644757
-1.73786893,3.85169411,2.90613061,0.67951959,0.66583889,0.00207253,0.31410062,1.62891623
