energy_ev,total_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-5.09954977,1.04847705,0.29533834,0.00000000,0.41830460,0.00000000,0.44753794,0.33128502
-5.09354677,1.03374542,0.29124947,0.00000000,0.41302276,0.00000000,0.44162511,0.33343808
-5.08754377,1.02269253,0.28759631,0.00000000,0.40985258,0.00000000,0.43700561,0.33610287
-5.08154077,1.01510524,0.28426929,0.00000000,0.40874346,0.00000000,0.43367031,0.33906838
-5.07553777,1.01069805,0.28114783,0.00000000,0.40960883,0.00000000,0.43156773,0.34211692
-5.06953477,1.00912004,0.27810357,0.00000000,0.41232795,0.00000000,0.43060591,0.34502946
-5.06353177,1.00996536,0.27500432,0.00000000,0.41674948,0.00000000,0.43065622,0.34759155
-5.05752876,1.01278664,0.27171852,0.00000000,0.42269637,0.00000000,0.43155896,0.34959956
-5.05152576,1.01711071,0.26811998,0.00000000,0.42997188,0.00000000,0.43313023,0.35086692
-5.04552276,1.02245551,0.26409259,0.00000000,0.43836641,0.00000000,0.43516986,0.35122991
-5.03951976,1.02834746,0.25953473,0.00000000,0.44766470,0.00000000,0.43746973,0.35055296
-5.03351676,1.03433807,0.25436322,0.00000000,0.45765291,0.00000000,0.43982231,0.34873283
-5.02751376,1.04001898,0.24851641,0.00000000,0.46812531,0.00000000,0.44202870,0.34570170
-5.02151076,1.04503465,0.24195651,0.00000000,0.47889000,0.00000000,0.44390593,0.34142892
-5.01550775,1.04909196,0.23467079,0.00000000,0.48977356,0.00000000,0.44529309,0.33592127
-5.00950475,1.05196625,0.22667185,0.00000000,0.50062420,0.00000000,0.44605618,0.32922184
-5.00350175,1.05350371,0.21799681,0.00000000,0.51131323,0.00000000,0.44609120,0.32140747
-4.99749875,1.05361994,0.20870557,0.00000000,0.52173505,0.00000000,0.44532578,0.31258505
-4.99149575,1.05229502,0.19887833,0.00000000,0.53180542,0.00000000,0.44371898,0.30288676
-4.98549275,1.04956551,0.18861241,0.00000000,0.54145834,0.00000000,0.44125975,0.29246463
-4.97948974,1.04551400,0.17801868,0.00000000,0.55064178,0.00000000,0.43796385,0.28148462
-4.97348674,1.04025701,0.16721777,0.00000000,0.55931263,0.00000000,0.43386987,0.27012056
-4.96748374,1.03393200,0.15633625,0.00000000,0.56743125,0.00000000,0.42903439,0.25854835
-4.96148074,1.02668460,0.14550297,0.00000000,0.57495605,0.00000000,0.42352674,0.24694053
-4.95547774,1.01865668,0.13484578,0.00000000,0.58183862,0.00000000,0.41742373,0.23546165
-4.94947474,1.00997629,0.12448873,0.00000000,0.58801978,0.00000000,0.41080468,0.22426452
-4.94347174,1.00075001,0.11454981,0.00000000,0.59342698,0.00000000,0.40374704,0.21348750
-4.93746873,0.99105830,0.10513934,0.00000000,0.59797320,0.00000000,0.39632284,0.20325293
-4.93146573,0.98095400,0.09635900,0.00000000,0.60155771,0.00000000,0.38859629,0.19366670
-4.92546273,0.97046427,0.08830149,0.00000000,0.60406859,0.00000000,0.38062242,0.18481880
-4.91945973,0.95959550,0.08105066,0.00000000,0.60538693,0.00000000,0.37244697,0.17678489
-4.91345673,0.94834104,0.07468216,0.00000000,0.60539261,0.00000000,0.36410739,0.16962853
-4.90745373,0.93669097,0.06926432,0.00000000,0.60397122,0.00000000,0.35563477,0.16340394
-4.90145073,0.92464322,0.06485926,0.00000000,0.60102168,0.00000000,0.34705653,0.15815907
-4.89544772,0.91221502,0.06152398,0.00000000,0.59646408,0.00000000,0.33839963,0.15393857
-4.88944472,0.89945389,0.05931132,0.00000000,0.59024727,0.00000000,0.32969382,0.15078652
-4.88344172,0.88644705,0.05827066,0.00000000,0.58235549,0.00000000,0.32097492,0.14874864
-4.87743872,0.87332847,0.05844815,0.00000000,0.57281366,0.00000000,0.31228744,0.14787370
-4.87143572,0.86028282,0.05988658,0.00000000,0.56169090,0.00000000,0.30368664,0.14821400
-4.86543272,0.84754561,0.06262448,0.00000000,0.54910182,0.00000000,0.29523953,0.14982483
-4.85942971,0.83539943,0.06669481,0.00000000,0.53520556,0.00000000,0.28702473,0.15276278
-4.85342671,0.82416598,0.07212295,0.00000000,0.52020241,0.00000000,0.27913127,0.15708297
-4.84742371,0.81419427,0.07892420,0.00000000,0.50432806,0.00000000,0.27165607,0.16283529
-4.84142071,0.80584536,0.08710083,0.00000000,0.48784589,0.00000000,0.26470039,0.17005976
-4.83541771,0.79947433,0.09663887,0.00000000,0.47103749,0.00000000,0.25836542,0.17878134
-4.82941471,0.79541057,0.10750476,0.00000000,0.45419198,0.00000000,0.25274716,0.18900435
-4.82341171,0.79393725,0.11964212,0.00000000,0.43759466,0.00000000,0.24793092,0.20070698
-4.81740870,0.79527133,0.13296882,0.00000000,0.42151559,0.00000000,0.24398582,0.21383605
-4.81140570,0.79954515,0.14737464,0.00000000,0.40619868,0.00000000,0.24095967,0.22830266
-4.80540270,0.80679095,0.16271969,0.00000000,0.39185195,0.00000000,0.23887436,0.24397875
-4.79939970,0.81692916,0.17883384,0.00000000,0.37863929,0.00000000,0.23772238,0.26069524
-4.79339670,0.82976150,0.19551734,0.00000000,0.36667444,0.00000000,0.23746444,0.27824171
-4.78739370,0.84496936,0.21254268,0.00000000,0.35601712,0.00000000,0.23802853,0.29636800
