energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
3.96498249,1.13870975,0.00698487,0.26954004,0.22187190,0.01069155,0.01370359,0.07335807,0.42568329,0.68124000
3.97098549,1.17623824,0.00777633,0.27749162,0.23767560,0.01092964,0.01455997,0.08095144,0.43619076,0.69879040
3.97698849,1.21178562,0.00870000,0.28453987,0.25451358,0.01115462,0.01559682,0.08913449,0.44550170,0.71418970
3.98299150,1.24566700,0.00977206,0.29071481,0.27239810,0.01136876,0.01682407,0.09790098,0.45378122,0.72764526
3.98899450,1.27833298,0.01101007,0.29607553,0.29133837,0.01157596,0.01825301,0.10723623,0.46126069,0.73945993
3.99499750,1.31035653,0.01243261,0.30070835,0.31133742,0.01178163,0.01989572,0.11711642,0.46823271,0.75002472
4.00100050,1.34241473,0.01405897,0.30472413,0.33238881,0.01199251,0.02176429,0.12750804,0.47504367,0.75980790
4.00700350,1.37526615,0.01590861,0.30825480,0.35447361,0.01221638,0.02387004,0.13836777,0.48208404,0.76934096
4.01300650,1.40972466,0.01800058,0.31144946,0.37755759,0.01246180,0.02622256,0.14964270,0.48977672,0.77920200
4.01900950,1.44663060,0.02035288,0.31447004,0.40158904,0.01273775,0.02882883,0.16127089,0.49856389,0.78999708
4.02501251,1.48682054,0.02298169,0.31748689,0.42649715,0.01305329,0.03169230,0.17318240,0.50889268,0.80234012
4.03101551,1.53109656,0.02590056,0.32067429,0.45219115,0.01341718,0.03481205,0.18530059,0.52120036,0.81683231
4.03701851,1.58019613,0.02911959,0.32420619,0.47856024,0.01383753,0.03818199,0.19754376,0.53589929,0.83404140
4.04302151,1.63476368,0.03264451,0.32825217,0.50547433,0.01432145,0.04179027,0.20982693,0.55336234,0.85448189
4.04902451,1.69532468,0.03647590,0.33297375,0.53278544,0.01487472,0.04561880,0.22206382,0.57390913,0.87859655
4.05502751,1.76226285,0.04060828,0.33852102,0.56032978,0.01550153,0.04964301,0.23416874,0.59779353,0.90673981
4.06103052,1.83580135,0.04502946,0.34502972,0.58793036,0.01620422,0.05383181,0.24605849,0.62519277,0.93916368
4.06703352,1.91598809,0.04971990,0.35261848,0.61539987,0.01698312,0.05814782,0.25765395,0.65619858,0.97600629
4.07303652,2.00268565,0.05465223,0.36138642,0.64254376,0.01783639,0.06254783,0.26888147,0.69081045,1.01728362
4.07903952,2.09556587,0.05979105,0.37141089,0.66916338,0.01876000,0.06698350,0.27967387,0.72893128,1.06288431
4.08504252,2.19410918,0.06509285,0.38274537,0.69505891,0.01974773,0.07140233,0.28997104,0.77036554,1.11256784
4.09104552,2.29760867,0.07050630,0.39541740,0.72003210,0.02079121,0.07574876,0.29972018,0.81482000,1.16596604
4.09704852,2.40517866,0.07597274,0.40942665,0.74388868,0.02188006,0.07996549,0.30887560,0.86190699,1.22258787
4.10305153,2.51576774,0.08142700,0.42474309,0.76644041,0.02300213,0.08399496,0.31739826,0.91115021,1.28182729
4.10905453,2.62817601,0.08679854,0.44130531,0.78750676,0.02414366,0.08778074,0.32525498,0.96199294,1.34297421
4.11505753,2.74107616,0.09201281,0.45901918,0.80691638,0.02528965,0.09126918,0.33241754,1.01380849,1.40522825
4.12106053,2.85303830,0.09699295,0.47775692,0.82450827,0.02642417,0.09441076,0.33886174,1.06591276,1.46771494
4.12706353,2.96255787,0.10166160,0.49735679,0.84013290,0.02753071,0.09716156,0.34456641,1.11757858,1.52950422
4.13306653,3.06808639,0.10594294,0.51762351,0.85365331,0.02859262,0.09948443,0.34951266,1.16805151,1.58963088
4.13906953,3.16806447,0.10976482,0.53832969,0.86494639,0.02959345,0.10135006,0.35368333,1.21656687,1.64711633
4.14507254,3.26095637,0.11306089,0.55921830,0.87390421,0.03051740,0.10273776,0.35706270,1.26236740,1.70099154
4.15107554,3.34528543,0.11577269,0.58000633,0.88043578,0.03134971,0.10363600,0.35963656,1.30472124,1.75032037
4.15707854,3.41966962,0.11785152,0.60038965,0.88446889,0.03207700,0.10404267,0.36139257,1.34293972,1.79422288
4.16308154,3.48285603,0.11926023,0.62004913,0.88595238,0.03268762,0.10396504,0.36232094,1.37639436,1.83189799
4.16908454,3.53375374,0.11997457,0.63865779,0.88485838,0.03317195,0.10341950,0.36241534,1.40453265,1.86264481
4.17508754,3.57146366,0.11998426,0.65588890,0.88118472,0.03352258,0.10243093,0.36167401,1.42689212,1.88588209
4.18109055,3.59530457,0.11929365,0.67142477,0.87495724,0.03373453,0.10103194,0.36010093,1.44311214,1.90116505
4.18709355,3.60483448,0.11792189,0.68496590,0.86623171,0.03380534,0.09926189,0.35770699,1.45294308,1.90819920
