energy_ev,total_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
2.56628314,0.97045562,0.07725904,0.00000000,0.13641732,0.00000000,0.34699732,0.82163254
2.57228614,0.94264255,0.07500292,0.00000000,0.13639129,0.00000000,0.34361655,0.79543240
2.57828914,0.91388861,0.07270160,0.00000000,0.13649735,0.00000000,0.33923387,0.76837772
2.58429215,0.88466385,0.07037788,0.00000000,0.13681901,0.00000000,0.33388087,0.74088177
2.59029515,0.85549130,0.06805817,0.00000000,0.13745114,0.00000000,0.32762239,0.71339860
2.59629815,0.82694438,0.06577252,0.00000000,0.13849898,0.00000000,0.32055839,0.68642047
2.60230115,0.79964270,0.06355435,0.00000000,0.14007652,0.00000000,0.31282435,0.66047426
2.60830415,0.77424606,0.06144007,0.00000000,0.14230424,0.00000000,0.30459033,0.63611662
2.61430715,0.75144664,0.05946840,0.00000000,0.14530610,0.00000000,0.29605845,0.61392791
2.62031016,0.73195948,0.05767962,0.00000000,0.14920611,0.00000000,0.28745907,0.59450498
2.62631316,0.71651131,0.05611458,0.00000000,0.15412441,0.00000000,0.27904581,0.57845273
2.63231616,0.70582807,0.05481360,0.00000000,0.16017297,0.00000000,0.27108946,0.56637464
2.63831916,0.70062122,0.05381529,0.00000000,0.16745133,0.00000000,0.26387127,0.55886246
2.64432216,0.70157329,0.05315538,0.00000000,0.17604227,0.00000000,0.25767569,0.55648506
2.65032516,0.70932297,0.05286550,0.00000000,0.18600780,0.00000000,0.25278288,0.55977698
2.65632816,0.72445017,0.05297209,0.00000000,0.19738567,0.00000000,0.24946134,0.56922662
2.66233117,0.74746138,0.05349534,0.00000000,0.21018640,0.00000000,0.24796076,0.58526453
2.66833417,0.77877573,0.05444840,0.00000000,0.22439123,0.00000000,0.24850548,0.60825205
2.67433717,0.81871222,0.05583671,0.00000000,0.23995095,0.00000000,0.25128859,0.63847057
2.68034017,0.86747834,0.05765759,0.00000000,0.25678576,0.00000000,0.25646687,0.67611177
2.68634317,0.92516053,0.05990004,0.00000000,0.27478620,0.00000000,0.26415676,0.72126905
2.69234617,0.99171672,0.06254485,0.00000000,0.29381515,0.00000000,0.27443127,0.77393054
2.69834917,1.06697123,0.06556496,0.00000000,0.31371078,0.00000000,0.28731807,0.83397393
2.70435218,1.15061226,0.06892600,0.00000000,0.33429048,0.00000000,0.30279862,0.90116335
2.71035518,1.24219218,0.07258719,0.00000000,0.35535552,0.00000000,0.32080836,0.97514853
2.71635818,1.34113072,0.07650230,0.00000000,0.37669629,0.00000000,0.34123810,1.05546655
2.72236118,1.44672115,0.08062088,0.00000000,0.39809796,0.00000000,0.36393632,1.14154607
2.72836418,1.55813950,0.08488961,0.00000000,0.41934631,0.00000000,0.38871250,1.23271439
2.73436718,1.67445679,0.08925368,0.00000000,0.44023356,0.00000000,0.41534138,1.32820716
2.74037019,1.79465412,0.09365823,0.00000000,0.46056388,0.00000000,0.44356807,1.42718075
2.74637319,1.91764040,0.09804987,0.00000000,0.48015851,0.00000000,0.47311381,1.52872706
2.75237619,2.04227250,0.10237796,0.00000000,0.49886029,0.00000000,0.50368238,1.63189057
2.75837919,2.16737734,0.10659596,0.00000000,0.51653734,0.00000000,0.53496698,1.73568722
2.76438219,2.29177554,0.11066255,0.00000000,0.53308595,0.00000000,0.56665734,1.83912462
2.77038519,2.41430592,0.11454254,0.00000000,0.54843248,0.00000000,0.59844690,1.94122320
2.77638819,2.53385024,0.11820764,0.00000000,0.56253426,0.00000000,0.63003990,2.04103744
2.78239120,2.64935750,0.12163687,0.00000000,0.57537954,0.00000000,0.66115800,2.13767676
2.78839420,2.75986693,0.12481683,0.00000000,0.58698638,0.00000000,0.69154639,2.23032513
2.79439720,2.86452890,0.12774162,0.00000000,0.59740072,0.00000000,0.72097900,2.31825891
2.80040020,2.96262295,0.13041246,0.00000000,0.60669351,0.00000000,0.74926265,2.40086207
2.80640320,3.05357233,0.13283708,0.00000000,0.61495717,0.00000000,0.77623996,2.47763829
2.81240620,3.13695420,0.13502890,0.00000000,0.62230134,0.00000000,0.80179097,2.54821942
2.81840920,3.21250513,0.13700587,0.00000000,0.62884822,0.00000000,0.82583316,2.61236983
2.82441221,3.28012158,0.13878926,0.00000000,0.63472745,0.00000000,0.84832013,2.66998661
2.83041521,3.33985511,0.14040221,0.00000000,0.64007080,0.00000000,0.86923876,2.72109531
2.83641821,3.39190244,0.14186828,0.00000000,0.64500689,0.00000000,0.88860511,2.76584158
2.84242121,3.43659063,0.14320989,0.00000000,0.64965587,0.00000000,0.90645920,2.80447878
2.84842421,3.47435795,0.14444689,0.00000000,0.65412451,0.00000000,0.92285890,2.83735230
