energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-5.15957979,1.83873964,0.90411900,0.43421065,0.00276697,0.70033343,0.01590692,0.40305331
-5.15357679,1.80446226,0.87243412,0.43488761,0.00248520,0.69454759,0.01497032,0.39191466
-5.14757379,1.77234869,0.84155143,0.43601840,0.00222779,0.68936879,0.01405297,0.38148013
-5.14157079,1.74271246,0.81176672,0.43759479,0.00199436,0.68482766,0.01316342,0.37187359
-5.13556778,1.71574663,0.78331836,0.43958444,0.00178410,0.68091758,0.01230936,0.36318409
-5.12956478,1.69152788,0.75638873,0.44193278,0.00159591,0.67759755,0.01149735,0.35546636
-5.12356178,1.67002585,0.73110845,0.44456603,0.00142844,0.67479678,0.01073278,0.34874256
-5.11755878,1.65111678,0.70756297,0.44739504,0.00128014,0.67242071,0.01001973,0.34300502
-5.11155578,1.63460056,0.68580092,0.45031970,0.00114934,0.67035815,0.00936099,0.33821990
-5.10555278,1.62022006,0.66584375,0.45323387,0.00103435,0.66848898,0.00875807,0.33433148
-5.09954977,1.60768164,0.64769576,0.45603019,0.00093346,0.66669198,0.00821132,0.33126688
-5.09354677,1.59667557,0.63135404,0.45860495,0.00084501,0.66485232,0.00772001,0.32894095
-5.08754377,1.58689560,0.61681757,0.46086249,0.00076747,0.66286840,0.00728251,0.32726114
-5.08154077,1.57805663,0.60409498,0.46271908,0.00069942,0.66065766,0.00689645,0.32613227
-5.07553777,1.56990994,0.59321064,0.46410627,0.00063962,0.65816112,0.00655893,0.32546085
-5.06953477,1.56225561,0.58420869,0.46497349,0.00058701,0.65534663,0.00626667,0.32515913
-5.06353177,1.55495198,0.57715494,0.46529000,0.00054070,0.65221083,0.00601627,0.32514853
-5.05752876,1.54792206,0.57213672,0.46504622,0.00050002,0.64877975,0.00580432,0.32536261
-5.05152576,1.54115729,0.56926073,0.46425453,0.00046449,0.64510841,0.00562761,0.32574950
-5.04552276,1.53471877,0.56864932,0.46294958,0.00043381,0.64127949,0.00548326,0.32627376
-5.03951976,1.52873652,0.57043536,0.46118825,0.00040788,0.63740133,0.00536884,0.32691776
-5.03351676,1.52340707,0.57475630,0.45904929,0.00038672,0.63360559,0.00528250,0.32768253
-5.02751376,1.51898977,0.58174772,0.45663280,0.00037054,0.63004454,0.00522300,0.32858812
-5.02151076,1.51580213,0.59153684,0.45405943,0.00035965,0.62688850,0.00518978,0.32967350
-5.01550775,1.51421439,0.60423644,0.45146940,0.00035448,0.62432316,0.00518294,0.33099591
-5.00950475,1.51464342,0.61993936,0.44902128,0.00035553,0.62254716,0.00520326,0.33262974
-5.00350175,1.51754601,0.63871401,0.44689041,0.00036340,0.62176975,0.00525215,0.33466489
-4.99749875,1.52341139,0.66060094,0.44526703,0.00037869,0.62220856,0.00533154,0.33720454
-4.99149575,1.53275307,0.68561066,0.44435387,0.00040203,0.62408745,0.00544380,0.34036243
-4.98549275,1.54609972,0.71372266,0.44436325,0.00043405,0.62763422,0.00559161,0.34425956
-4.97948974,1.56398512,0.74488569,0.44551366,0.00047533,0.63307821,0.00577780,0.34902041
-4.97348674,1.58693727,0.77901910,0.44802578,0.00052638,0.64064777,0.00600518,0.35476872
-4.96748374,1.61546650,0.81601523,0.45211792,0.00058763,0.65056735,0.00627639,0.36162294
-4.96148074,1.65005314,0.85574262,0.45800120,0.00065936,0.66305440,0.00659367,0.36969145
-4.95547774,1.69113475,0.89804994,0.46587428,0.00074171,0.67831603,0.00695871,0.37906775
-4.94947474,1.73909351,0.94277050,0.47591812,0.00083464,0.69654550,0.00737248,0.38982586
-4.94347174,1.79424418,0.98972709,0.48829076,0.00093789,0.71791865,0.00783505,0.40201598
-4.93746873,1.85682316,1.03873710,0.50312246,0.00105096,0.74259036,0.00834549,0.41566085
-4.93146573,1.92697915,1.08961768,0.52051126,0.00117311,0.77069119,0.00890177,0.43075279
-4.92546273,2.00476580,1.14219083,0.54051939,0.00130334,0.80232423,0.00950071,0.44725180
-4.91945973,2.09013682,1.19628824,0.56317040,0.00144040,0.83756234,0.01013794,0.46508473
-4.91345673,2.18294361,1.25175554,0.58844735,0.00158276,0.87644568,0.01080800,0.48414571
-4.90745373,2.28293540,1.30845596,0.61629199,0.00172868,0.91897966,0.01150438,0.50429783
-4.90145073,2.38976199,1.36627294,0.64660487,0.00187617,0.96513305,0.01221965,0.52537603
-4.89544772,2.50297836,1.42511152,0.67924643,0.00202311,1.01483639,0.01294565,0.54719117
-4.88944472,2.62205099,1.48489826,0.71403889,0.00216722,1.06798036,0.01367371,0.56953499
-4.88344172,2.74636511,1.54557941,0.75076866,0.00230618,1.12441409,0.01439485,0.59218584
-4.87743872,2.87523217,1.60711713,0.78918923,0.00243764,1.18394319,0.01510005,0.61491487
-4.87143572,3.00789701,1.66948366,0.82902427,0.00255932,1.24632753,0.01578050,0.63749230
-4.86543272,3.14354402,1.73265347,0.86997069,0.00266906,1.31127858,0.01642785,0.65969360
-4.85942971,3.28130186,1.79659340,0.91170161,0.00276490,1.37845646,0.01703448,0.68130511
-4.85342671,3.42024663,1.86125124,0.95386904,0.00284515,1.44746681,0.01759366,0.70212893
-4.84742371,3.55940336,1.92654297,0.99610638,0.00290842,1.51785774,0.01809978,0.72198694
-4.84142071,3.69774617,1.99233953,1.03803053,0.00295371,1.58911711,0.01854845,0.74072358
-4.83541771,3.83419780,2.05845368,1.07924398,0.00298039,1.66067075,0.01893666,0.75820758
-4.82941471,3.96762905,2.12462788,1.11933689,0.00298830,1.73188189,0.01926277,0.77433255
-4.82341171,4.09685943,2.19052416,1.15788939,0.00297767,1.80205247,0.01952658,0.78901650
-4.81740870,4.22065985,2.25571697,1.19447436,0.00294919,1.87042679,0.01972930,0.80220063
-4.81140570,4.33775857,2.31968983,1.22866095,0.00290392,1.93619785,0.01987346,0.81384741
-4.80540270,4.44685140,2.38183653,1.26001903,0.00284333,1.99851693,0.01996282,0.82393841
-4.79939970,4.54661675,2.44146765,1.28812469,0.00276917,2.05650628,0.02000229,0.83247204
-4.79339670,4.63573617,2.49782243,1.31256689,0.00268349,2.10927523,0.01999773,0.83946148
-4.78739370,4.71292019,2.55008616,1.33295531,0.00258850,2.15593927,0.01995586,0.84493298
-4.78139070,4.77693916,2.59741276,1.34892915,0.00248657,2.19564172,0.01988399,0.84892469
-4.77538769,4.82665811,2.63895165,1.36016661,0.00238010,2.22757742,0.01978994,0.85148608
-4.76938469,4.86107433,2.67387814,1.36639486,0.00227149,2.25101741,0.01968178,0.85267787
-4.76338169,4.87935583,2.70142571,1.36739989,0.00216305,2.26533370,0.01956765,0.85257240
-4.75737869,4.88087875,2.72091891,1.36303578,0.00205692,2.27002298,0.01945558,0.85125425
-4.75137569,4.86526143,2.73180493,1.35323282,0.00195508,2.26472795,0.01935327,0.84882085
