energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
1.09554777,8.57524456,0.42973193,0.05630859,0.00711809,0.09823583,0.17194832,0.60058823,0.46706397,7.62667045
1.10155078,8.32219416,0.43001282,0.05532735,0.00709610,0.09367796,0.16726558,0.58027776,0.46071887,7.40051829
1.10755378,8.08877076,0.43090141,0.05441669,0.00712539,0.08962104,0.16261416,0.56122564,0.45618907,7.19200442
1.11355678,7.87716701,0.43244524,0.05358482,0.00720831,0.08612412,0.15803275,0.54368509,0.45357724,7.00303494
1.11955978,7.68912490,0.43469158,0.05283896,0.00734644,0.08323645,0.15355722,0.52787664,0.45295543,6.83510455
1.12556278,7.52597859,0.43768890,0.05218580,0.00754063,0.08099764,0.14922158,0.51398977,0.45436720,6.68933487
1.13156578,7.38869749,0.44148761,0.05163180,0.00779102,0.07943811,0.14505881,0.50218526,0.45782981,6.56651289
1.13756878,7.27792542,0.44613987,0.05118350,0.00809711,0.07857954,0.14110173,0.49259768,0.46333634,6.46712592
1.14357179,7.19401253,0.45169835,0.05084760,0.00845772,0.07843539,0.13738346,0.48533794,0.47085733,6.39139019
1.14957479,7.13703787,0.45821418,0.05063097,0.00887105,0.07901131,0.13393772,0.48049541,0.48034205,6.33927144
1.15557779,7.10682166,0.46573390,0.05054051,0.00933465,0.08030551,0.13079874,0.47813940,0.49171917,6.31049670
1.16158079,7.10292741,0.47429577,0.05058286,0.00984546,0.08230898,0.12800071,0.47832005,0.50489691,6.30455752
1.16758379,7.12465530,0.48392553,0.05076403,0.01039973,0.08500553,0.12557691,0.48106825,0.51976278,6.32070607
1.17358679,7.17102886,0.49463208,0.05108892,0.01099307,0.08837173,0.12355849,0.48639488,0.53618297,6.35794594
1.17958979,7.24077821,0.50640303,0.05156077,0.01162039,0.09237675,0.12197295,0.49428936,0.55400163,6.41502047
1.18559280,7.33232284,0.51920090,0.05218065,0.01227594,0.09698207,0.12084236,0.50471761,0.57304025,6.49040136
1.19159580,7.44375780,0.53295980,0.05294692,0.01295326,0.10214120,0.12018164,0.51761984,0.59309731,6.58228070
1.19759880,7.57284648,0.54758323,0.05385480,0.01364522,0.10779946,0.11999674,0.53290825,0.61394856,6.68856918
1.20360180,7.71702302,0.56294308,0.05489601,0.01434411,0.11389386,0.12028304,0.55046502,0.63534790,6.80690302
1.20960480,7.87340675,0.57887995,0.05605854,0.01504165,0.12035311,0.12102410,0.57014091,0.65702931,6.93466141
1.21560780,8.03883038,0.59520509,0.05732664,0.01572914,0.12709791,0.12219072,0.59175462,0.67870969,7.06899572
1.22161081,8.20988242,0.61170372,0.05868084,0.01639757,0.13404151,0.12374060,0.61509329,0.70009275,7.20687069
1.22761381,8.38296392,0.62813999,0.06009830,0.01703783,0.14109056,0.12561848,0.63991417,0.72087403,7.34511745
1.23361681,8.55435813,0.64426312,0.06155326,0.01764086,0.14814629,0.12775702,0.66594763,0.74074678,7.48049674
1.23961981,8.72031131,0.65981481,0.06301761,0.01819795,0.15510602,0.13007815,0.69290149,0.75940871,7.60977082
1.24562281,8.87712180,0.67453739,0.06446166,0.01870094,0.16186499,0.13249516,0.72046665,0.77656929,7.72978119
1.25162581,9.02123409,0.68818256,0.06585500,0.01914253,0.16831836,0.13491522,0.74832380,0.79195745,7.83752934
1.25762881,9.14933421,0.70052026,0.06716745,0.01951653,0.17436350,0.13724239,0.77615100,0.80532924,7.93025723
1.26363182,9.25844237,0.71134729,0.06836998,0.01981816,0.17990232,0.13938092,0.80363183,0.81647529,8.00552407
1.26963482,9.34599899,0.72049530,0.06943573,0.02004429,0.18484364,0.14123872,0.83046379,0.82522759,8.06127622
1.27563782,9.40994033,0.72783769,0.07034090,0.02019368,0.18910550,0.14273087,0.85636646,0.83146541,8.09590704
1.28164082,9.44876024,0.73329521,0.07106563,0.02026720,0.19261730,0.14378297,0.88108911,0.83511995,8.10830404
1.28764382,9.46155520,0.73683983,0.07159465,0.02026796,0.19532162,0.14433422,0.90441730,0.83617752,8.09788116
1.29364682,9.44805050,0.73849665,0.07191794,0.02020139,0.19717582,0.14433995,0.92617821,0.83468103,8.06459468
1.29964982,9.40860584,0.73834384,0.07203104,0.02007530,0.19815303,0.14377370,0.94624428,0.83072968,8.00894159
1.30565283,9.34420007,0.73651037,0.07193531,0.01989979,0.19824288,0.14262853,0.96453497,0.82447672,7.93194054
1.31165583,9.25639500,0.73317167,0.07163785,0.01968713,0.19745154,0.14091757,0.98101662,0.81612533,7.83509560
1.31765883,9.14727946,0.72854331,0.07115131,0.01945152,0.19580136,0.13867381,0.99570019,0.80592276,7.72034410
1.32366183,9.01939553,0.72287299,0.07049346,0.01920885,0.19332998,0.13594905,1.00863707,0.79415274,7.58999040
1.32966483,8.87564945,0.71643102,0.06968650,0.01897624,0.19008894,0.13281212,1.01991322,0.78112663,7.44662779
1.33566783,8.71921046,0.70949981,0.06875631,0.01877162,0.18614196,0.12934636,1.02964166,0.76717343,7.29305148
1.34167084,8.55340129,0.70236270,0.06773146,0.01861320,0.18156280,0.12564653,1.03795392,0.75262905,7.13216567
1.34767384,8.38158430,0.69529265,0.06664215,0.01851890,0.17643293,0.12181522,1.04499075,0.73782535,6.96688817
1.35367684,8.20704748,0.68854121,0.06551908,0.01850573,0.17083904,0.11795899,1.05089250,0.72307916,6.80005580
1.35967984,8.03289446,0.68232832,0.06439230,0.01858919,0.16487049,0.11418430,1.05578976,0.70868196,6.63433422
1.36568284,7.86194264,0.67683331,0.06329005,0.01878261,0.15861685,0.11059343,1.05979458,0.69489036,6.47213503
1.37168584,7.69663310,0.67218744,0.06223771,0.01909660,0.15216551,0.10728066,1.06299281,0.68191790,6.31554334
1.37768884,7.53895553,0.66846840,0.06125680,0.01953848,0.14559960,0.10432868,1.06543789,0.66992854,6.16625807
1.38369185,7.39039084,0.66569693,0.06036420,0.02011188,0.13899613,0.10180555,1.06714633,0.65903192,6.02554710
1.38969485,7.25187349,0.66383569,0.05957152,0.02081632,0.13242452,0.09976220,1.06809519,0.64928073,5.89421871
1.39569785,7.12377475,0.66279044,0.05888464,0.02164707,0.12594551,0.09823068,1.06822167,0.64067025,5.77261007
1.40170085,7.00590739,0.66241347,0.05830356,0.02259498,0.11961043,0.09722313,1.06742473,0.63314005,5.66059316
1.40770385,6.89755144,0.66250917,0.05782246,0.02364664,0.11346090,0.09673158,1.06556888,0.62657783,5.55759759
1.41370685,6.79750005,0.66284147,0.05742993,0.02478455,0.10752888,0.09672854,1.06248982,0.62082520,5.46264944
1.41970985,6.70412350,0.66314283,0.05710959,0.02598761,0.10183708,0.09716836,1.05800180,0.61568526,5.37442454
1.42571286,6.61544905,0.66312448,0.05684073,0.02723161,0.09639970,0.09798932,1.05190633,0.61093164,5.29131413
1.43171586,6.52925338,0.66248756,0.05659929,0.02849001,0.09122333,0.09911637,1.04400206,0.60631861,5.21150039
1.43771886,6.44316441,0.66093456,0.05635893,0.02973476,0.08630814,0.10046431,1.03409523,0.60159201,5.13303913
1.44372186,6.35476835,0.65818078,0.05609213,0.03093723,0.08164917,0.10194141,1.02201045,0.59650045,5.05394635
1.44972486,6.26171817,0.65396539,0.05577150,0.03206925,0.07723764,0.10345328,1.00760129,0.59080645,4.97228570
1.45572786,6.16183926,0.64806157,0.05537094,0.03310409,0.07306236,0.10490669,0.99076037,0.58429706,4.88625335
1.46173087,6.05322831,0.64028546,0.05486685,0.03401749,0.06911103,0.10621345,0.97142843,0.57679354,4.79425729
1.46773387,5.93434164,0.63050361,0.05423924,0.03478861,0.06537150,0.10729394,0.94960208,0.56815977,4.69498797
1.47373687,5.80406959,0.61863856,0.05347263,0.03540083,0.06183283,0.10808023,0.92533996,0.55830900,4.58747784
1.47973987,5.66179423,0.60467257,0.05255685,0.03584248,0.05848626,0.10851877,0.89876697,0.54720877,4.47114726
1.48574287,5.50742808,0.58864918,0.05148758,0.03610731,0.05532596,0.10857237,0.87007636,0.53488372,4.34583555
1.49174587,5.34143248,0.57067272,0.05026671,0.03619481,0.05234954,0.10822145,0.83952969,0.52141611,4.21181562
1.49774887,5.16481507,0.55090577,0.04890238,0.03611030,0.04955840,0.10746465,0.80745447,0.50694427,4.06979214
1.50375188,4.97910639,0.52956468,0.04740886,0.03586472,0.04695782,0.10631856,0.77423961,0.49165865,3.92088320
1.50975488,4.78631698,0.50691346,0.04580611,0.03547434,0.04455688,0.10481676,0.74032882,0.47579595,3.76658649
1.51575788,4.58887656,0.48325617,0.04411922,0.03496010,0.04236815,0.10300815,0.70621202,0.45963131,3.60873138
1.52176088,4.38955801,0.45892817,0.04237756,0.03434684,0.04040723,0.10095474,0.67241523,0.44346900,3.44941907
