energy_ev,total_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-4.19909955,0.89594064,1.13089244,0.13572505,0.00054724,0.75150038,0.03698167,0.00018865
-4.19309655,0.86293321,1.09036431,0.13048870,0.00051662,0.72524801,0.03430315,0.00018214
-4.18709355,0.82563405,1.04413638,0.12466964,0.00048583,0.69505947,0.03175727,0.00017462
-4.18109055,0.78463139,0.99299386,0.11834358,0.00045493,0.66147141,0.02932805,0.00016623
-4.17508754,0.74058529,0.93780877,0.11159935,0.00042401,0.62507922,0.02700407,0.00015712
-4.16908454,0.69420273,0.87950846,0.10453480,0.00039320,0.58651532,0.02477805,0.00014745
-4.16308154,0.64621261,0.81904415,0.09725268,0.00036268,0.54642775,0.02264632,0.00013739
-4.15707854,0.59734182,0.75736092,0.08985681,0.00033267,0.50545967,0.02060810,0.00012711
-4.15107554,0.54829329,0.69537014,0.08244852,0.00030335,0.46423077,0.01866477,0.00011675
-4.14507254,0.49972666,0.63392526,0.07512353,0.00027495,0.42332096,0.01681916,0.00010647
-4.13906953,0.45224228,0.57380180,0.06796940,0.00024766,0.38325693,0.01507482,0.00009640
-4.13306653,0.40636869,0.51568188,0.06106345,0.00022166,0.34450182,0.01343547,0.00008666
-4.12706353,0.36255405,0.46014351,0.05447144,0.00019711,0.30744814,0.01190439,0.00007734
-4.12106053,0.32116122,0.40765470,0.04824664,0.00017412,0.27241387,0.01048412,0.00006853
-4.11505753,0.28246635,0.35857196,0.04242964,0.00015278,0.23964156,0.00917608,0.00006029
-4.10905453,0.24666083,0.31314288,0.03704849,0.00013316,0.20930019,0.00798046,0.00005265
-4.10305153,0.21385585,0.27151219,0.03211938,0.00011527,0.18148930,0.00689611,0.00004566
-4.09704852,0.18408920,0.23373059,0.02764763,0.00009911,0.15624498,0.00592061,0.00003931
-4.09104552,0.15733382,0.19976564,0.02362894,0.00008464,0.13354724,0.00505034,0.00003360
-4.08504252,0.13350732,0.16951403,0.02005080,0.00007180,0.11332833,0.00428072,0.00002852
-4.07903952,0.11248215,0.14281447,0.01689398,0.00006051,0.09548139,0.00360634,0.00002403
-4.07303652,0.09409577,0.11946073,0.01413410,0.00005068,0.07986919,0.00302131,0.00002011
-4.06703352,0.07816050,0.09921408,0.01174309,0.00004222,0.06633258,0.00251950,0.00001671
-4.06103052,0.06447276,0.08181499,0.00969059,0.00003501,0.05469826,0.00209482,0.00001379
-4.05502751,0.05282134,0.06699354,0.00794519,0.00002897,0.04478576,0.00174157,0.00001130
-4.04902451,0.04299460,0.05447848,0.00647557,0.00002398,0.03641353,0.00145469,0.00000921
-4.04302151,0.03478663,0.04400478,0.00525146,0.00001997,0.02940395,0.00123016,0.00000747
