energy_ev,total_up,Al_p_up,Al_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-1.44372186,1.99747926,0.27554538,0.00000000,1.74012372,0.81035339,0.04832322,0.89161565
-1.43771886,2.02577963,0.28311537,0.00000000,1.79754010,0.80639891,0.04377259,0.92361298
-1.43171586,2.06355202,0.29149374,0.00000000,1.86257561,0.80528780,0.03977794,0.96093131
-1.42571286,2.11057786,0.30068535,0.00000000,1.93479673,0.80707864,0.03634710,1.00328622
-1.41970985,2.16635220,0.31065861,0.00000000,2.01352212,0.81173112,0.03347997,1.05024433
-1.41370685,2.23008616,0.32134407,0.00000000,2.09782633,0.81910531,0.03116920,1.10122647
-1.40770385,2.30071868,0.33263466,0.00000000,2.18655263,0.82896441,0.02940080,1.15551548
-1.40170085,2.37693775,0.34438740,0.00000000,2.27833491,0.84098093,0.02815478,1.21226874
-1.39569785,2.45721061,0.35642673,0.00000000,2.37162840,0.85474621,0.02740564,1.27053538
-1.38969485,2.53982233,0.36854927,0.00000000,2.46474828,0.86978300,0.02712296,1.32927756
-1.38369185,2.62292154,0.38052985,0.00000000,2.55591505,0.88556046,0.02727178,1.38739551
-1.37768884,2.70457187,0.39212857,0.00000000,2.64330506,0.90151138,0.02781314,1.44375558
-1.37168584,2.78280733,0.40309861,0.00000000,2.72510426,0.91705060,0.02870448,1.49722022
-1.36568284,2.85568984,0.41319451,0.00000000,2.79956339,0.93159418,0.02990021,1.54667922
-1.35967984,2.92136665,0.42218051,0.00000000,2.86505222,0.94457847,0.03135223,1.59108085
-1.35367684,2.97812587,0.42983871,0.00000000,2.92011098,0.95547845,0.03301063,1.62946204
-1.34767384,3.02444799,0.43597663,0.00000000,2.96349696,0.96382460,0.03482439,1.66097636
-1.34167084,3.05905174,0.44043403,0.00000000,2.99422459,0.96921783,0.03674228,1.68491903
-1.33566783,3.08093274,0.44308856,0.00000000,3.01159755,0.97134195,0.03871377,1.70074783
-1.32966483,3.08939366,0.44386025,0.00000000,3.01523183,0.96997327,0.04069009,1.70809946
-1.32366183,3.08406518,0.44271447,0.00000000,3.00506912,0.96498723,0.04262528,1.70680060
-1.31765883,3.06491705,0.43966358,0.00000000,2.98138012,0.95636183,0.04447732,1.69687346
-1.31165583,3.03225924,0.43476687,0.00000000,2.94475795,0.94417797,0.04620918,1.67853574
-1.30565283,2.98673330,0.42812920,0.00000000,2.89610191,0.92861675,0.04778987,1.65219487
-1.29964982,2.92929451,0.41989815,0.00000000,2.83659261,0.90995397,0.04919523,1.61843711
-1.29364682,2.86118552,0.41025993,0.00000000,2.76765915,0.88855216,0.05040874,1.57801170
-1.28764382,2.78390265,0.39943414,0.00000000,2.69093975,0.86485036,0.05142191,1.53181087
-1.28164082,2.69915590,0.38766767,0.00000000,2.60823717,0.83935219,0.05223460,1.48084637
-1.27563782,2.60882420,0.37522784,0.00000000,2.52147030,0.81261246,0.05285490,1.42622334
-1.26963482,2.51490720,0.36239506,0.00000000,2.43262342,0.78522282,0.05329882,1.36911246
-1.26363182,2.41947509,0.34945520,0.00000000,2.34369472,0.75779680,0.05358966,1.31072124
-1.25762881,2.32461800,0.33669203,0.00000000,2.25664543,0.73095470,0.05375712,1.25226541
-1.25162581,2.23239625,0.32437968,0.00000000,2.17335105,0.70530861,0.05383608,1.19494118
-1.24562281,2.14479284,0.31277567,0.00000000,2.09555580,0.68144798,0.05386531,1.13989919
-1.23961981,2.06366930,0.30211444,0.00000000,2.02483172,0.65992595,0.05388592,1.08822078
-1.23361681,1.99072596,0.29260169,0.00000000,1.96254306,0.64124690,0.05393975,1.04089726
-1.22761381,1.92746745,0.28440958,0.00000000,1.90981708,0.62585519,0.05406776,0.99881235
-1.22161081,1.87517407,0.27767309,0.00000000,1.86752180,0.61412556,0.05430842,0.96272827
-1.21560780,1.83487942,0.27248732,0.00000000,1.83625094,0.60635513,0.05469621,0.93327554
-1.20960480,1.80735461,0.26890610,0.00000000,1.81631657,0.60275720,0.05526024,0.91094644
-1.20360180,1.79309892,0.26694169,0.00000000,1.80774915,0.60345695,0.05602317,0.89609201
-1.19759880,1.79233684,0.26656567,0.00000000,1.81030488,0.60848896,0.05700025,0.88892235
