energy_ev,total_up,Au_p_up,Au_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
3.16058029,4.34515161,5.10899207,0.25564667,1.28948936,0.00003372,0.23037306,1.21249399
3.16658329,4.25435550,5.00294855,0.24924235,1.26933726,0.00003287,0.22576095,1.18442265
3.17258629,4.16036333,4.89403360,0.24250461,1.24863034,0.00003203,0.22095105,1.15542924
3.17858929,4.06429873,4.78380890,0.23551064,1.22753416,0.00003121,0.21600122,1.12579097
3.18459230,3.96729235,4.67379899,0.22833933,1.20621769,0.00003044,0.21096659,1.09578367
3.19059530,3.87046293,4.56546473,0.22106989,1.18484761,0.00002974,0.20589881,1.06567897
3.19659830,3.77490147,4.46018067,0.21378075,1.16358366,0.00002912,0.20084552,1.03574239
3.20260130,3.68165821,4.35921646,0.20654860,1.14257475,0.00002860,0.19585011,1.00623220
3.20860430,3.59173195,4.26372174,0.19944752,1.12195613,0.00002819,0.19095164,0.97739876
3.21460730,3.50606110,4.17471439,0.19254827,1.10184726,0.00002792,0.18618494,0.94948403
3.22061031,3.42551586,4.09307132,0.18591763,1.08235050,0.00002778,0.18158077,0.92272096
3.22661331,3.35089070,4.01952160,0.17961775,1.06355036,0.00002779,0.17716606,0.89733245
3.23261631,3.28289679,3.95464135,0.17370553,1.04551326,0.00002796,0.17296406,0.87352979
3.23861931,3.22215386,3.89885001,0.16823189,1.02828768,0.00002830,0.16899449,0.85151026
3.24462231,3.16918118,3.85240785,0.16324115,1.01190456,0.00002879,0.16527365,0.83145408
3.25062531,3.12438780,3.81541458,0.15877022,0.99637785,0.00002946,0.16181433,0.81352046
3.25662831,3.08806217,3.78780904,0.15484784,0.98170529,0.00003028,0.15862571,0.79784318
3.26263132,3.06036149,3.76937010,0.15149388,0.96786909,0.00003126,0.15571318,0.78452566
3.26863432,3.04130141,3.75971898,0.14871859,0.95483679,0.00003240,0.15307809,0.77363592
3.27463732,3.03074691,3.75832333,0.14652203,0.94256207,0.00003367,0.15071749,0.76520175
3.28064032,3.02840487,3.76450313,0.14489357,0.93098559,0.00003506,0.14862387,0.75920631
3.28664332,3.03381946,3.77743900,0.14381167,0.92003584,0.00003657,0.14678499,0.75558469
3.29264632,3.04637093,3.79618286,0.14324381,0.90963012,0.00003817,0.14518380,0.75422155
3.29864932,3.06527866,3.81967146,0.14314680,0.89967559,0.00003984,0.14379847,0.75495028
3.30465233,3.08960885,3.84674263,0.14346728,0.89007048,0.00004156,0.14260257,0.75755374
3.31065533,3.11828749,3.87615449,0.14414267,0.88070552,0.00004331,0.14156541,0.76176690
3.31665833,3.15011849,3.90660754,0.14510232,0.87146566,0.00004505,0.14065257,0.76728125
3.32266133,3.18380718,3.93676942,0.14626908,0.86223215,0.00004677,0.13982658,0.77375110
3.32866433,3.21798854,3.96530211,0.14756104,0.85288493,0.00004843,0.13904776,0.78080153
3.33466733,3.25125984,3.99089108,0.14889358,0.84330550,0.00005002,0.13827516,0.78803783
3.34067034,3.28221668,4.01227608,0.15018158,0.83338020,0.00005150,0.13746765,0.79505615
3.34667334,3.30949137,4.02828251,0.15134165,0.82300390,0.00005286,0.13658502,0.80145494
3.35267634,3.33179248,4.03785305,0.15229451,0.81208398,0.00005407,0.13558912,0.80684679
3.35867934,3.34794416,4.04007816,0.15296723,0.80054466,0.00005512,0.13444503,0.81087032
3.36468234,3.35692373,4.03422490,0.15329531,0.78833136,0.00005600,0.13312208,0.81320145
3.37068534,3.35789604,4.01976267,0.15322461,0.77541507,0.00005669,0.13159484,0.81356384
3.37668834,3.35024344,3.99638502,0.15271295,0.76179643,0.00005720,0.12984394,0.81173793
3.38269135,3.33358965,3.96402640,0.15173133,0.74750944,0.00005753,0.12785673,0.80756826
3.38869435,3.30781689,3.92287292,0.15026477,0.73262443,0.00005769,0.12562770,0.80096880
3.39469735,3.27307505,3.87336627,0.14831271,0.71725015,0.00005769,0.12315874,0.79192597
3.40070035,3.22978255,3.81620024,0.14588893,0.70153485,0.00005755,0.12045911,0.78049942
3.40670335,3.17861857,3.75230933,0.14302104,0.68566604,0.00005731,0.11754521,0.76682027
3.41270635,3.12050666,3.68284942,0.13974955,0.66986902,0.00005698,0.11444009,0.75108710
3.41870935,3.05659030,3.60917062,0.13612643,0.65440388,0.00005662,0.11117278,0.73355980
3.42471236,2.98820096,3.53278283,0.13221350,0.63956118,0.00005625,0.10777734,0.71455135
3.43071536,2.91681978,3.45531470,0.12808037,0.62565630,0.00005593,0.10429189,0.69441817
3.43671836,2.84403418,3.37846728,0.12380228,0.61302257,0.00005568,0.10075732,0.67354899
3.44272136,2.77149068,3.30396353,0.11945774,0.60200335,0.00005557,0.09721614,0.65235311
3.44872436,2.70084574,3.23349538,0.11512619,0.59294336,0.00005562,0.09371104,0.63124805
3.45472736,2.63371601,3.16867010,0.11088563,0.58617953,0.00005589,0.09028368,0.61064730
3.46073037,2.57163005,3.11095781,0.10681043,0.58203157,0.00005640,0.08697339,0.59094850
3.46673337,2.51598267,3.06164206,0.10296933,0.58079275,0.00005719,0.08381601,0.57252242
3.47273637,2.46799387,3.02177525,0.09942360,0.58272102,0.00005828,0.08084290,0.55570312
3.47873937,2.42867332,2.99214079,0.09622566,0.58803092,0.00005969,0.07808006,0.54077947
3.48474237,2.39879188,2.97322331,0.09341791,0.59688656,0.00006143,0.07554749,0.52798848
3.49074537,2.37886081,2.96518847,0.09103198,0.60939580,0.00006351,0.07325880,0.51751035
3.49674837,2.36911939,2.96787309,0.08908840,0.62560595,0.00006591,0.07122099,0.50946551
3.50275138,2.36953138,2.98078635,0.08759655,0.64550110,0.00006863,0.06943453,0.50391350
3.50875438,2.37979016,3.00312215,0.08655501,0.66900119,0.00007164,0.06789363,0.50085383
