energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-4.81740870,8.10896826,0.02837339,0.46712652,1.92725211,0.68915968,4.01646832,3.90347824,0.01675914,2.51593544
-4.81140570,7.92997733,0.02638728,0.47010657,1.87584179,0.65150614,4.03620221,3.85985468,0.01525385,2.41995968
-4.80540270,7.76572514,0.02445117,0.47404404,1.82907681,0.61699771,4.06489498,3.81730600,0.01391944,2.33249986
-4.79939970,7.61392038,0.02257489,0.47856116,1.78683642,0.58539513,4.09976904,3.77494970,0.01274626,2.25295617
-4.79339670,7.47208565,0.02076721,0.48327316,1.74885960,0.55643493,4.13791171,3.73189307,0.01172303,2.18061580
-4.78739370,7.33765914,0.01903582,0.48779961,1.71475259,0.52984333,4.17635515,3.68727265,0.01083739,2.11468465
-4.78139070,7.20810126,0.01738732,0.49177565,1.68400216,0.50534951,4.21215993,3.64029598,0.01007643,2.05432100
-4.77538769,7.08100194,0.01582722,0.49486291,1.65599447,0.48269776,4.24249930,3.59028373,0.00942719,1.99866999
-4.76938469,6.95418460,0.01435995,0.49675957,1.63003882,0.46165804,4.26474152,3.53671015,0.00887710,1.94689777
-4.76338169,6.82580241,0.01298892,0.49720919,1.60539548,0.44203471,4.27652710,3.47923981,0.00841436,1.89822424
-4.75737869,6.69442268,0.01171656,0.49600805,1.58130655,0.42367307,4.27583832,3.41775854,0.00802826,1.85195321
-4.75137569,6.55909585,0.01054436,0.49301066,1.55702832,0.40646363,4.26105840,3.35239671,0.00770946,1.80749887
-4.74537269,6.41940589,0.00947301,0.48813328,1.53186401,0.39034406,4.23101801,3.28354340,0.00745016,1.76440785
-4.73936968,6.27549979,0.00850245,0.48135533,1.50519517,0.37529881,4.18502744,3.21185026,0.00724422,1.72237583
-4.73336668,6.12809469,0.00763196,0.47271860,1.47651048,0.36135661,4.12289316,3.13822441,0.00708724,1.68125835
-4.72736368,5.97846211,0.00686029,0.46232444,1.44543051,0.34858608,4.04491811,3.06381026,0.00697651,1.64107531
-4.72136068,5.82838991,0.00618577,0.45032901,1.41172747,0.33708960,3.95188580,2.98996071,0.00691102,1.60200916
-4.71535768,5.68012327,0.00560636,0.43693670,1.37533891,0.32699608,3.84502886,2.91819855,0.00689124,1.56439683
-4.70935468,5.53628727,0.00511981,0.42239228,1.33637502,0.31845259,3.72598345,2.85016962,0.00691906,1.52871580
-4.70335168,5.39979428,0.00472371,0.40697176,1.29511903,0.31161569,3.59673128,2.78758944,0.00699749,1.49556501
-4.69734867,5.27373987,0.00441559,0.39097266,1.25202097,0.30664255,3.45953181,2.73218559,0.00713050,1.46564132
-4.69134567,5.16129166,0.00419296,0.37470389,1.20768521,0.30368234,3.31684725,2.68563813,0.00732269,1.43971262
-4.68534267,5.06557575,0.00405339,0.35847557,1.16285225,0.30286830,3.17126341,2.64952054,0.00757904,1.41858863
-4.67933967,4.98956505,0.00399455,0.34258943,1.11837589,0.30431068,3.02540944,2.62524361,0.00790462,1.40309061
-4.67333667,4.93597421,0.00401417,0.32732974,1.07519676,0.30809095,2.88187968,2.61400456,0.00830427,1.39402117
-4.66733367,4.90716496,0.00411013,0.31295545,1.03431345,0.31425730,2.74316014,2.61674339,0.00878233,1.39213542
-4.66133067,4.90506535,0.00428037,0.29969340,0.99675234,0.32282176,2.61156249,2.63410824,0.00934235,1.39811430
-4.65532766,4.93110565,0.00452286,0.28773308,0.96353751,0.33375872,2.48916735,2.66643086,0.00998688,1.41254131
-4.64932466,4.98617293,0.00483561,0.27722283,0.93566174,0.34700521,2.37777866,2.71371316,0.01071721,1.43588312
-4.64332166,5.07058525,0.00521654,0.26826763,0.91405950,0.36246249,2.27889008,2.77562509,0.01153322,1.46847481
-4.63731866,5.18408587,0.00566344,0.26092839,0.89958282,0.37999907,2.19366378,2.85151376,0.01243327,1.51050980
-4.63131566,5.32585672,0.00617389,0.25522268,0.89298053,0.39945484,2.12292162,2.94042316,0.01341409,1.56203482
-4.62531266,5.49454985,0.00674516,0.25112680,0.89488127,0.42064620,2.06714792,3.04112358,0.01447075,1.62294955
-4.61930965,5.68833466,0.00737413,0.24857900,0.90578042,0.44337176,2.02650273,3.15214929,0.01559676,1.69301067
-4.61330665,5.90495846,0.00805724,0.24748356,0.92603078,0.46741845,2.00084410,3.27184297,0.01678408,1.77183972
-4.60730365,6.14181708,0.00879037,0.24771572,0.95583694,0.49256773,1.98975748,3.39840498,0.01802334,1.85893421
-4.60130065,6.39603249,0.00956882,0.24912705,0.99525289,0.51860157,1.99259021,3.52994572,0.01930399,1.95368099
-4.59529765,6.66453369,0.01038727,0.25155109,1.04418240,0.54530792,2.00848931,3.66453880,0.02061455,2.05537120
-4.58929465,6.94413782,0.01123975,0.25480911,1.10238172,0.57248545,2.03644016,3.80027348,0.02194291,2.16321589
-4.58329165,7.23162793,0.01211963,0.25871570,1.16946406,0.59994738,2.07530465,3.93530428,0.02327659,2.27636147
-4.57728864,7.52382487,0.01301972,0.26308410,1.24490539,0.62752421,2.12385682,4.06789613,0.02460307,2.39390426
-4.57128564,7.81765065,0.01393223,0.26773099,1.32805115,0.65506521,2.18081488,4.19646377,0.02591010,2.51490364
-4.56528264,8.11018138,0.01484896,0.27248083,1.41812358,0.68243882,2.24486866,4.31960414,0.02718598,2.63839323
-4.55927964,8.39868868,0.01576131,0.27716945,1.51422952,0.70953178,2.31470180,4.43612088,0.02841979,2.76338997
-4.55327664,8.68066862,0.01666050,0.28164696,1.61536859,0.73624729,2.38900859,4.54504045,0.02960167,2.88890107
-4.54727364,8.95385852,0.01753765,0.28577987,1.72044184,0.76250232,2.46650564,4.64561969,0.03072292,3.01392887
-4.54127064,9.21624208,0.01838398,0.28945256,1.82826116,0.78822422,2.54593900,4.73734496,0.03177615,3.13747423
-4.53526763,9.46604420,0.01919095,0.29256794,1.93755967,0.81334711,2.62608737,4.81992330,0.03275532,3.25853869
-4.52926463,9.70171731,0.01995044,0.29504751,2.04700348,0.83780805,2.70576260,4.89326652,0.03365568,3.37612636
-4.52326163,9.92192129,0.02065491,0.29683085,2.15520521,0.86154370,2.78380866,4.95746915,0.03447374,3.48924605
-4.51725863,10.12549955,0.02129753,0.29787463,2.26073967,0.88448732,2.85910009,5.01278159,0.03520711,3.59691457
-4.51125563,10.31145379,0.02187231,0.29815121,2.36216187,0.90656673,2.93054129,5.05958004,0.03585436,3.69816170
-4.50525263,10.47891983,0.02237421,0.29764699,2.45802766,0.92770324,2.99706756,5.09833449,0.03641478,3.79203766
-4.49924962,10.62714702,0.02279919,0.29636064,2.54691682,0.94781172,3.05764863,5.12957664,0.03688815,3.87762325
-4.49324662,10.75548276,0.02314430,0.29430126,2.62745849,0.96680188,3.11129531,5.15386907,0.03727461,3.95404290
-4.48724362,10.86336387,0.02340765,0.29148655,2.69835843,0.98458071,3.15706943,5.17177718,0.03757433,4.02048059
-4.48124062,10.95031532,0.02358839,0.28794118,2.75842750,1.00105588,3.19409682,5.18384499,0.03778745,4.07619803
-4.47523762,11.01595650,0.02368672,0.28369528,2.80661039,1.01614000,3.22158314,5.19057591,0.03791390,4.12055474
-4.46923462,11.06001464,0.02370377,0.27878324,2.84201366,1.02975530,3.23883157,5.19241900,0.03795329,4.15302870
-4.46323162,11.08234399,0.02364155,0.27324270,2.86393189,1.04183850,3.24526156,5.18976122,0.03790495,4.17323683
-4.45722861,11.08294925,0.02350281,0.26711383,2.87187063,1.05234546,3.24042746,5.18292554,0.03776791,4.18095383
-4.45122561,11.06201131,0.02329097,0.26043888,2.86556517,1.06125518,3.22403583,5.17217480,0.03754098,4.17612810
-4.44522261,11.01991273,0.02300999,0.25326188,2.84499389,1.06857292,3.19596027,5.15772060,0.03722291,4.15889372
-4.43921961,10.95726105,0.02266425,0.24562860,2.81038531,1.07433202,3.15625266,5.13973659,0.03681257,4.12957722
-4.43321661,10.87490743,0.02225848,0.23758650,2.76221834,1.07859438,3.10514990,5.11837501,0.03630908,4.08869847
-4.42721361,10.77395903,0.02179763,0.22918490,2.70121517,1.08144930,3.04307549,5.09378547,0.03571212,4.03696518
-4.42121061,10.65578344,0.02128681,0.22047502,2.62832705,1.08301083,2.97063557,5.06613478,0.03502207,3.97526084
-4.41520760,10.52200447,0.02073123,0.21151006,2.54471310,1.08341371,2.88860939,5.03562663,0.03424023,3.90462637
-4.40920460,10.37448871,0.02013615,0.20234520,2.45171300,1.08280803,2.79793428,5.00251996,0.03336901,3.82623615
-4.40320160,10.21532327,0.01950683,0.19303743,2.35081437,1.08135302,2.69968595,4.96714506,0.03241209,3.74136939
-4.39719860,10.04678523,0.01884856,0.18364536,2.24361630,1.07921033,2.59505452,4.92991635,0.03137446,3.65137790
-4.39119560,9.87130398,0.01816660,0.17422878,2.13179014,1.07653707,2.48531753,4.89134123,0.03026251,3.55765200
-4.38519260,9.69141800,0.01746620,0.16484814,2.01703922,1.07347930,2.37181081,4.85202424,0.02908404,3.46158573
-4.37918959,9.50972740,0.01675261,0.15556398,1.90105894,1.07016598,2.25589845,4.81266618,0.02784813,3.36454309
-4.37318659,9.32884423,0.01603105,0.14643610,1.78549852,1.06670417,2.13894286,4.77405792,0.02656513,3.26782659
-4.36718359,9.15134190,0.01530673,0.13752284,1.67192576,1.06317536,2.02227604,4.73706889,0.02524642,3.17264931
-4.36118059,8.97970526,0.01458482,0.12888019,1.56179579,1.05963333,1.90717282,4.70263025,0.02390426,3.08011144
-4.35517759,8.81628252,0.01387041,0.12056098,1.45642459,1.05610353,1.79482699,4.67171316,0.02255157,2.99118190
