energy_ev,total_up,Pb_p_up,Pb_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-4.84742371,3.96596465,0.26140734,0.00538976,0.66541563,3.88240466,0.11028634,0.00000000
-4.84142071,3.91921797,0.26684316,0.00536906,0.68260870,3.82513635,0.11213246,0.00000000
-4.83541771,3.87486221,0.27216331,0.00535786,0.69884682,3.77077868,0.11376239,0.00000000
-4.82941471,3.83292218,0.27719729,0.00535552,0.71373175,3.71953196,0.11513669,0.00000000
-4.82341171,3.79347595,0.28177791,0.00536160,0.72689420,3.67163695,0.11622572,0.00000000
-4.81740870,3.75668387,0.28574874,0.00537588,0.73801035,3.62739790,0.11701152,0.00000000
-4.81140570,3.72281390,0.28897124,0.00539831,0.74681724,3.58720255,0.11748929,0.00000000
-4.80540270,3.69226100,0.29133116,0.00542898,0.75312588,3.55153688,0.11766846,0.00000000
-4.79939970,3.66555881,0.29274393,0.00546812,0.75683176,3.52099313,0.11757318,0.00000000
-4.79339670,3.64338206,0.29315875,0.00551603,0.75792181,3.49626974,0.11724225,0.00000000
-4.78739370,3.62653885,0.29256114,0.00557305,0.75647754,3.47816243,0.11672838,0.00000000
-4.78139070,3.61595244,0.29097383,0.00563949,0.75267404,3.46754616,0.11609688,0.00000000
-4.77538769,3.61263279,0.28845593,0.00571560,0.74677479,3.46534834,0.11542362,0.00000000
-4.76938469,3.61763877,0.28510036,0.00580152,0.73912245,3.47251397,0.11479252,0.00000000
-4.76338169,3.63203249,0.28102976,0.00589722,0.73012588,3.48996425,0.11429247,0.00000000
-4.75737869,3.65682759,0.27639096,0.00600253,0.72024409,3.51855021,0.11401393,0.00000000
-4.75137569,3.69293388,0.27134840,0.00611705,0.70996758,3.55900369,0.11404518,0.00000000
-4.74537269,3.74110097,0.26607670,0.00624018,0.69979815,3.61188770,0.11446851,0.00000000
-4.73936968,3.80186338,0.26075284,0.00637111,0.69022787,3.67754893,0.11535642,0.00000000
-4.73336668,3.87549015,0.25554826,0.00650885,0.68171823,3.75607450,0.11676804,0.00000000
-4.72736368,3.96194126,0.25062130,0.00665222,0.67468043,3.84725542,0.11874584,0.00000000
-4.72136068,4.06083335,0.24611031,0.00679986,0.66945758,3.95055875,0.12131292,0.00000000
-4.71535768,4.17141667,0.24212770,0.00695032,0.66630974,4.06511000,0.12447091,0.00000000
-4.70935468,4.29256471,0.23875530,0.00710202,0.66540232,4.18968728,0.12819864,0.00000000
-4.70335168,4.42277749,0.23604113,0.00725332,0.66679839,4.32272779,0.13245164,0.00000000
-4.69734867,4.56019901,0.23399770,0.00740252,0.67045520,4.46234693,0.13716253,0.00000000
-4.69134567,4.70264844,0.23260193,0.00754788,0.67622508,4.60636988,0.14224238,0.00000000
-4.68534267,4.84766459,0.23179667,0.00768767,0.68386052,4.75237477,0.14758286,0.00000000
-4.67933967,4.99256192,0.23149362,0.00782013,0.69302336,4.89774620,0.15305926,0.00000000
-4.67333667,5.13449659,0.23157762,0.00794352,0.70329745,5.03973736,0.15853426,0.00000000
-4.66733367,5.27054010,0.23191189,0.00805610,0.71420441,5.17553876,0.16386222,0.00000000
-4.66133067,5.39775785,0.23234423,0.00815614,0.72522156,5.30235103,0.16889389,0.00000000
-4.65532766,5.51328999,0.23271354,0.00824194,0.73580150,5.41745945,0.17348133,0.00000000
-4.64932466,5.61443141,0.23285669,0.00831180,0.74539230,5.51830729,0.17748292,0.00000000
-4.64332166,5.69870800,0.23261523,0.00836409,0.75345748,5.60256563,0.18076807,0.00000000
-4.63731866,5.76394648,0.23184167,0.00839720,0.75949515,5.66819686,0.18322159,0.00000000
-4.63131566,5.80833514,0.23040511,0.00840964,0.76305532,5.71350983,0.18474753,0.00000000
-4.62531266,5.83047339,0.22819612,0.00840000,0.76375491,5.73720465,0.18527224,0.00000000
-4.61930965,5.82940844,0.22513036,0.00836703,0.76128984,5.73840555,0.18474659,0.00000000
-4.61330665,5.80465790,0.22115127,0.00830967,0.75544387,5.71668087,0.18314730,0.00000000
-4.60730365,5.75621772,0.21623142,0.00822711,0.74609396,5.67204956,0.18047731,0.00000000
-4.60130065,5.68455545,0.21037265,0.00811881,0.73321208,5.60497428,0.17676516,0.00000000
-4.59529765,5.59058948,0.20360519,0.00798455,0.71686354,5.51634156,0.17206353,0.00000000
-4.58929465,5.47565530,0.19598557,0.00782449,0.69720220,5.40743011,0.16644694,0.00000000
-4.58329165,5.34146054,0.18759377,0.00763916,0.67446276,5.27986874,0.16000886,0.00000000
-4.57728864,5.19003065,0.17852960,0.00742951,0.64895075,5.13558572,0.15285821,0.00000000
-4.57128564,5.02364779,0.16890855,0.00719689,0.62103067,4.97675173,0.14511559,0.00000000
-4.56528264,4.84478521,0.15885742,0.00694308,0.59111295,4.80571873,0.13690932,0.00000000
-4.55927964,4.65603994,0.14850975,0.00667019,0.55964031,4.62495706,0.12837149,0.00000000
-4.55327664,4.46006609,0.13800142,0.00638071,0.52707401,4.43699308,0.11963421,0.00000000
-4.54727364,4.25951138,0.12746649,0.00607739,0.49388074,4.24434970,0.11082614,0.00000000
-4.54127064,4.05695876,0.11703350,0.00576321,0.46052037,4.04949152,0.10206948,0.00000000
-4.53526763,3.85487494,0.10682228,0.00544130,0.42743519,3.85477636,0.09347744,0.00000000
-4.52926463,3.65556728,0.09694135,0.00511487,0.39504071,3.66241432,0.08515234,0.00000000
-4.52326163,3.46114965,0.08748604,0.00478712,0.36371837,3.47443534,0.07718428,0.00000000
-4.51725863,3.27351784,0.07853722,0.00446116,0.33381018,3.29266551,0.06965037,0.00000000
-4.51125563,3.09433444,0.07016071,0.00413998,0.30561523,3.11871212,0.06261455,0.00000000
-4.50525263,2.92502263,0.06240724,0.00382631,0.27938807,2.95395722,0.05612790,0.00000000
-4.49924962,2.76676810,0.05531297,0.00352265,0.25533869,2.79955865,0.05022934,0.00000000
-4.49324662,2.62052797,0.04890046,0.00323116,0.23363396,2.65645768,0.04494676,0.00000000
-4.48724362,2.48704533,0.04317991,0.00295369,0.21440022,2.52539202,0.04029827,0.00000000
-4.48124062,2.36686792,0.03815073,0.00269170,0.19772669,2.40691273,0.03629372,0.00000000
-4.47523762,2.26036955,0.03380323,0.00244632,0.18366956,2.30140370,0.03293624,0.00000000
-4.46923462,2.16777265,0.03012039,0.00221833,0.17225629,2.20910230,0.03022376,0.00000000
-4.46323162,2.08917070,0.02707963,0.00200818,0.16349001,2.13012000,0.02815051,0.00000000
-4.45722861,2.02454947,0.02465450,0.00181600,0.15735381,2.06446174,0.02670831,0.00000000
-4.45122561,1.97380593,0.02281630,0.00164169,0.15381461,2.01204337,0.02588777,0.00000000
-4.44522261,1.93676434,0.02153552,0.00148491,0.15282657,1.97270626,0.02567919,0.00000000
-4.43921961,1.91318904,0.02078309,0.00134513,0.15433401,1.94622896,0.02607332,0.00000000
-4.43321661,1.90279372,0.02053155,0.00122167,0.15827360,1.93233553,0.02706182,0.00000000
-4.42721361,1.90524737,0.02075590,0.00111377,0.16457603,1.93070075,0.02863749,0.00000000
-4.42121061,1.92017699,0.02143435,0.00102059,0.17316700,1.94095245,0.03079438,0.00000000
-4.41520760,1.94716774,0.02254889,0.00094124,0.18396771,1.96267137,0.03352755,0.00000000
