energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
5.42371186,2.15466024,-2.15466022,1.73240297,-1.73240296,0.02125279,-0.02125279,0.09204059,-0.09204060,0.06907276,-0.06907276,0.77128542,-0.77128538,0.00900694,-0.00900694,0.19363832,-0.19363832,0.00000000,-0.00000000
5.42971486,2.23367782,-2.23367780,1.79552871,-1.79552870,0.02214925,-0.02214925,0.09692067,-0.09692067,0.07496736,-0.07496736,0.80919678,-0.80919674,0.00912595,-0.00912595,0.20555263,-0.20555263,0.00000000,-0.00000000
5.43571786,2.30955385,-2.30955383,1.86107052,-1.86107051,0.02304238,-0.02304238,0.10141583,-0.10141583,0.08112234,-0.08112234,0.84371452,-0.84371448,0.00923067,-0.00923067,0.21803691,-0.21803691,0.00000000,-0.00000000
5.44172086,2.38223643,-2.38223641,1.92973930,-1.92973929,0.02393387,-0.02393387,0.10546238,-0.10546238,0.08750484,-0.08750484,0.87436574,-0.87436570,0.00932487,-0.00932487,0.23109671,-0.23109671,0.00000000,-0.00000000
5.44772386,2.45172676,-2.45172675,2.00221520,-2.00221519,0.02482565,-0.02482565,0.10900665,-0.10900665,0.09407379,-0.09407379,0.90077107,-0.90077104,0.00941233,-0.00941233,0.24472275,-0.24472275,0.00000000,-0.00000000
5.45372686,2.51807600,-2.51807598,2.07912794,-2.07912792,0.02571985,-0.02571985,0.11200735,-0.11200735,0.10078035,-0.10078034,0.92266335,-0.92266332,0.00949672,-0.00949672,0.25888919,-0.25888919,0.00000000,-0.00000000
5.45972986,2.58138320,-2.58138319,2.16104335,-2.16104333,0.02661869,-0.02661869,0.11443757,-0.11443757,0.10756869,-0.10756868,0.93990353,-0.93990350,0.00958136,-0.00958136,0.27355278,-0.27355278,0.00000000,-0.00000000
5.46573287,2.64179519,-2.64179517,2.24845759,-2.24845757,0.02752449,-0.02752449,0.11628651,-0.11628651,0.11437729,-0.11437728,0.95249307,-0.95249303,0.00966917,-0.00966917,0.28865293,-0.28865293,0.00000000,-0.00000000
5.47173587,2.69950841,-2.69950840,2.34179966,-2.34179963,0.02843968,-0.02843968,0.11756060,-0.11756060,0.12114064,-0.12114064,0.96058209,-0.96058206,0.00976244,-0.00976244,0.30411294,-0.30411295,0.00000000,-0.00000000
5.47773887,2.75477310,-2.75477309,2.44144236,-2.44144233,0.02936687,-0.02936687,0.11828422,-0.11828423,0.12779139,-0.12779139,0.96447299,-0.96447297,0.00986287,-0.00986287,0.31984231,-0.31984231,0.00000000,-0.00000000
5.48374187,2.80789940,-2.80789939,2.54772109,-2.54772105,0.03030887,-0.03030887,0.11849978,-0.11849979,0.13426283,-0.13426283,0.96461904,-0.96461902,0.00997145,-0.00997145,0.33574005,-0.33574006,0.00000000,-0.00000000
5.48974487,2.85926506,-2.85926505,2.66095911,-2.66095906,0.03126888,-0.03126888,0.11826720,-0.11826720,0.14049163,-0.14049163,0.96161788,-0.96161786,0.01008848,-0.01008848,0.35169906,-0.35169907,0.00000000,-0.00000000
5.49574787,2.90932389,-2.90932388,2.78149717,-2.78149711,0.03225057,-0.03225057,0.11766284,-0.11766284,0.14642072,-0.14642072,0.95620015,-0.95620013,0.01021365,-0.01021365,0.36761113,-0.36761113,0.00000000,-0.00000000
5.50175088,2.95861394,-2.95861393,2.90972499,-2.90972493,0.03325818,-0.03325818,0.11677786,-0.11677786,0.15200216,-0.15200215,0.94921324,-0.94921323,0.01034609,-0.01034609,0.38337248,-0.38337249,0.00000000,-0.00000000
5.50775388,3.00776406,-3.00776405,3.04611129,-3.04611122,0.03429669,-0.03429669,0.11571601,-0.11571601,0.15719986,-0.15719985,0.94160083,-0.94160082,0.01048449,-0.01048449,0.39888948,-0.39888949,0.00000000,-0.00000000
5.51375688,3.05749753,-3.05749752,3.19122915,-3.19122907,0.03537183,-0.03537183,0.11459100,-0.11459100,0.16199198,-0.16199198,0.93437850,-0.93437850,0.01062725,-0.01062725,0.41408407,-0.41408408,0.00000000,-0.00000000
5.51975988,3.10863124,-3.10863123,3.34577311,-3.34577302,0.03649012,-0.03649012,0.11352344,-0.11352344,0.16637284,-0.16637284,0.92860633,-0.92860633,0.01077261,-0.01077261,0.42889867,-0.42889868,0.00000000,-0.00000000
5.52576288,3.16206910,-3.16206909,3.51056509,-3.51056498,0.03765879,-0.03765879,0.11263749,-0.11263749,0.17035419,-0.17035419,0.92535903,-0.92535903,0.01091883,-0.01091883,0.44330010,-0.44330011,0.00000000,-0.00000000
5.53176588,3.21878839,-3.21878838,3.68654600,-3.68654588,0.03888563,-0.03888563,0.11205725,-0.11205726,0.17396574,-0.17396574,0.92569453,-0.92569454,0.01106430,-0.01106430,0.45728222,-0.45728224,0.00000000,-0.00000000
5.53776888,3.27981844,-3.27981842,3.87475150,-3.87475137,0.04017876,-0.04017876,0.11190309,-0.11190309,0.17725484,-0.17725483,0.93062186,-0.93062188,0.01120770,-0.01120770,0.47086697,-0.47086699,0.00000000,-0.00000000
