energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-4.46323162,0.72567736,0.00007556,0.05855839,0.15310016,0.12261427,0.05512967,0.37087387,0.00434085,0.18439432
-4.45722861,0.75067956,0.00006448,0.06416017,0.16545380,0.12516350,0.05527405,0.37948448,0.00476829,0.18818693
-4.45122561,0.78473005,0.00005494,0.07042135,0.17935903,0.12936008,0.05660821,0.39268031,0.00525818,0.19452085
-4.44522261,0.82742690,0.00004686,0.07731198,0.19470563,0.13508824,0.05910979,0.41035084,0.00580915,0.20321620
-4.43921961,0.87826053,0.00004010,0.08479376,0.21136472,0.14222113,0.06274732,0.43231728,0.00641874,0.21407583
-4.43321661,0.93661562,0.00003456,0.09281962,0.22918868,0.15062171,0.06747898,0.45833394,0.00708337,0.22688584
-4.42721361,1.00177342,0.00003010,0.10133341,0.24801117,0.16014349,0.07325138,0.48808994,0.00779828,0.24141616
-4.42121061,1.07291478,0.00002661,0.11026967,0.26764749,0.17063123,0.07999825,0.52121146,0.00855747,0.25742109
-4.41520760,1.14912420,0.00002398,0.11955345,0.28789526,0.18192159,0.08763927,0.55726454,0.00935374,0.27464014
-4.40920460,1.22939512,0.00002209,0.12910042,0.30853542,0.19384372,0.09607919,0.59575862,0.01017868,0.29279903
-4.40320160,1.31263708,0.00002084,0.13881704,0.32933370,0.20622003,0.10520726,0.63615099,0.01102274,0.31161117
-4.39719860,1.39768478,0.00002013,0.14860116,0.35004261,0.21886715,0.11489718,0.67785229,0.01187533,0.33077954
-4.39119560,1.48330968,0.00001987,0.15834273,0.37040391,0.23159696,0.12500769,0.72023327,0.01272499,0.34999917
-4.38519260,1.56823412,0.00001997,0.16792501,0.39015164,0.24421811,0.13538373,0.76263288,0.01355954,0.36896021
-4.37918959,1.65114828,0.00002037,0.17722600,0.40901583,0.25653772,0.14585840,0.80436779,0.01436631,0.38735159
-4.37318659,1.73072989,0.00002098,0.18612029,0.42672661,0.26836350,0.15625555,0.84474333,0.01513247,0.40486529
-4.36718359,1.80566649,0.00002175,0.19448126,0.44301898,0.27950624,0.16639317,0.88306569,0.01584524,0.42120118
-4.36118059,1.87468001,0.00002262,0.20218351,0.45763794,0.28978265,0.17608727,0.91865538,0.01649227,0.43607228
-4.35517759,1.93655307,0.00002354,0.20910566,0.47034399,0.29901844,0.18515633,0.95086142,0.01706191,0.44921038
-4.34917459,1.99015624,0.00002446,0.21513331,0.48091875,0.30705178,0.19342607,0.97907605,0.01754361,0.46037182
-4.34317159,2.03447559,0.00002535,0.22016201,0.48917069,0.31373675,0.20073434,1.00274955,0.01792816,0.46934319
-4.33716858,2.06863940,0.00002618,0.22410038,0.49494055,0.31894692,0.20693607,1.02140447,0.01820803,0.47594689
-4.33116558,2.09194305,0.00002690,0.22687298,0.49810641,0.32257876,0.21190784,1.03464889,0.01837757,0.48004611
-4.32516258,2.10387108,0.00002752,0.22842300,0.49858808,0.32455483,0.21555209,1.04218813,0.01843323,0.48154920
-4.31915958,2.10411533,0.00002802,0.22871455,0.49635066,0.32482658,0.21780066,1.04383432,0.01837370,0.48041310
-4.31315658,2.09258827,0.00002839,0.22773452,0.49140698,0.32337652,0.21861747,1.03951342,0.01819996,0.47664572
-4.30715358,2.06943076,0.00002863,0.22549377,0.48381892,0.32021984,0.21800030,1.02926930,0.01791528,0.47030704
-4.30115058,2.03501376,0.00002877,0.22202778,0.47369729,0.31540514,0.21598149,1.01326458,0.01752515,0.46150891
-4.29514757,1.98993347,0.00002880,0.21739649,0.46120034,0.30901432,0.21262760,0.99177809,0.01703714,0.45041348
-4.28914457,1.93500017,0.00002877,0.21168343,0.44653092,0.30116157,0.20803792,0.96519904,0.01646068,0.43723018
-4.28314157,1.87122064,0.00002871,0.20499420,0.42993219,0.29199145,0.20234204,0.93401785,0.01580684,0.42221148
-4.27713857,1.79977503,0.00002865,0.19745414,0.41168222,0.28167608,0.19569643,0.89881417,0.01508796,0.40564732
-4.27113557,1.72198855,0.00002864,0.18920550,0.39208744,0.27041142,0.18828025,0.86024228,0.01431738,0.38785867
-4.26513257,1.63929925,0.00002873,0.18040404,0.37147535,0.25841298,0.18029050,0.81901449,0.01350902,0.36919006
-4.25912956,1.55322274,0.00002899,0.17121525,0.35018657,0.24591083,0.17193674,0.77588307,0.01267709,0.35000163
-4.25312656,1.46531510,0.00002946,0.16181027,0.32856672,0.23314420,0.16343553,0.73162135,0.01183567,0.33066076
-4.24712356,1.37713528,0.00003022,0.15236170,0.30695819,0.22035580,0.15500474,0.68700466,0.01099841,0.31153358
-4.24112056,1.29020798,0.00003132,0.14303945,0.28569216,0.20778608,0.14685800,0.64279159,0.01017822,0.29297653
-4.23511756,1.20598828,0.00003283,0.13400661,0.26508122,0.19566747,0.13919932,0.59970626,0.00938697,0.27532837
-4.22911456,1.12582889,0.00003481,0.12541569,0.24541260,0.18421897,0.13221815,0.55842209,0.00863532,0.25890262
-4.22311156,1.05095085,0.00003730,0.11740516,0.22694240,0.17364095,0.12608478,0.51954733,0.00793249,0.24398070
-4.21710855,0.98241836,0.00004036,0.11009638,0.20989071,0.16411061,0.12094649,0.48361286,0.00728614,0.23080595
-4.21110555,0.92111821,0.00004403,0.10359109,0.19443795,0.15577799,0.11692411,0.45106234,0.00670230,0.21957857
-4.20510255,0.86774405,0.00004832,0.09796946,0.18072233,0.14876260,0.11410938,0.42224490,0.00618531,0.21045155
