energy_ev,total_up,P_s_up,P_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
1.79789895,2.86413260,0.01266202,0.62820995,1.13016813,1.12658450,1.00135084,0.00000000
1.80390195,2.91576557,0.01292239,0.64409103,1.15448133,1.15594583,0.99065728,0.00000000
1.80990495,2.96414733,0.01316555,0.65803621,1.17873882,1.18361219,0.98105283,0.00000000
1.81590795,3.00892741,0.01338779,0.66982072,1.20281443,1.20927823,0.97297537,0.00000000
1.82191096,3.04982374,0.01358545,0.67925716,1.22657761,1.23267050,0.96686571,0.00000000
1.82791396,3.08662816,0.01375507,0.68620096,1.24989491,1.25355417,0.96315564,0.00000000
1.83391696,3.11921059,0.01389349,0.69055471,1.27263184,1.27173932,0.96225543,0.00000000
1.83991996,3.14752160,0.01399797,0.69227113,1.29465500,1.28708659,0.96454120,0.00000000
1.84592296,3.17159293,0.01406629,0.69135452,1.31583421,1.29951179,0.97034244,0.00000000
1.85192596,3.19153605,0.01409688,0.68786067,1.33604453,1.30898930,0.97993005,0.00000000
1.85792896,3.20753843,0.01408893,0.68189523,1.35516797,1.31555379,0.99350533,0.00000000
1.86393197,3.21985778,0.01404241,0.67361060,1.37309483,1.31930034,1.01119027,0.00000000
1.86993497,3.22881417,0.01395820,0.66320143,1.38972463,1.32038273,1.03301963,0.00000000
1.87593797,3.23478056,0.01383807,0.65089893,1.40496654,1.31900987,1.05893513,0.00000000
1.88194097,3.23817184,0.01368467,0.63696424,1.41873952,1.31544057,1.08878222,0.00000000
1.88794397,3.23943310,0.01350155,0.62168108,1.43097217,1.30997672,1.12230965,0.00000000
1.89394697,3.23902736,0.01329304,0.60534790,1.44160251,1.30295515,1.15917225,0.00000000
1.89994997,3.23742346,0.01306419,0.58826999,1.45057783,1.29473849,1.19893691,0.00000000
1.90595298,3.23508451,0.01282065,0.57075153,1.45785470,1.28570533,1.24109190,0.00000000
1.91195598,3.23245725,0.01256854,0.55308817,1.46339944,1.27624002,1.28505936,0.00000000
1.91795898,3.22996267,0.01231428,0.53556013,1.46718898,1.26672243,1.33021072,0.00000000
1.92396198,3.22798811,0.01206445,0.51842604,1.46921222,1.25751804,1.37588457,0.00000000
