energy_ev,total_up,Ga_p_up,Ga_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-5.20760380,6.85913898,0.24720319,0.00000000,3.26162442,3.62349337,0.14497714,3.57308681
-5.20160080,7.09469677,0.25410079,0.00000000,3.38190703,3.76484202,0.14565091,3.70443361
-5.19559780,7.34866893,0.26109111,0.00000000,3.50844127,3.91803883,0.14632894,3.84657433
-5.18959480,7.61685099,0.26809640,0.00000000,3.63911105,4.08068122,0.14698883,3.99701589
-5.18359180,7.89514961,0.27505611,0.00000000,3.77191030,4.25037948,0.14760800,4.15332082
-5.17758879,8.17966913,0.28192897,0.00000000,3.90498413,4.42480220,0.14816525,4.31315320
-5.17158579,8.46678681,0.28869411,0.00000000,4.03666304,4.60171778,0.14864216,4.47431911
-5.16558279,8.75321385,0.29535090,0.00000000,4.16548930,4.77903055,0.14902445,4.63480037
-5.15957979,9.03604002,0.30191780,0.00000000,4.29023423,4.95481035,0.14930291,4.79278051
-5.15357679,9.31276008,0.30842982,0.00000000,4.40990607,5.12731441,0.14947416,4.94666202
-5.14757379,9.58128092,0.31493505,0.00000000,4.52374796,5.29500073,0.14954098,5.09507446
-5.14157079,9.83990936,0.32149022,0.00000000,4.63122615,5.45653253,0.14951221,5.23687323
-5.13556778,10.08732145,0.32815546,0.00000000,4.73200927,5.61077378,0.14940231,5.37112910
-5.12956478,10.32251504,0.33498873,0.00000000,4.82593931,5.75677622,0.14923053,5.49710949
-5.12356178,10.54474859,0.34203999,0.00000000,4.91299613,5.89375891,0.14901969,5.61425237
-5.11755878,10.75346974,0.34934563,0.00000000,4.99325715,6.02108165,0.14879484,5.72213458
-5.11155578,10.94823817,0.35692333,0.00000000,5.06685441,6.13821413,0.14858163,5.82043647
-5.10555278,11.12864760,0.36476781,0.00000000,5.13393133,6.24470295,0.14840468,5.90890491
-5.09954977,11.29425174,0.37284766,0.00000000,5.19460157,6.34013873,0.14828597,5.98731721
-5.09354677,11.44449936,0.38110350,0.00000000,5.24891230,6.42412574,0.14824341,6.05544812
