energy_ev,total_up,Bi_p_up,Bi_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
3.99499750,2.67584439,0.28560105,0.02639682,0.93119659,0.74060877,0.40106423,0.00000000
4.00100050,2.86690300,0.31094696,0.02831382,0.98720470,0.79748405,0.40284633,0.00000000
4.00700350,3.06567347,0.33876316,0.03050181,1.04475063,0.85647869,0.40872475,0.00000000
4.01300650,3.27073278,0.36900426,0.03296067,1.10344311,0.91719170,0.41867417,0.00000000
4.01900950,3.48044786,0.40157954,0.03568619,1.16284465,0.97915941,0.43260280,0.00000000
4.02501251,3.69299043,0.43635015,0.03866971,1.22247378,1.04185854,0.45035367,0.00000000
4.03101551,3.90635745,0.47312737,0.04189782,1.28180822,1.10471127,0.47170587,0.00000000
4.03701851,4.11839746,0.51167198,0.04535218,1.34028933,1.16709230,0.49637627,0.00000000
4.04302151,4.32684259,0.55169507,0.04900926,1.39732801,1.22833800,0.52402158,0.00000000
4.04902451,4.52934618,0.59286042,0.05284037,1.45231220,1.28775755,0.55424132,0.00000000
4.05502751,4.72352524,0.63478873,0.05681164,1.50461618,1.34464600,0.58658173,0.00000000
4.06103052,4.90700709,0.67706346,0.06088427,1.55361147,1.39829892,0.62054114,0.00000000
4.06703352,5.07747908,0.71923864,0.06501489,1.59867954,1.44802823,0.65557682,0.00000000
4.07303652,5.23273987,0.76084812,0.06915608,1.63922569,1.49317881,0.69111351,0.00000000
