energy_ev,total_up,Cd_p_up,Cd_d_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up
-5.03951976,4.40814365,1.03920122,0.44810779,0.30772603,0.01019613,0.13543600,0.07402125,2.16586496
-5.03351676,4.54651300,1.05437205,0.46579628,0.30560831,0.01043465,0.13565411,0.07630900,2.23702372
-5.02751376,4.67720287,1.06766977,0.48244690,0.30328595,0.01079272,0.13562977,0.07842750,2.30459995
-5.02151076,4.80017106,1.07929322,0.49796499,0.30087954,0.01128617,0.13542602,0.08038742,2.36852981
-5.01550775,4.91556681,1.08945815,0.51228177,0.29850032,0.01193140,0.13510951,0.08220440,2.42883795
-5.00950475,5.02371857,1.09838984,0.52535562,0.29624671,0.01274508,0.13474872,0.08389810,2.48563237
-5.00350175,5.12511680,1.10631606,0.53717255,0.29420162,0.01374398,0.13441217,0.08549108,2.53909682
-4.99749875,5.22039263,1.11346080,0.54774578,0.29243079,0.01494466,0.13416682,0.08700758,2.58948121
-4.99149575,5.31029293,1.12003868,0.55711469,0.29098213,0.01636319,0.13407664,0.08847222,2.63709015
-4.98549275,5.39565259,1.12625028,0.56534288,0.28988595,0.01801484,0.13420134,0.08990865,2.68227024
-4.97948974,5.47736496,1.13227832,0.57251563,0.28915612,0.01991380,0.13459533,0.09133837,2.72539636
-4.97348674,5.55635125,1.13828465,0.57873669,0.28879189,0.02207284,0.13530684,0.09277959,2.76685759
-4.96748374,5.63352968,1.14440809,0.58412470,0.28878030,0.02450302,0.13637715,0.09424633,2.80704294
-4.96148074,5.70978531,1.15076275,0.58880918,0.28909891,0.02721341,0.13784006,0.09574764,2.84632761
-4.95547774,5.78594102,1.15743704,0.59292632,0.28971879,0.03021074,0.13972129,0.09728719,2.88505981
-4.94947474,5.86273039,1.16449292,0.59661466,0.29060738,0.03349919,0.14203811,0.09886305,2.92354866
-4.94347174,5.94077280,1.17196549,0.60001086,0.29173119,0.03708007,0.14479890,0.10046773,2.96205327
-4.93746873,6.02055108,1.17986272,0.60324550,0.29305814,0.04095159,0.14800278,0.10208842,3.00077311
-4.93146573,6.10239196,1.18816523,0.60643918,0.29455942,0.04510854,0.15163923,0.10370755,3.03983990
-4.92546273,6.18644935,1.19682619,0.60969883,0.29621067,0.04954209,0.15568772,0.10530339,3.07931077
-4.91945973,6.27269062,1.20577115,0.61311438,0.29799262,0.05423948,0.16011747,0.10685086,3.11916298
-4.91345673,6.36088580,1.21489801,0.61675588,0.29989101,0.05918379,0.16488714,0.10832237,3.15928980
-4.90745373,6.45059997,1.22407713,0.62067088,0.30189587,0.06435365,0.16994477,0.10968872,3.19949790
