energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
2.12206103,5.15845519,1.86535059,1.98080430,0.02482712,0.44030752,0.11172138,1.97483565,0.56549338,0.00097013
2.12806403,5.12659908,1.84949268,1.96549331,0.02204916,0.45029688,0.10884145,1.96519712,0.53700890,0.00097343
2.13406703,5.07759104,1.82748597,1.94328086,0.01955542,0.45789102,0.10585518,1.94821226,0.50976334,0.00097309
2.14007004,5.01038278,1.79909328,1.91387182,0.01733830,0.46290390,0.10272300,1.92357485,0.48358040,0.00096876
2.14607304,4.92436598,1.76423816,1.87714067,0.01538723,0.46520241,0.09941445,1.89114812,0.45829462,0.00096023
2.15207604,4.81940257,1.72301486,1.83313879,0.01368968,0.46471046,0.09590958,1.85097314,0.43376003,0.00094741
2.15807904,4.69583879,1.67569238,1.78209579,0.01223219,0.46141149,0.09219972,1.80327144,0.40985695,0.00093035
2.16408204,4.55450245,1.62271245,1.72441498,0.01100120,0.45534892,0.08828774,1.74844188,0.38649683,0.00090922
2.17008504,4.39668393,1.56468154,1.66066321,0.00998379,0.44662486,0.08418768,1.68705198,0.36362507,0.00088431
2.17608804,4.22410180,1.50235727,1.59155548,0.00916830,0.43539689,0.07992400,1.61982393,0.34122183,0.00085602
2.18209105,4.03885490,1.43662984,1.51793521,0.00854470,0.42187319,0.07553027,1.54761609,0.31930113,0.00082485
2.18809405,3.84336300,1.36849929,1.44075084,0.00810496,0.40630611,0.07104756,1.47140070,0.29790841,0.00079139
2.19409705,3.64029881,1.29904955,1.36102978,0.00784306,0.38898457,0.06652265,1.39223870,0.27711685,0.00075629
2.20010005,3.43251415,1.22942032,1.27985085,0.00775509,0.37022547,0.06200603,1.31125287,0.25702294,0.00072025
2.20610305,3.22296346,1.16077778,1.19831618,0.00783898,0.35036454,0.05754990,1.22960019,0.23774156,0.00068399
2.21210605,3.01462757,1.09428537,1.11752368,0.00809432,0.32974698,0.05320618,1.14844472,0.21940095,0.00064825
2.21810905,2.81044070,1.03107544,1.03854099,0.00852198,0.30871816,0.04902476,1.06893173,0.20213801,0.00061376
2.22411206,2.61322316,0.97222295,0.96238183,0.00912365,0.28761483,0.04505186,0.99216427,0.18609407,0.00058120
2.23011506,2.42562210,0.91872171,0.88998548,0.00990138,0.26675711,0.04132873,0.91918270,0.17141157,0.00055123
2.23611806,2.25006176,0.87146405,0.82219977,0.01085709,0.24644146,0.03789057,0.85094782,0.15823159,0.00052446
2.24212106,2.08870461,0.83122430,0.75976815,0.01199203,0.22693483,0.03476587,0.78832795,0.14669262,0.00050140
2.24812406,1.94342387,0.79864628,0.70332077,0.01330629,0.20847026,0.03197594,0.73209002,0.13693030,0.00048252
2.25412706,1.81578748,0.77423512,0.65336967,0.01479838,0.19124385,0.02953483,0.68289469,0.12907846,0.00046819
2.26013007,1.70705313,0.75835323,0.61030788,0.01646482,0.17541313,0.02744952,0.64129506,0.12327096,0.00045870
2.26613307,1.61817325,0.75122028,0.57441191,0.01829987,0.16109687,0.02572030,0.60773871,0.11964454,0.00045427
2.27213607,1.54980887,0.75291689,0.54584737,0.02029530,0.14837614,0.02434145,0.58257232,0.11834225,0.00045505
2.27813907,1.50235052,0.76339160,0.52467690,0.02244036,0.13729651,0.02330194,0.56604823,0.11951720,0.00046110
2.28414207,1.47594439,0.78247055,0.51087001,0.02472176,0.12787119,0.02258644,0.55833217,0.12333649,0.00047243
2.29014507,1.47052178,0.80986936,0.50431393,0.02712389,0.12008486,0.02217622,0.55951147,0.12998474,0.00048901
2.29614807,1.48582979,0.84520645,0.50482497,0.02962907,0.11389809,0.02205020,0.56960282,0.13966710,0.00051074
2.30215108,1.52146137,0.88801732,0.51215972,0.03221794,0.10925194,0.02218595,0.58855915,0.15261115,0.00053751
2.30815408,1.57688282,0.93776898,0.52602549,0.03486998,0.10607273,0.02256065,0.61627486,0.16906746,0.00056921
2.31415708,1.65145743,0.99387391,0.54608963,0.03756407,0.10427651,0.02315191,0.65258913,0.18930845,0.00060568
2.32016008,1.74446380,1.05570314,0.57198723,0.04027909,0.10377337,0.02393861,0.69728698,0.21362511,0.00064679
2.32616308,1.85510814,1.12259784,0.60332716,0.04299462,0.10447105,0.02490143,0.75009809,0.24232150,0.00069241
2.33216608,1.98253005,1.19387913,0.63969613,0.04569151,0.10627811,0.02602335,0.81069343,0.27570672,0.00074242
2.33816908,2.12580190,1.26885586,0.68066105,0.04835257,0.10910626,0.02728989,0.87868017,0.31408439,0.00079673
