energy_ev,total_up,S_s_up,S_p_up,Si_p_up,Si_d_up,Zn_p_up,Zn_d_up
-5.06353177,1.71938111,0.09470628,0.50924539,0.22191187,0.00000000,0.82756642,0.20387920
-5.05752876,1.68627334,0.09097102,0.50463192,0.21769593,0.00000000,0.82555273,0.19766656
-5.05152576,1.64842726,0.08740743,0.49818462,0.21274527,0.00000000,0.81918297,0.19114115
-5.04552276,1.60652510,0.08410071,0.49006644,0.20712954,0.00000000,0.80857726,0.18440571
-5.03951976,1.56131295,0.08112368,0.48046819,0.20093551,0.00000000,0.79395250,0.17756294
-5.03351676,1.51357811,0.07853456,0.46960255,0.19426467,0.00000000,0.77561570,0.17071253
-5.02751376,1.46412532,0.07637523,0.45769728,0.18723023,0.00000000,0.75395405,0.16394818
-5.02151076,1.41375293,0.07467022,0.44498794,0.17995387,0.00000000,0.72942214,0.15735507
-5.01550775,1.36322971,0.07342623,0.43171038,0.17256222,0.00000000,0.70252702,0.15100766
-5.00950475,1.31327335,0.07263246,0.41809339,0.16518318,0.00000000,0.67381160,0.14496791
-5.00350175,1.26453137,0.07226141,0.40435182,0.15794239,0.00000000,0.64383730,0.13928402
-4.99749875,1.21756517,0.07227040,0.39068047,0.15095971,0.00000000,0.61316658,0.13398975
-4.99149575,1.17283773,0.07260350,0.37724895,0.14434605,0.00000000,0.58234611,0.12910418
-4.98549275,1.13070537,0.07319398,0.36419783,0.13820058,0.00000000,0.55189131,0.12463208
-4.97948974,1.09141385,0.07396700,0.35163608,0.13260834,0.00000000,0.52227277,0.12056475
-4.97348674,1.05509863,0.07484261,0.33964003,0.12763844,0.00000000,0.49390495,0.11688129
-4.96748374,1.02178931,0.07573881,0.32825362,0.12334278,0.00000000,0.46713767,0.11355026
-4.96148074,0.99141770,0.07657456,0.31749013,0.11975544,0.00000000,0.44225039,0.11053161
-4.95547774,0.96382922,0.07727274,0.30733497,0.11689261,0.00000000,0.41944942,0.10777885
-4.94947474,0.93879674,0.07776284,0.29774948,0.11475310,0.00000000,0.39886792,0.10524131
-4.94347174,0.91603642,0.07798330,0.28867560,0.11331947,0.00000000,0.38056862,0.10286642
-4.93746873,0.89522466,0.07788346,0.28004086,0.11255959,0.00000000,0.36454876,0.10060190
-4.93146573,0.87601537,0.07742507,0.27176376,0.11242863,0.00000000,0.35074710,0.09839778
-4.92546273,0.85805709,0.07658326,0.26375906,0.11287143,0.00000000,0.33905249,0.09620830
-4.91945973,0.84100909,0.07534698,0.25594287,0.11382506,0.00000000,0.32931356,0.09399336
-4.91345673,0.82455610,0.07371895,0.24823738,0.11522163,0.00000000,0.32134916,0.09171981
-4.90745373,0.80842121,0.07171511,0.24057492,0.11699105,0.00000000,0.31495914,0.08936234
-4.90145073,0.79237674,0.06936364,0.23290157,0.11906383,0.00000000,0.30993501,0.08690404
-4.89544772,0.77625280,0.06670357,0.22517990,0.12137371,0.00000000,0.30607026,0.08433666
-4.88944472,0.75994368,0.06378314,0.21739115,0.12386002,0.00000000,0.30316991,0.08166056
-4.88344172,0.74341199,0.06065796,0.20953680,0.12646979,0.00000000,0.30105924,0.07888448
-4.87743872,0.72669088,0.05738897,0.20163944,0.12915941,0.00000000,0.29959133,0.07602500
-4.87143572,0.70988434,0.05404050,0.19374325,0.13189589,0.00000000,0.29865339,0.07310599
-4.86543272,0.69316604,0.05067832,0.18591409,0.13465762,0.00000000,0.29817181,0.07015781
-4.85942971,0.67677679,0.04736783,0.17823919,0.13743465,0.00000000,0.29811583,0.06721662
-4.85342671,0.66102105,0.04417246,0.17082673,0.14022847,0.00000000,0.29849989,0.06432352
-4.84742371,0.64626251,0.04115235,0.16380508,0.14305135,0.00000000,0.29938467,0.06152386
-4.84142071,0.63291910,0.03836328,0.15732203,0.14592527,0.00000000,0.30087689,0.05886648
-4.83541771,0.62145748,0.03585583,0.15154377,0.14888055,0.00000000,0.30312794,0.05640304
-4.82941471,0.61238700,0.03367494,0.14665368,0.15195417,0.00000000,0.30633143,0.05418742
-4.82341171,0.60625323,0.03185964,0.14285089,0.15518796,0.00000000,0.31071972,0.05227515
-4.81740870,0.60363096,0.03044299,0.14034849,0.15862682,0.00000000,0.31655949,0.05072284
-4.81140570,0.60511647,0.02945228,0.13937126,0.16231678,0.00000000,0.32414645,0.04958757
-4.80540270,0.61131899,0.02890922,0.14015288,0.16630338,0.00000000,0.33379917,0.04892636
-4.79939970,0.62285106,0.02883032,0.14293245,0.17063005,0.00000000,0.34585203,0.04879539
-4.79339670,0.64031762,0.02922719,0.14795024,0.17533676,0.00000000,0.36064739,0.04924925
-4.78739370,0.66430362,0.03010685,0.15544261,0.18045894,0.00000000,0.37852685,0.05033998
-4.78139070,0.69536001,0.03147189,0.16563607,0.18602647,0.00000000,0.39982171,0.05211597
-4.77538769,0.73398801,0.03332059,0.17874050,0.19206296,0.00000000,0.42484258,0.05462065
