energy_ev,total_up,Ga_p_up,Ga_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-2.04402201,1.47849059,0.18447654,0.00000000,0.14306420,1.17064487,0.03987635,0.16641421
-2.03801901,1.50512235,0.18528621,0.00000000,0.14437029,1.20438525,0.03869659,0.16138707
-2.03201601,1.53285773,0.18616384,0.00000000,0.14607466,1.23931892,0.03743393,0.15629396
-2.02601301,1.56149086,0.18709252,0.00000000,0.14814325,1.27518341,0.03610856,0.15119218
-2.02001001,1.59086619,0.18806647,0.00000000,0.15055239,1.31173144,0.03474518,0.14616203
-2.01400700,1.62086279,0.18908870,0.00000000,0.15328660,1.34872136,0.03337207,0.14130295
-2.00800400,1.65137960,0.19016871,0.00000000,0.15633639,1.38590896,0.03202001,0.13672936
-2.00200100,1.68232280,0.19132034,0.00000000,0.15969617,1.42304168,0.03072126,0.13256629
-1.99599800,1.71359615,0.19255997,0.00000000,0.16336245,1.45985544,0.02950855,0.12894500
-1.98999500,1.74509480,0.19390515,0.00000000,0.16733237,1.49607471,0.02841409,0.12599878
-1.98399200,1.77670285,0.19537355,0.00000000,0.17160266,1.53141568,0.02746872,0.12385886
-1.97798899,1.80829435,0.19698250,0.00000000,0.17616893,1.56559225,0.02670111,0.12265068
-1.97198599,1.83973747,0.19874882,0.00000000,0.18102540,1.59832446,0.02613712,0.12249034
-1.96598299,1.87090090,0.20068896,0.00000000,0.18616492,1.62934855,0.02579924,0.12348149
-1.95997999,1.90166169,0.20281936,0.00000000,0.19157911,1.65842776,0.02570611,0.12571241
-1.95397699,1.93191331,0.20515685,0.00000000,0.19725873,1.68536301,0.02587223,0.12925337
-1.94797399,1.96157313,0.20771901,0.00000000,0.20319393,1.71000242,0.02630765,0.13415432
-1.94197099,1.99058809,0.21052429,0.00000000,0.20937443,1.73224891,0.02701778,0.14044274
-1.93596798,2.01893795,0.21359187,0.00000000,0.21578944,1.75206505,0.02800327,0.14812179
-1.92996498,2.04663542,0.21694112,0.00000000,0.22242741,1.76947474,0.02925994,0.15716878
-1.92396198,2.07372303,0.22059067,0.00000000,0.22927529,1.78456144,0.03077868,0.16753389
-1.91795898,2.10026666,0.22455706,0.00000000,0.23631767,1.79746296,0.03254555,0.17913936
-1.91195598,2.12634624,0.22885301,0.00000000,0.24353548,1.80836307,0.03454177,0.19187913
-1.90595298,2.15204400,0.23348542,0.00000000,0.25090461,1.81748055,0.03674389,0.20561905
-1.89994997,2.17743144,0.23845323,0.00000000,0.25839433,1.82505623,0.03912394,0.22019777
-1.89394697,2.20255579,0.24374516,0.00000000,0.26596583,1.83133912,0.04164974,0.23542832
-1.88794397,2.22742710,0.24933771,0.00000000,0.27357080,1.83657239,0.04428525,0.25110050
-1.88194097,2.25200717,0.25519334,0.00000000,0.28115043,1.84098011,0.04699102,0.26698412
-1.87593797,2.27620095,0.26125914,0.00000000,0.28863471,1.84475585,0.04972482,0.28283297
-1.86993497,2.29985161,0.26746612,0.00000000,0.29594236,1.84805356,0.05244228,0.29838964
-1.86393197,2.32273933,0.27372911,0.00000000,0.30298125,1.85098143,0.05509770,0.31339087
-1.85792896,2.34458440,0.27994747,0.00000000,0.30964962,1.85359894,0.05764493,0.32757352
-1.85192596,2.36505443,0.28600658,0.00000000,0.31583781,1.85591723,0.06003834,0.34068082
-1.84592296,2.38377515,0.29178008,0.00000000,0.32143065,1.85790245,0.06223381,0.35246873
-1.83991996,2.40034440,0.29713287,0.00000000,0.32631044,1.85948178,0.06418972,0.36271224
-1.83391696,2.41434826,0.30192466,0.00000000,0.33036028,1.86055146,0.06586799,0.37121128
-1.82791396,2.42537829,0.30601405,0.00000000,0.33346768,1.86098609,0.06723497,0.37779602
-1.82191096,2.43304892,0.30926291,0.00000000,0.33552834,1.86064845,0.06826233,0.38233149
-1.81590795,2.43701376,0.31154085,0.00000000,0.33644982,1.85939892,0.06892775,0.38472106
-1.80990495,2.43697982,0.31272969,0.00000000,0.33615498,1.85710391,0.06921550,0.38490892
-1.80390195,2.43271889,0.31272760,0.00000000,0.33458507,1.85364248,0.06911681,0.38288130
-1.79789895,2.42407529,0.31145287,0.00000000,0.33170219,1.84891098,0.06863007,0.37866641
-1.79189595,2.41096982,0.30884701,0.00000000,0.32749119,1.84282508,0.06776083,0.37233319
-1.78589295,2.39339953,0.30487714,0.00000000,0.32196076,1.83531953,0.06652156,0.36398886
-1.77988994,2.37143374,0.29953757,0.00000000,0.31514371,1.82634560,0.06493127,0.35377541
-1.77388694,2.34520664,0.29285040,0.00000000,0.30709651,1.81586657,0.06301493,0.34186523
-1.76788394,2.31490714,0.28486531,0.00000000,0.29789803,1.80385205,0.06080271,0.32845603
-1.76188094,2.28076686,0.27565830,0.00000000,0.28764751,1.79027150,0.05832915,0.31376525
-1.75587794,2.24304721,0.26532975,0.00000000,0.27646205,1.77508792,0.05563224,0.29802426
-1.74987494,2.20202650,0.25400158,0.00000000,0.26447340,1.75825235,0.05275237,0.28147250
-1.74387194,2.15798813,0.24181390,0.00000000,0.25182462,1.73969991,0.04973139,0.26435174
-1.73786893,2.11121068,0.22892113,0.00000000,0.23866634,1.71934791,0.04661158,0.24690079
-1.73186593,2.06196058,0.21548781,0.00000000,0.22515306,1.69709652,0.04343470,0.22935066
-1.72586293,2.01048785,0.20168431,0.00000000,0.21143948,1.67283222,0.04024121,0.21192041
-1.71985993,1.95702527,0.18768254,0.00000000,0.19767710,1.64643396,0.03706944,0.19481371
-1.71385693,1.90179072,0.17365185,0.00000000,0.18401108,1.61778190,0.03395504,0.17821623
-1.70785393,1.84499270,0.15975532,0.00000000,0.17057760,1.58676830,0.03093043,0.16229380
-1.70185093,1.78683838,0.14614651,0.00000000,0.15750163,1.55330985,0.02802453,0.14719143
-1.69584792,1.72754342,0.13296669,0.00000000,0.14489532,1.51736080,0.02526255,0.13303304
-1.68984492,1.66734300,0.12034281,0.00000000,0.13285689,1.47892600,0.02266591,0.11992184
-1.68384192,1.60650281,0.10838608,0.00000000,0.12147010,1.43807291,0.02025238,0.10794137
-1.67783892,1.54532935,0.09719121,0.00000000,0.11080420,1.39494185,0.01803624,0.09715696
-1.67183592,1.48417851,0.08683630,0.00000000,0.10091435,1.34975360,0.01602860,0.08761752
-1.66583292,1.42346171,0.07738333,0.00000000,0.09184253,1.30281380,0.01423779,0.07935765
-1.65982991,1.36364904,0.06887908,0.00000000,0.08361866,1.25451373,0.01266977,0.07239976
-1.65382691,1.30526891,0.06135661,0.00000000,0.07626208,1.20532718,0.01132864,0.06675626
-1.64782391,1.24890409,0.05483687,0.00000000,0.06978317,1.15580347,0.01021710,0.06243157
-1.64182091,1.19518412,0.04933068,0.00000000,0.06418509,1.10655680,0.00933689,0.05942398
-1.63581791,1.14477445,0.04484071,0.00000000,0.05946557,1.05825235,0.00868927,0.05772721
-1.62981491,1.09836257,0.04136351,0.00000000,0.05561868,1.01158973,0.00827535,0.05733158
