energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up
-5.26763382,1.69097904,0.08279918,0.11188199,0.68479131,0.17930827,1.06584976,0.00000000,0.03344700,0.84254815
-5.26163082,1.71597829,0.08185556,0.11489345,0.70012974,0.17894306,1.09637696,0.00000000,0.03316276,0.85834360
-5.25562781,1.73404699,0.08040315,0.11755447,0.71295049,0.17771200,1.12266100,0.00000000,0.03274831,0.87085234
-5.24962481,1.74516245,0.07847427,0.11984844,0.72316023,0.17567547,1.14436459,0.00000000,0.03222283,0.87998314
-5.24362181,1.74939556,0.07611046,0.12176300,0.73069732,0.17290849,1.16120306,0.00000000,0.03160754,0.88568363
-5.23761881,1.74690646,0.07336106,0.12329030,0.73553273,0.16949825,1.17295190,0.00000000,0.03092501,0.88794078
-5.23161581,1.73793887,0.07028166,0.12442718,0.73767061,0.16554130,1.17945342,0.00000000,0.03019845,0.88678103
-5.22561281,1.72281325,0.06693227,0.12517529,0.73714848,0.16114046,1.18062239,0.00000000,0.02945097,0.88227022
-5.21960980,1.70191893,0.06337552,0.12554109,0.73403674,0.15640167,1.17645025,0.00000000,0.02870486,0.87451294
-5.21360680,1.67570517,0.05967479,0.12553576,0.72843764,0.15143090,1.16700752,0.00000000,0.02798095,0.86365146
-5.20760380,1.64467137,0.05589243,0.12517497,0.72048346,0.14633104,1.15244426,0.00000000,0.02729800,0.84986396
-5.20160080,1.60935637,0.05208810,0.12447843,0.71033394,0.14119917,1.13298832,0.00000000,0.02667218,0.83336200
-5.19559780,1.57032720,0.04831730,0.12346941,0.69817284,0.13612399,1.10894117,0.00000000,0.02611666,0.81438720
-5.18959480,1.52816718,0.04463012,0.12217399,0.68420377,0.13118372,1.08067162,0.00000000,0.02564131,0.79320708
-5.18359180,1.48346383,0.04107030,0.12062028,0.66864539,0.12644440,1.04860721,0.00000000,0.02525248,0.77011012
-5.17758879,1.43679685,0.03767449,0.11883751,0.65172597,0.12195869,1.01322380,0.00000000,0.02495292,0.74540016
-5.17158579,1.38872651,0.03447190,0.11685507,0.63367774,0.11776516,0.97503371,0.00000000,0.02474188,0.71939029
-5.16558279,1.33978286,0.03148410,0.11470156,0.61473117,0.11388815,0.93457275,0.00000000,0.02461522,0.69239649
-5.15957979,1.29045634,0.02872526,0.11240396,0.59510937,0.11033804,0.89238681,0.00000000,0.02456572,0.66473132
-5.15357679,1.24118994,0.02620244,0.10998680,0.57502311,0.10711214,0.84901861,0.00000000,0.02458346,0.63669780
-5.14757379,1.19237361,0.02391620,0.10747159,0.55466646,0.10419592,0.80499510,0.00000000,0.02465631,0.60858408
-5.14157079,1.14434089,0.02186135,0.10487646,0.53421358,0.10156466,0.76081606,0.00000000,0.02477046,0.58065876
-5.13556778,1.09736816,0.02002778,0.10221594,0.51381649,0.09918545,0.71694446,0.00000000,0.02491106,0.55316743
-5.12956478,1.05167644,0.01840141,0.09950110,0.49360418,0.09701935,0.67379879,0.00000000,0.02506287,0.52633039
-5.12356178,1.00743560,0.01696513,0.09673987,0.47368298,0.09502377,0.63174767,0.00000000,0.02521090,0.50034158
-5.11755878,0.96477070,0.01569974,0.09393758,0.45413807,0.09315479,0.59110687,0.00000000,0.02534104,0.47536887
-5.11155578,0.92377002,0.01458492,0.09109765,0.43503602,0.09136956,0.55213849,0.00000000,0.02544073,0.45155533
-5.10555278,0.88449433,0.01359997,0.08822248,0.41642814,0.08962840,0.51505242,0.00000000,0.02549943,0.42902154
-5.09954977,0.84698654,0.01272465,0.08531432,0.39835432,0.08789671,0.48000948,0.00000000,0.02550909,0.40786849
-5.09354677,0.81128128,0.01193973,0.08237616,0.38084706,0.08614657,0.44712608,0.00000000,0.02546447,0.38818090
-5.08754377,0.77741364,0.01122753,0.07941253,0.36393542,0.08435790,0.41647993,0.00000000,0.02536336,0.37003047
-5.08154077,0.74542646,0.01057231,0.07643018,0.34764847,0.08251921,0.38811623,0.00000000,0.02520660,0.35347893
-5.07553777,0.71537571,0.00996048,0.07343853,0.33201808,0.08062787,0.36205412,0.00000000,0.02499803,0.33858054
-5.06953477,0.68733363,0.00938079,0.07044992,0.31708087,0.07868987,0.33829283,0.00000000,0.02474424,0.32538378
-5.06353177,0.66138937,0.00882429,0.06747962,0.30287902,0.07671926,0.31681735,0.00000000,0.02445419,0.31393218
-5.05752876,0.63764725,0.00828430,0.06454553,0.28946012,0.07473705,0.29760324,0.00000000,0.02413873,0.30426417
-5.05152576,0.61622271,0.00775625,0.06166773,0.27687595,0.07276988,0.28062068,0.00000000,0.02381006,0.29641206
-5.04552276,0.59723647,0.00723746,0.05886771,0.26518035,0.07084839,0.26583745,0.00000000,0.02348101,0.29040021
-5.03951976,0.58080726,0.00672686,0.05616758,0.25442642,0.06900545,0.25322109,0.00000000,0.02316444,0.28624270
-5.03351676,0.56704383,0.00622478,0.05358909,0.24466322,0.06727438,0.24274036,0.00000000,0.02287252,0.28394068
