energy_ev,total_up,As_p_up,As_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-5.18359180,2.56087356,0.34572119,0.00000000,1.04970361,1.09154401,0.02021599,1.69673195
-5.17758879,2.65950043,0.35702811,0.00000000,1.08931198,1.14589495,0.02061921,1.76766580
-5.17158579,2.75867578,0.36803286,0.00000000,1.13084059,1.20035891,0.02105204,1.83944112
-5.16558279,2.85703493,0.37863324,0.00000000,1.17372892,1.25415311,0.02150667,1.91100420
-5.15957979,2.95316931,0.38872478,0.00000000,1.21737385,1.30647761,0.02197560,1.98125998
-5.15357679,3.04565978,0.39820333,0.00000000,1.26114227,1.35653469,0.02245175,2.04909768
-5.14757379,3.13311099,0.40696761,0.00000000,1.30438443,1.40354872,0.02292865,2.11341780
-5.14157079,3.21418578,0.41492164,0.00000000,1.34644785,1.44678607,0.02340047,2.17315967
-5.13556778,3.28763858,0.42197690,0.00000000,1.38669130,1.48557430,0.02386216,2.22732874
-5.12956478,3.35234664,0.42805421,0.00000000,1.42449848,1.51932009,0.02430943,2.27502284
-5.12356178,3.40733833,0.43308517,0.00000000,1.45929120,1.54752526,0.02473875,2.31545629
-5.11755878,3.45181722,0.43701322,0.00000000,1.49054147,1.56980034,0.02514738,2.34798135
-5.11155578,3.48518158,0.43979425,0.00000000,1.51778246,1.58587514,0.02553324,2.37210592
-5.10555278,3.50703825,0.44139682,0.00000000,1.54061786,1.59560594,0.02589494,2.38750691
-5.09954977,3.51721072,0.44180215,0.00000000,1.55872945,1.59897906,0.02623163,2.39403881
-5.09354677,3.51574107,0.44100369,0.00000000,1.57188281,1.59611046,0.02654300,2.39173687
-5.08754377,3.50288565,0.43900668,0.00000000,1.57993081,1.58724151,0.02682910,2.38081486
-5.08154077,3.47910477,0.43582760,0.00000000,1.58281511,1.57273088,0.02709035,2.36165732
-5.07553777,3.44504673,0.43149357,0.00000000,1.58056534,1.55304292,0.02732737,2.33480643
-5.06953477,3.40152666,0.42604188,0.00000000,1.57329625,1.52873275,0.02754093,2.30094405
-5.06353177,3.34950098,0.41951965,0.00000000,1.56120273,1.50042867,0.02773186,2.26086944
-5.05752876,3.29003834,0.41198350,0.00000000,1.54455305,1.46881244,0.02790095,2.21547344
-5.05152576,3.22428785,0.40349947,0.00000000,1.52368026,1.43459812,0.02804883,2.16571002
-5.04552276,3.15344584,0.39414292,0.00000000,1.49897221,1.39851019,0.02817591,2.11256626
-5.03951976,3.07872202,0.38399843,0.00000000,1.47086036,1.36126179,0.02828229,2.05703188
-5.03351676,3.00130630,0.37315961,0.00000000,1.43980770,1.32353371,0.02836763,2.00006928
-5.02751376,2.92233716,0.36172880,0.00000000,1.40629614,1.28595506,0.02843113,1.94258542
-5.02151076,2.84287268,0.34981639,0.00000000,1.37081380,1.24908609,0.02847141,1.88540637
-5.01550775,2.76386499,0.33753989,0.00000000,1.33384243,1.21340389,0.02848653,1.82925545
-5.00950475,2.68613906,0.32502258,0.00000000,1.29584549,1.17929143,0.02847391,1.77473583
-5.00350175,2.61037630,0.31239168,0.00000000,1.25725719,1.14703018,0.02843039,1.72231810
-4.99749875,2.53710344,0.29977620,0.00000000,1.21847286,1.11679660,0.02835224,1.67233301
-4.99149575,2.46668705,0.28730428,0.00000000,1.17984092,1.08866254,0.02823526,1.62496990
-4.98549275,2.39933362,0.27510034,0.00000000,1.14165677,1.06259943,0.02807491,1.58028028
-4.97948974,2.33509516,0.26328198,0.00000000,1.10415875,1.03848590,0.02786647,1.53818668
-4.97348674,2.27387996,0.25195683,0.00000000,1.06752626,1.01611867,0.02760519,1.49849594
-4.96748374,2.21546794,0.24121945,0.00000000,1.03188015,0.99522594,0.02728655,1.46091650
-4.96148074,2.15953009,0.23114856,0.00000000,0.99728529,0.97548290,0.02690646,1.42507873
-4.95547774,2.10565098,0.22180463,0.00000000,0.96375510,0.95652857,0.02646151,1.39055748
-4.94947474,2.05335356,0.21322798,0.00000000,0.93125799,0.93798330,0.02594917,1.35689578
-4.94347174,2.00212532,0.20543766,0.00000000,0.89972522,0.91946628,0.02536805,1.32362877
-4.93746873,1.95144466,0.19843101,0.00000000,0.86906003,0.90061233,0.02471801,1.29030693
-4.93146573,1.90080669,0.19218403,0.00000000,0.83914748,0.88108737,0.02400035,1.25651758
-4.92546273,1.84974738,0.18665266,0.00000000,0.80986462,0.86060213,0.02321785,1.22190407
-4.91945973,1.79786533,0.18177477,0.00000000,0.78109071,0.83892343,0.02237484,1.18618187
-4.91345673,1.74484047,0.17747290,0.00000000,0.75271684,0.81588301,0.02147714,1.14915115
-4.90745373,1.69044901,0.17365765,0.00000000,0.72465480,0.79138351,0.02053199,1.11070557
-4.90145073,1.63457446,0.17023142,0.00000000,0.69684476,0.76540159,0.01954787,1.07083713
-4.89544772,1.57721435,0.16709260,0.00000000,0.66926155,0.73798825,0.01853435,1.02963706
-4.88944472,1.51848262,0.16413976,0.00000000,0.64191931,0.70926654,0.01750184,0.98729313
-4.88344172,1.45860789,0.16127581,0.00000000,0.61487447,0.67942679,0.01646129,0.94408347
-4.87743872,1.39792779,0.15841189,0.00000000,0.58822690,0.64871992,0.01542396,0.90036762
-4.87143572,1.33687972,0.15547088,0.00000000,0.56211943,0.61744897,0.01440109,0.85657509
-4.86543272,1.27598869,0.15239030,0.00000000,0.53673569,0.58595943,0.01340362,0.81319215
-4.85942971,1.21585258,0.14912452,0.00000000,0.51229651,0.55462879,0.01244194,0.77074746
-4.85342671,1.15712560,0.14564630,0.00000000,0.48905507,0.52385567,0.01152564,0.72979699
-4.84742371,1.10050053,0.14194739,0.00000000,0.46729102,0.49404896,0.01066328,0.69090892
-4.84142071,1.04669033,0.13803849,0.00000000,0.44730380,0.46561733,0.00986225,0.65464897
-4.83541771,0.99640978,0.13394830,0.00000000,0.42940549,0.43895944,0.00912864,0.62156651
-4.82941471,0.95035770,0.12972200,0.00000000,0.41391343,0.41445496,0.00846715,0.59218199
-4.82341171,0.90920013,0.12541900,0.00000000,0.40114276,0.39245678,0.00788107,0.56697570
-4.81740870,0.87355511,0.12111038,0.00000000,0.39139927,0.37328431,0.00737228,0.54637831
-4.81140570,0.84397916,0.11687582,0.00000000,0.38497262,0.35721808,0.00694132,0.53076309
-4.80540270,0.82095592,0.11280047,0.00000000,0.38213017,0.34449552,0.00658746,0.52043994
-4.79939970,0.80488706,0.10897166,0.00000000,0.38311158,0.33530799,0.00630882,0.51565122
-4.79339670,0.79608545,0.10547579,0.00000000,0.38812412,0.32979893,0.00610251,0.51656927
-4.78739370,0.79477082,0.10239532,0.00000000,0.39733899,0.32806291,0.00596480,0.52329551
-4.78139070,0.80106774,0.09980613,0.00000000,0.41088844,0.33014575,0.00589127,0.53586097
-4.77538769,0.81500573,0.09777527,0.00000000,0.42886389,0.33604530,0.00587702,0.55422818
-4.76938469,0.83652157,0.09635906,0.00000000,0.45131485,0.34571294,0.00591681,0.57829413
-4.76338169,0.86546333,0.09560175,0.00000000,0.47824866,0.35905564,0.00600524,0.60789424
-4.75737869,0.90159605,0.09553466,0.00000000,0.50963104,0.37593850,0.00613694,0.64280707
-4.75137569,0.94460882,0.09617570,0.00000000,0.54538718,0.39618771,0.00630666,0.68275977
-4.74537269,0.99412279,0.09752945,0.00000000,0.58540343,0.41959387,0.00650943,0.72743393
-4.73936968,1.04970008,0.09958755,0.00000000,0.62952947,0.44591558,0.00674065,0.77647186
-4.73336668,1.11085304,0.10232948,0.00000000,0.67758064,0.47488337,0.00699616,0.82948306
-4.72736368,1.17705386,0.10572367,0.00000000,0.72934066,0.50620387,0.00727231,0.88605078
-4.72136068,1.24774403,0.10972871,0.00000000,0.78456428,0.53956415,0.00756595,0.94573860
-4.71535768,1.32234352,0.11429490,0.00000000,0.84298001,0.57463633,0.00787445,1.00809673
-4.70935468,1.40025950,0.11936581,0.00000000,0.90429272,0.61108229,0.00819565,1.07266820
-4.70335168,1.48089421,0.12487986,0.00000000,0.96818595,0.64855845,0.00852783,1.13899445
-4.69734867,1.56365211,0.13077199,0.00000000,1.03432413,0.68672058,0.00886964,1.20662053
-4.69134567,1.64794576,0.13697523,0.00000000,1.10235427,0.72522846,0.00921997,1.27509953
-4.68534267,1.73320074,0.14342214,0.00000000,1.17190740,0.76375040,0.00957793,1.34399628
-4.67933967,1.81885915,0.15004620,0.00000000,1.24259965,0.80196735,0.00994265,1.41289015
-4.67333667,1.90438194,0.15678297,0.00000000,1.31403293,0.83957658,0.01031328,1.48137692
-4.66733367,1.98924988,0.16357104,0.00000000,1.38579534,0.87629478,0.01068880,1.54906966
-4.66133067,2.07296335,0.17035287,0.00000000,1.45746138,0.91186051,0.01106799,1.61559861
-4.65532766,2.15504113,0.17707526,0.00000000,1.52859214,0.94603585,0.01144930,1.68061027
-4.64932466,2.23501821,0.18368976,0.00000000,1.59873548,0.97860730,0.01183085,1.74376561
-4.64332166,2.31244320,0.19015274,0.00000000,1.66742664,1.00938596,0.01221034,1.80473781
-4.63731866,2.38687531,0.19642530,0.00000000,1.73418927,1.03820693,0.01258504,1.86320965
-4.63131566,2.45788165,0.20247305,0.00000000,1.79853729,1.06492819,0.01295180,1.91887096
-4.62531266,2.52503506,0.20826569,0.00000000,1.85997771,1.08942904,0.01330711,1.97141640
-4.61930965,2.58791291,0.21377652,0.00000000,1.91801465,1.11160825,0.01364710,2.02054400
-4.61330665,2.64609746,0.21898195,0.00000000,1.97215473,1.13138220,0.01396766,2.06595475
-4.60730365,2.69917786,0.22386093,0.00000000,2.02191392,1.14868330,0.01426451,2.10735363
-4.60130065,2.74675430,0.22839446,0.00000000,2.06682589,1.16345865,0.01453335,2.14445229
-4.59529765,2.78844433,0.23256526,0.00000000,2.10645173,1.17566939,0.01476999,2.17697341
-4.58929465,2.82389131,0.23635747,0.00000000,2.14039085,1.18529069,0.01497048,2.20465703
