energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
-4.28914457,1.56549741,0.00045510,0.50554485,0.29303034,0.00000000,0.93290491,0.42023467,0.51175699,0.00283963
-4.28314157,1.61603393,0.00049451,0.52256529,0.30054162,0.00000000,0.94787857,0.43412699,0.52908698,0.00292242
-4.27713857,1.66612391,0.00053462,0.53932117,0.30768349,0.00000000,0.96246588,0.44760013,0.54744290,0.00300385
-4.27113557,1.71549193,0.00057497,0.55571524,0.31445323,0.00000000,0.97657738,0.46060985,0.56671986,0.00308325
-4.26513257,1.76384501,0.00061501,0.57164408,0.32086480,0.00000000,0.99009155,0.47312220,0.58677846,0.00315989
-4.25912956,1.81087836,0.00065422,0.58700090,0.32694730,0.00000000,1.00285881,0.48511450,0.60744626,0.00323299
-4.25312656,1.85628311,0.00069200,0.60167899,0.33274325,0.00000000,1.01470787,0.49657609,0.62852100,0.00330174
-4.24712356,1.89975606,0.00072780,0.61557580,0.33830670,0.00000000,1.02545420,0.50750910,0.64977556,0.00336529
-4.24112056,1.94101087,0.00076105,0.62859717,0.34370130,0.00000000,1.03491017,0.51792891,0.67096450,0.00342282
-4.23511756,1.97979030,0.00079123,0.64066192,0.34899853,0.00000000,1.04289649,0.52786453,0.69183190,0.00347351
-4.22911456,2.01587891,0.00081786,0.65170613,0.35427598,0.00000000,1.04925420,0.53735859,0.71212022,0.00351661
-4.22311156,2.04911544,0.00084053,0.66168724,0.35961596,0.00000000,1.05385684,0.54646701,0.73157985,0.00355146
-4.21710855,2.07940437,0.00085893,0.67058749,0.36510420,0.00000000,1.05662201,0.55525827,0.74997875,0.00357751
-4.21110555,2.10672564,0.00087283,0.67841665,0.37082880,0.00000000,1.05752170,0.56381223,0.76711185,0.00359437
-4.20510255,2.13114221,0.00088212,0.68521373,0.37687933,0.00000000,1.05659086,0.57221850,0.78280975,0.00360183
-4.19909955,2.15280453,0.00088679,0.69104763,0.38334593,0.00000000,1.05393367,0.58057430,0.79694615,0.00359986
-4.19309655,2.17195162,0.00088696,0.69601656,0.39031836,0.00000000,1.04972705,0.58898188,0.80944368,0.00358869
-4.18709355,2.18890840,0.00088287,0.70024622,0.39788495,0.00000000,1.04422113,0.59754556,0.82027778,0.00356872
-4.18109055,2.20407900,0.00087487,0.70388680,0.40613119,0.00000000,1.03773650,0.60636840,0.82947831,0.00354061
-4.17508754,2.21793613,0.00086342,0.70710877,0.41513800,0.00000000,1.03065811,0.61554862,0.83712871,0.00350524
-4.16908454,2.23100665,0.00084906,0.71009773,0.42497955,0.00000000,1.02342599,0.62517591,0.84336274,0.00346365
