energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
4.76338169,3.06840328,-3.59119365,0.14895191,-0.16945645,0.80021532,-0.94366850,1.74064855,-2.18905228,0.50333220,-0.64799661,0.30127532,-0.54704192,0.00756886,-0.00791906,0.66799587,-0.69732822,0.00000000,-0.00000000
4.76938469,2.95221623,-3.53401553,0.14029965,-0.16204979,0.77596487,-0.94029227,1.67983324,-2.16964231,0.48708264,-0.64323506,0.28321954,-0.51596067,0.00729999,-0.00781595,0.64551399,-0.68746099,0.00000000,-0.00000000
4.77538769,2.82638019,-3.46816417,0.13122930,-0.15387442,0.74972592,-0.93588316,1.61477263,-2.14675089,0.46962024,-0.63775387,0.26533375,-0.48658502,0.00699665,-0.00767745,0.62057824,-0.67611177,0.00000000,-0.00000000
4.78139070,2.69226253,-3.39385674,0.12190052,-0.14508563,0.72158641,-0.93033938,1.54584436,-2.12015209,0.45101217,-0.63146009,0.24761806,-0.45861695,0.00666371,-0.00750480,0.59348304,-0.66327463,0.00000000,-0.00000000
4.78739370,2.55138064,-3.31146867,0.11246937,-0.13584431,0.69167633,-0.92355325,1.47351755,-2.08967479,0.43135366,-0.62426860,0.23010718,-0.43179725,0.00630649,-0.00729992,0.56456463,-0.64897822,0.00000000,-0.00000000
4.79339670,2.40535984,-3.22151981,0.10308465,-0.12631234,0.66016668,-0.91541461,1.39834269,-2.05520811,0.41076629,-0.61610439,0.21286309,-0.40591211,0.00593063,-0.00706541,0.53419127,-0.63328285,0.00000000,-0.00000000
4.79939970,2.25589091,-3.12465555,0.09388485,-0.11664835,0.62726685,-0.90581428,1.32093938,-2.01670391,0.38939550,-0.60690426,0.19596777,-0.38079651,0.00554189,-0.00680439,0.50275327,-0.61627659,0.00000000,-0.00000000
4.80540270,2.10468849,-3.02162454,0.08499576,-0.10700386,0.59322064,-0.89464760,1.24198237,-1.97417687,0.36740736,-0.59661799,0.17951617,-0.35633471,0.00514599,-0.00652044,0.47065315,-0.59807066,0.00000000,-0.00000000
4.81140570,1.95345179,-2.91325448,0.07652883,-0.09752005,0.55830091,-0.88181791,1.16218614,-1.92770275,0.34498464,-0.58520927,0.16360985,-0.33245807,0.00474847,-0.00621749,0.43829625,-0.57879460,0.00000000,-0.00000000
4.81740870,1.80382876,-2.80042763,0.06858017,-0.08832515,0.52280303,-0.86724026,1.08228873,-1.87741513,0.32232240,-0.57265627,0.14835138,-0.30914081,0.00435457,-0.00589965,0.40608210,-0.55859148,0.00000000,-0.00000000
4.82341171,1.65738459,-2.68405748,0.06123032,-0.07953257,0.48703750,-0.85084503,1.00303534,-1.82350144,0.29962322,-0.55895214,0.13383975,-0.28639419,0.00396911,-0.00557115,0.37439682,-0.53761352,0.00000000,-0.00000000
4.82941471,1.51557529,-2.56506777,0.05454452,-0.07123974,0.45132197,-0.83258174,0.92516208,-1.76619865,0.27709226,-0.54410540,0.12016676,-0.26425961,0.00359640,-0.00523618,0.34360664,-0.51601834,0.00000000,-0.00000000
4.83541771,1.37972665,-2.44437461,0.04857357,-0.06352769,0.41597296,-0.81242265,0.84938076,-1.70578903,0.25493236,-0.52814042,0.10741456,-0.24280119,0.00324018,-0.00489882,0.31405276,-0.49396599,0.00000000,-0.00000000
4.84142071,1.25101890,-2.32287250,0.04335507,-0.05646121,0.38129778,-0.79036626,0.77636483,-1.64259620,0.23333936,-0.51109776,0.09565422,-0.22209835,0.00290360,-0.00456293,0.28604742,-0.47161680,0.00000000,-0.00000000
4.84742371,1.13047678,-2.20142409,0.03891489,-0.05008963,0.34758683,-0.76644040,0.70673721,-1.57698164,0.21249783,-0.49303460,0.08494527,-0.20223873,0.00258919,-0.00423207,0.25987136,-0.44913015,0.00000000,-0.00000000
4.85342671,1.01896489,-2.08085381,0.03526878,-0.04444793,0.31510672,-0.74070473,0.64106013,-1.50934163,0.19257735,-0.47402508,0.07533616,-0.18331184,0.00229889,-0.00390947,0.23577239,-0.42666398,0.00000000,-0.00000000
4.85942971,0.91718760,-1.96194478,0.03242407,-0.03955831,0.28409439,-0.71325249,0.57982735,-1.44010433,0.17372943,-0.45416039,0.06686548,-0.16540372,0.00203403,-0.00359796,0.21396508,-0.40437491,0.00000000,-0.00000000
4.86543272,0.82569299,-1.84543834,0.03038116,-0.03543186,0.25475246,-0.68421129,0.52345864,-1.36972694,0.15608522,-0.43354869,0.05956378,-0.14859269,0.00179541,-0.00329997,0.19463122,-0.38241886,0.00000000,-0.00000000
4.87143572,0.74487987,-1.73203547,0.02913490,-0.03207032,0.22724598,-0.65374272,0.47229676,-1.29869259,0.13975392,-0.41231463,0.05345581,-0.13294639,0.00158334,-0.00301750,0.17792094,-0.36095190,0.00000000,-0.00000000
4.87743872,0.67500713,-1.62239917,0.02867568,-0.02946785,0.20170049,-0.62204079,0.42660645,-1.22750658,0.12482204,-0.39059838,0.04856308,-0.11852001,0.00139769,-0.00275217,0.16395428,-0.34013115,0.00000000,-0.00000000
4.88344172,0.61620444,-1.51715705,0.02899015,-0.02761264,0.17820157,-0.58932903,0.38657554,-1.15669187,0.11135324,-0.36855423,0.04490650,-0.10535567,0.00123796,-0.00250517,0.15282280,-0.32011551,0.00000000,-0.00000000
