energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-0.25512756,2.31232463,0.00504711,0.54011191,1.49960329,0.46742521,0.19552370,0.00000000,0.84891259,0.93679913
-0.24912456,2.36146660,0.00589421,0.54796832,1.52665476,0.47313998,0.20223336,0.00000000,0.87034564,0.96019881
-0.24312156,2.40364832,0.00684018,0.55465369,1.54937491,0.47755558,0.20887093,0.00000000,0.88825888,0.97983560
-0.23711856,2.43882473,0.00788837,0.56018028,1.56788362,0.48065739,0.21543436,0.00000000,0.90257544,0.99573982
-0.23111556,2.46713812,0.00904091,0.56458989,1.58240985,0.48246134,0.22192362,0.00000000,0.91330896,1.00805241
-0.22511256,2.48891913,0.01029851,0.56795433,1.59328945,0.48301499,0.22833986,0.00000000,0.92056553,1.01702316
-0.21910955,2.50468160,0.01166032,0.57037492,1.60095971,0.48239756,0.23468450,0.00000000,0.92454269,1.02300510
-0.21310655,2.51511142,0.01312391,0.57198119,1.60595050,0.48071911,0.24095840,0.00000000,0.92552527,1.02644526
-0.20710355,2.52104961,0.01468514,0.57292870,1.60887223,0.47811859,0.24716102,0.00000000,0.92387830,1.02787202
-0.20110055,2.52346993,0.01633828,0.57339600,1.61040090,0.47476094,0.25328980,0.00000000,0.92003706,1.02787948
-0.19509755,2.52345197,0.01807601,0.57358068,1.61126066,0.47083317,0.25933972,0.00000000,0.91449468,1.02710928
-0.18909455,2.52215034,0.01988964,0.57369483,1.61220434,0.46653972,0.26530305,0.00000000,0.90778765,1.02623070
-0.18309155,2.52076124,0.02176926,0.57395975,1.61399263,0.46209708,0.27116938,0.00000000,0.90047981,1.02591946
-0.17708854,2.52048728,0.02370398,0.57460022,1.61737246,0.45772783,0.27692583,0.00000000,0.89314536,1.02683632
-0.17108554,2.52250202,0.02568227,0.57583844,1.62305547,0.45365449,0.28255756,0.00000000,0.88635147,1.02960594
-0.16508254,2.52791513,0.02769221,0.57788779,1.63169701,0.45009319,0.28804839,0.00000000,0.88064112,1.03479687
-0.15907954,2.53773948,0.02972186,0.58094663,1.64387669,0.44724746,0.29338156,0.00000000,0.87651673,1.04290347
-0.15307654,2.55286113,0.03175950,0.58519228,1.66008080,0.44530238,0.29854058,0.00000000,0.87442523,1.05433014
-0.14707354,2.57401311,0.03379400,0.59077543,1.68068740,0.44441921,0.30351000,0.00000000,0.87474485,1.06937865
-0.14107054,2.60175379,0.03581499,0.59781510,1.70595452,0.44473068,0.30827614,0.00000000,0.87777423,1.08823874
-0.13506753,2.63645040,0.03781311,0.60639429,1.73601174,0.44633724,0.31282764,0.00000000,0.88372408,1.11098245
-0.12906453,2.67826804,0.03978009,0.61655659,1.77085561,0.44930406,0.31715581,0.00000000,0.89271160,1.13756228
-0.12306153,2.72716460,0.04170882,0.62830372,1.81034883,0.45365922,0.32125469,0.00000000,0.90475790,1.16781308
-0.11705853,2.78289132,0.04359338,0.64159414,1.85422347,0.45939283,0.32512088,0.00000000,0.91978827,1.20145769
-0.11105553,2.84499921,0.04542888,0.65634288,1.90208780,0.46645728,0.32875311,0.00000000,0.93763545,1.23811603
-0.10505253,2.91285073,0.04721138,0.67242244,1.95343676,0.47476849,0.33215160,0.00000000,0.95804557,1.27731724
-0.09904952,2.98563651,0.04893766,0.68966494,2.00766554,0.48420808,0.33531716,0.00000000,0.98068663,1.31851432
-0.09304652,3.06239636,0.05060503,0.70786532,2.06408588,0.49462649,0.33825029,0.00000000,1.00515926,1.36110097
-0.08704352,3.14204414,0.05221101,0.72678559,2.12194443,0.50584680,0.34095021,0.00000000,1.03100928,1.40442965
-0.08104052,3.22339544,0.05375316,0.74616000,2.18044269,0.51766922,0.34341393,0.00000000,1.05774171,1.44783058
-0.07503752,3.30519746,0.05522879,0.76570102,2.23875766,0.52987597,0.34563554,0.00000000,1.08483585,1.49063068
-0.06903452,3.38616019,0.05663479,0.78510583,2.29606260,0.54223661,0.34760568,0.00000000,1.11176083,1.53217207
