energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-3.31065533,0.90899514,0.49146401,0.00113188,0.00020394,0.05560390,0.14739601,0.41514520
-3.30465233,0.87928506,0.47504911,0.00109720,0.00019769,0.05313964,0.14211337,0.40209802
-3.29864932,0.84498149,0.45623635,0.00105596,0.00019026,0.05053123,0.13626403,0.38685131
-3.29264632,0.80670909,0.43535429,0.00100897,0.00018179,0.04779858,0.12994051,0.36970504
-3.28664332,0.76517021,0.41277375,0.00095715,0.00017245,0.04496654,0.12324970,0.35099484
-3.28064032,0.72112248,0.38889601,0.00090148,0.00016242,0.04206383,0.11630967,0.33108147
-3.27463732,0.67535560,0.36414032,0.00084296,0.00015187,0.03912190,0.10924622,0.31034001
-3.26863432,0.62866830,0.33893162,0.00078258,0.00014099,0.03617363,0.10218936,0.28914919
-3.26263132,0.58184640,0.31368873,0.00072132,0.00012994,0.03325221,0.09526981,0.26788122
-3.25662831,0.53564279,0.28881359,0.00066009,0.00011891,0.03038995,0.08861577,0.24689256
-3.25062531,0.49075991,0.26468179,0.00059974,0.00010803,0.02761728,0.08234990,0.22651582
-3.24462231,0.44783524,0.24163469,0.00054101,0.00009744,0.02496191,0.07658666,0.20705308
-3.23861931,0.40742997,0.21997328,0.00048456,0.00008726,0.02244815,0.07143006,0.18877061
-3.23261631,0.37002105,0.19995377,0.00043091,0.00007758,0.02009644,0.06697181,0.17189517
-3.22661331,0.33599629,0.18178494,0.00038048,0.00006849,0.01792310,0.06328984,0.15661166
-3.22061031,0.30565259,0.16562704,0.00033359,0.00006003,0.01594017,0.06044724,0.14306220
-3.21460730,0.27919664,0.15159208,0.00029044,0.00005225,0.01415560,0.05849145,0.13134631
-3.20860430,0.25674792,0.13974542,0.00025112,0.00004516,0.01257339,0.05745387,0.12152209
-3.20260130,0.23834347,0.13010820,0.00021565,0.00003877,0.01119400,0.05734960,0.11360818
-3.19659830,0.22394395,0.12266063,0.00018397,0.00003307,0.01001484,0.05817756,0.10758637
-3.19059530,0.21344084,0.11734581,0.00015595,0.00002805,0.00903075,0.05992077,0.10340456
-3.18459230,0.20666414,0.11407394,0.00013141,0.00002368,0.00823461,0.06254687,0.10098012
-3.17858929,0.20339060,0.11272681,0.00011014,0.00001994,0.00761804,0.06600891,0.10020333
-3.17258629,0.20335224,0.11316245,0.00009189,0.00001679,0.00717193,0.07024649,0.10094101
-3.16658329,0.20624491,0.11522001,0.00007643,0.00001421,0.00688724,0.07518713,0.10304023
-3.16058029,0.21173713,0.11872466,0.00006350,0.00001219,0.00675554,0.08074810,0.10633212
-3.15457729,0.21947900,0.12349275,0.00005286,0.00001073,0.00676975,0.08683865,0.11063578
-3.14857429,0.22911137,0.12933699,0.00004429,0.00000983,0.00692479,0.09336261,0.11576229
-3.14257129,0.24027514,0.13607193,0.00003757,0.00000954,0.00721818,0.10022152,0.12151894
-3.13656828,0.25262089,0.14351949,0.00003253,0.00000990,0.00765069,0.10731808,0.12771361
-3.13056528,0.26581864,0.15151464,0.00002902,0.00001102,0.00822696,0.11456005,0.13415930
-3.12456228,0.27956773,0.15991109,0.00002694,0.00001303,0.00895602,0.12186431,0.14067883
-3.11855928,0.29360663,0.16858694,0.00002620,0.00001611,0.00985181,0.12916115,0.14710960
-3.11255628,0.30772244,0.17744999,0.00002677,0.00002050,0.01093357,0.13639844,0.15330835
-3.10655328,0.32175982,0.18644264,0.00002866,0.00002651,0.01222618,0.14354565,0.15915579
-3.10055028,0.33562893,0.19554611,0.00003189,0.00003452,0.01376030,0.15059740,0.16456091
-3.09454727,0.34931202,0.20478361,0.00003654,0.00004501,0.01557230,0.15757637,0.16946492
-3.08854427,0.36286834,0.21422237,0.00004273,0.00005856,0.01770409,0.16453532,0.17384453
-3.08254127,0.37643684,0.22397419,0.00005059,0.00007587,0.02020256,0.17155802,0.17771452
-3.07653827,0.39023641,0.23419425,0.00006031,0.00009775,0.02311877,0.17875897,0.18112933
-3.07053527,0.40456342,0.24507815,0.00007208,0.00012515,0.02650690,0.18628163,0.18418370
-3.06453227,0.41978621,0.25685693,0.00008612,0.00015917,0.03042274,0.19429525,0.18701212
-3.05852926,0.43633664,0.26979018,0.00010269,0.00020105,0.03492197,0.20299018,0.18978711
-3.05252626,0.45469867,0.28415720,0.00012202,0.00025218,0.04005805,0.21257170,0.19271635
-3.04652326,0.47539410,0.30024657,0.00014439,0.00031407,0.04587987,0.22325258,0.19603855
-3.04052026,0.49896596,0.31834419,0.00017005,0.00038838,0.05242921,0.23524454,0.20001833
-3.03451726,0.52595984,0.33872034,0.00019923,0.00047684,0.05973801,0.24874880,0.20494006
-3.02851426,0.55690391,0.36161623,0.00023216,0.00058128,0.06782567,0.26394630,0.21110089
-3.02251126,0.59228817,0.38723040,0.00026903,0.00070352,0.07669640,0.28098768,0.21880307
-3.01650825,0.63254380,0.41570585,0.00031000,0.00084539,0.08633682,0.29998374,0.22834587
-3.01050525,0.67802333,0.44711826,0.00035516,0.00100862,0.09671387,0.32099659,0.24001721
-3.00450225,0.72898246,0.48146598,0.00040458,0.00119478,0.10777334,0.34403215,0.25408525
-2.99849925,0.78556438,0.51866251,0.00045822,0.00140522,0.11943883,0.36903422,0.27079020
-2.99249625,0.84778709,0.55853165,0.00051601,0.00164096,0.13161172,0.39588067,0.29033648
-2.98649325,0.91553459,0.60080605,0.00057778,0.00190263,0.14417172,0.42438184,0.31288551
-2.98049025,0.98855217,0.64512915,0.00064329,0.00219039,0.15697850,0.45428160,0.33854936
-2.97448724,1.06644627,0.69106077,0.00071223,0.00250383,0.16987415,0.48526094,0.36738532
-2.96848424,1.14868886,0.73808620,0.00078421,0.00284194,0.18268652,0.51694416,0.39939165
-2.96248124,1.23462652,0.78562865,0.00085877,0.00320305,0.19523338,0.54890758,0.43450462
