energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Li_s_up,Te_p_up,Te_d_up
-4.97348674,1.78486278,0.00687419,0.28584566,0.62394378,0.51916589,0.06784499,0.91211854,0.00000000
-4.96748374,1.75910545,0.00703897,0.27735414,0.60681890,0.51229782,0.06723596,0.90168368,0.00000000
-4.96148074,1.73760350,0.00723828,0.27128606,0.59101776,0.50900218,0.06680615,0.89112284,0.00000000
-4.95547774,1.72071988,0.00747495,0.26774002,0.57668569,0.50941106,0.06658885,0.88058670,0.00000000
-4.94947474,1.70877998,0.00775225,0.26676554,0.56395179,0.51359342,0.06662102,0.87026281,0.00000000
-4.94347174,1.70206539,0.00807382,0.26836384,0.55292852,0.52155499,0.06694235,0.86037025,0.00000000
-4.93746873,1.70080751,0.00844347,0.27248954,0.54371114,0.53323903,0.06759423,0.85115295,0.00000000
-4.93146573,1.70518110,0.00886506,0.27905302,0.53637715,0.54852811,0.06861869,0.84287214,0.00000000
-4.92546273,1.71529815,0.00934233,0.28792355,0.53098554,0.56724667,0.07005726,0.83579809,0.00000000
-4.91945973,1.73120261,0.00987877,0.29893300,0.52757607,0.58916464,0.07194995,0.83020163,0.00000000
-4.91345673,1.75286614,0.01047743,0.31188003,0.52616843,0.61400190,0.07433418,0.82634570,0.00000000
-4.90745373,1.78018545,0.01114085,0.32653491,0.52676150,0.64143379,0.07724374,0.82447726,0.00000000
-4.90145073,1.81298146,0.01187091,0.34264465,0.52933277,0.67109746,0.08070786,0.82481985,0.00000000
-4.89544772,1.85100040,0.01266873,0.35993856,0.53383795,0.70259921,0.08475030,0.82756700,0.00000000
-4.88944472,1.89391697,0.01353464,0.37813404,0.54021082,0.73552249,0.08938845,0.83287663,0.00000000
-4.88344172,1.94133939,0.01446804,0.39694253,0.54836344,0.76943657,0.09463251,0.84086648,0.00000000
-4.87743872,1.99281618,0.01546741,0.41607553,0.55818668,0.80390550,0.10048472,0.85161059,0.00000000
-4.87143572,2.04784411,0.01653025,0.43525041,0.56955109,0.83849720,0.10693851,0.86513679,0.00000000
-4.86543272,2.10587708,0.01765301,0.45419602,0.58230802,0.87279225,0.11397786,0.88142503,0.00000000
-4.85942971,2.16633509,0.01883110,0.47265778,0.59629103,0.90639217,0.12157647,0.90040649,0.00000000
-4.85342671,2.22861313,0.02005883,0.49040219,0.61131749,0.93892673,0.12969724,0.92196328,0.00000000
-4.84742371,2.29208914,0.02132939,0.50722057,0.62719030,0.97006012,0.13829165,0.94592863,0.00000000
-4.84142071,2.35613098,0.02263480,0.52293193,0.64369972,0.99949570,0.14729936,0.97208752,0.00000000
-4.83541771,2.42010199,0.02396593,0.53738486,0.66062523,1.02697906,0.15664802,1.00017770,0.00000000
-4.82941471,2.48336511,0.02531243,0.55045851,0.67773755,1.05229956,0.16625327,1.02989110,0.00000000
-4.82341171,2.54528575,0.02666279,0.56206247,0.69480062,1.07529014,0.17601909,1.06087578,0.00000000
