energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-4.00100050,3.47858519,0.85694479,0.32009681,0.01834920,0.03739943,0.53085448,2.60563176,0.40319570,0.00000000
-3.99499750,3.64381773,0.89840027,0.33126993,0.01990677,0.03943900,0.54996595,2.73116159,0.42391832,0.00000000
-3.98899450,3.80459776,0.93747710,0.34151688,0.02148876,0.04142689,0.56893416,2.85420204,0.44400187,0.00000000
-3.98299150,3.95865417,0.97368110,0.35069655,0.02308500,0.04332736,0.58745545,2.97299161,0.46317812,0.00000000
-3.97698849,4.10371146,1.00654386,0.35867968,0.02468598,0.04510588,0.60522535,3.08574318,0.48118456,0.00000000
-3.97098549,4.23755212,1.03563145,0.36535189,0.02628337,0.04673010,0.62194616,3.19069533,0.49777029,0.00000000
-3.96498249,4.35808196,1.06055343,0.37061664,0.02787048,0.04817091,0.63733502,3.28616638,0.51270218,0.00000000
-3.95897949,4.46339588,1.08097187,0.37439798,0.02944269,0.04940342,0.65113222,3.37060903,0.52577116,0.00000000
-3.95297649,4.55184143,1.09661039,0.37664300,0.03099781,0.05040780,0.66310944,3.44266315,0.53679830,0.00000000
-3.94697349,4.62207741,1.10726281,0.37732398,0.03253636,0.05117007,0.67307738,3.50120452,0.54564059,0.00000000
-3.94097049,4.67312462,1.11280134,0.37644006,0.03406173,0.05168267,0.68089265,3.54538685,0.55219610,0.00000000
-3.93496748,4.70440628,1.11318382,0.37401847,0.03558010,0.05194483,0.68646334,3.57467514,0.55640825,0.00000000
-3.92896448,4.71577589,1.10845980,0.37011515,0.03710036,0.05196269,0.68975313,3.58886838,0.55826906,0.00000000
-3.92296148,4.70753071,1.09877498,0.36481481,0.03863370,0.05174926,0.69078355,3.58811026,0.55782109,0.00000000
-3.91695848,4.68040970,1.08437378,0.35823026,0.04019312,0.05132400,0.68963420,3.57288679,0.55515788,0.00000000
-3.91095548,4.63557542,1.06559962,0.35050113,0.04179277,0.05071233,0.68644089,3.54401086,0.55042295,0.00000000
-3.90495248,4.57458024,1.04289270,0.34179171,0.04344712,0.04994474,0.68139159,3.50259372,0.54380708,0.00000000
-3.89894947,4.49931776,1.01678505,0.33228830,0.04517004,0.04905587,0.67472035,3.45000473,0.53554411,0.00000000
-3.89294647,4.41196128,0.98789273,0.32219566,0.04697386,0.04808339,0.66669934,3.38782078,0.52590518,0.00000000
-3.88694347,4.31489171,0.95690519,0.31173301,0.04886829,0.04706670,0.65762926,3.31776768,0.51519167,0.00000000
-3.88094047,4.21061789,0.92457202,0.30112938,0.05085955,0.04604569,0.64782865,3.24165609,0.50372704,0.00000000
-3.87493747,4.10169276,0.89168703,0.29061857,0.05294943,0.04505943,0.63762230,3.16131494,0.49184781,0.00000000
-3.86893447,3.99062879,0.85907040,0.28043385,0.05513458,0.04414488,0.62732946,3.07852531,0.47989410,0.00000000
-3.86293147,3.87981649,0.82754900,0.27080237,0.05740599,0.04333578,0.61725223,2.99495797,0.46819988,0.00000000
-3.85692846,3.77144927,0.79793563,0.26193970,0.05974865,0.04266152,0.60766468,2.91211723,0.45708348,0.00000000
-3.85092546,3.66745788,0.77100766,0.25404448,0.06214155,0.04214632,0.59880314,2.83129371,0.44683858,0.00000000
-3.84492246,3.56945690,0.74748587,0.24729331,0.06455791,0.04180847,0.59085806,2.75352802,0.43772598,0.00000000
-3.83891946,3.47870525,0.72801392,0.24183621,0.06696568,0.04165988,0.58396784,2.67958663,0.42996650,0.00000000
-3.83291646,3.39608205,0.71313937,0.23779262,0.06932837,0.04170571,0.57821474,2.60995091,0.42373514,0.00000000
-3.82691346,3.32207804,0.70329671,0.23524809,0.07160608,0.04194439,0.57362311,2.54481914,0.41915675,0.00000000
-3.82091046,3.25680249,0.69879302,0.23425190,0.07375671,0.04236766,0.57015988,2.48412115,0.41630324,0.00000000
-3.81490745,3.20000441,0.69979690,0.23481540,0.07573736,0.04296094,0.56773734,2.42754406,0.41519236,0.00000000
-3.80890445,3.15110645,0.70633093,0.23691148,0.07750580,0.04370383,0.56621790,2.37456773,0.41578819,0.00000000
-3.80290145,3.10924935,0.71826809,0.24047485,0.07902190,0.04457074,0.56542066,2.32450744,0.41800300,0.00000000
-3.79689845,3.07334448,0.73533238,0.24540339,0.08024906,0.04553177,0.56512941,2.27656156,0.42170068,0.00000000
-3.79089545,3.04213162,0.75710366,0.25156035,0.08115550,0.04655353,0.56510179,2.22986163,0.42670131,0.00000000
-3.78489245,3.01423944,0.78302677,0.25877754,0.08171536,0.04760020,0.56507901,2.18352234,0.43278691,0.00000000
-3.77888944,2.98824576,0.81242466,0.26685925,0.08190955,0.04863457,0.56479599,2.13668892,0.43970806,0.00000000
-3.77288644,2.96273537,0.84451534,0.27558692,0.08172635,0.04961912,0.56399133,2.08858008,0.44719126,0.00000000
-3.76688344,2.93635327,0.87843208,0.28472445,0.08116172,0.05051711,0.56241674,2.03852452,0.45494669,0.00000000
-3.76088044,2.90785140,0.91324643,0.29402396,0.08021932,0.05129360,0.55984579,1.98598995,0.46267633,0.00000000
-3.75487744,2.87612794,0.94799330,0.30323185,0.07891021,0.05191647,0.55608150,1.93060363,0.47008214,0.00000000
-3.74887444,2.84025795,0.98169732,0.31209517,0.07725235,0.05235734,0.55096266,1.87216419,0.47687400,0.00000000
-3.74287144,2.79951524,1.01339973,0.32036780,0.07526980,0.05259232,0.54436867,1.81064479,0.48277745,0.00000000
-3.73686843,2.75338535,1.04218479,0.32781664,0.07299183,0.05260266,0.53622288,1.74618814,0.48754073,0.00000000
-3.73086543,2.70156994,1.06720497,0.33422735,0.07045185,0.05237532,0.52649424,1.67909417,0.49094119,0.00000000
-3.72486243,2.64398326,1.08770392,0.33940959,0.06768627,0.05190319,0.51519747,1.60980162,0.49279078,0.00000000
-3.71885943,2.58074157,1.10303649,0.34320164,0.06473340,0.05118532,0.50239166,1.53886454,0.49294046,0.00000000
-3.71285643,2.51214638,1.11268514,0.34547411,0.06163231,0.05022681,0.48817746,1.46692547,0.49128347,0.00000000
-3.70685343,2.43866274,1.11627212,0.34613277,0.05842182,0.04903862,0.47269310,1.39468638,0.48775733,0.00000000
-3.70085043,2.36089366,1.11356706,0.34512032,0.05513959,0.04763712,0.45610930,1.32287889,0.48234450,0.00000000
-3.69484742,2.27955179,1.10448980,0.34241711,0.05182136,0.04604357,0.43862341,1.25223507,0.47507172,0.00000000
-3.68884442,2.19542948,1.08910828,0.33804065,0.04850032,0.04428338,0.42045293,1.18345987,0.46600808,0.00000000
-3.68284142,2.10936835,1.06763193,0.33204418,0.04520664,0.04238531,0.40182879,1.11720608,0.45526176,0.00000000
-3.67683842,2.02222930,1.04040074,0.32451408,0.04196719,0.04038064,0.38298847,1.05405283,0.44297580,0.00000000
-3.67083542,1.93486401,1.00787049,0.31556652,0.03880536,0.03830220,0.36416947,0.99448789,0.42932286,0.00000000
-3.66483242,1.84808855,0.97059509,0.30534318,0.03574104,0.03618351,0.34560311,0.93889439,0.41449928,0.00000000
-3.65882941,1.76266009,0.92920654,0.29400649,0.03279069,0.03405791,0.32750902,0.88754204,0.39871866,0.00000000
-3.65282641,1.67925713,0.88439341,0.28173440,0.02996748,0.03195778,0.31009060,0.84058293,0.38220521,0.00000000
-3.64682341,1.59846389,0.83687890,0.26871498,0.02728154,0.02991385,0.29353132,0.79805174,0.36518715,0.00000000
-3.64082041,1.52075901,0.78739903,0.25514099,0.02474020,0.02795464,0.27799218,0.75987016,0.34789035,0.00000000
-3.63481741,1.44650903,0.73668206,0.24120470,0.02234830,0.02610606,0.26361030,0.72585506,0.33053253,0.00000000
-3.62881441,1.37596638,0.68542953,0.22709301,0.02010841,0.02439113,0.25049857,0.69572996,0.31331819,0.00000000
-3.62281141,1.30927190,0.63429984,0.21298320,0.01802120,0.02282982,0.23874634,0.66913928,0.29643438,0.00000000
-3.61680840,1.24646158,0.58389446,0.19903928,0.01608565,0.02143907,0.22842087,0.64566462,0.28004749,0.00000000
-3.61080540,1.18747691,0.53474733,0.18540908,0.01429930,0.02023283,0.21956964,0.62484244,0.26430100,0.00000000
-3.60480240,1.13217827,0.48731739,0.17222216,0.01265850,0.01922231,0.21222292,0.60618253,0.24931439,0.00000000
-3.59879940,1.08036064,0.44198438,0.15958850,0.01115857,0.01841612,0.20639669,0.58918635,0.23518288,0.00000000
-3.59279640,1.03177069,0.39904758,0.14759793,0.00979403,0.01782059,0.20209541,0.57336477,0.22197811,0.00000000
-3.58679340,0.98612441,0.35872739,0.13632027,0.00855872,0.01743993,0.19931458,0.55825443,0.20974949,0.00000000
-3.58079040,0.94312444,0.32116924,0.12580606,0.00744596,0.01727649,0.19804270,0.54343220,0.19852617,0.00000000
-3.57478739,0.90247611,0.28644951,0.11608780,0.00644869,0.01733085,0.19826260,0.52852731,0.18831927,0.00000000
