energy_ev,total_up,Ru_p_up,Ru_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-4.59529765,1.80348389,0.83355259,1.45717142,0.33015399,0.00848434,0.00547010,0.07336244
-4.58929465,1.83918077,0.81619315,1.48032957,0.34491565,0.00905355,0.00543613,0.07422995
-4.58329165,1.88653515,0.80845725,1.51111090,0.36270154,0.00967167,0.00542124,0.07626149
-4.57728864,1.94505327,0.81045367,1.54910856,0.38338921,0.01033377,0.00542980,0.07946652
-4.57128564,2.01410126,0.82226506,1.59377808,0.40684906,0.01103396,0.00546612,0.08385774
-4.56528264,2.09292112,0.84395137,1.64444891,0.43294909,0.01176549,0.00553445,0.08945191
-4.55927964,2.18064921,0.87555107,1.70033976,0.46155907,0.01252089,0.00563895,0.09626991
-4.55327664,2.27633652,0.91707969,1.76057737,0.49255384,0.01329214,0.00578368,0.10433628
-4.54727364,2.37897005,0.96852575,1.82421787,0.52581550,0.01407082,0.00597255,0.11367803
-4.54127064,2.48749407,1.02984385,1.89027005,0.56123424,0.01484832,0.00620927,0.12432277
-4.53526763,2.60083036,1.10094496,1.95771955,0.59870772,0.01561607,0.00649731,0.13629623
-4.52926463,2.71789640,1.18168391,2.02555290,0.63813873,0.01636570,0.00683981,0.14961902
-4.52326163,2.83762046,1.27184462,2.09278051,0.67943117,0.01708924,0.00723948,0.16430304
-4.51725863,2.95895297,1.37112319,2.15845745,0.72248441,0.01777931,0.00769849,0.18034728
-4.51125563,3.08087365,1.47910987,2.22170142,0.76718620,0.01842926,0.00821833,0.19773352
-4.50525263,3.20239415,1.59527050,2.28170700,0.81340445,0.01903324,0.00879967,0.21642186
-4.49924962,3.32255662,1.71892878,2.33775597,0.86097831,0.01958634,0.00944217,0.23634657
-4.49324662,3.44042854,1.84925034,2.38922341,0.90970920,0.02008454,0.01014438,0.25741218
-4.48724362,3.55509497,1.98523028,2.43557964,0.95935225,0.02052478,0.01090353,0.27949050
-4.48124062,3.66564926,2.12568536,2.47638856,1.00960912,0.02090485,0.01171551,0.30241842
-4.47523762,3.77118387,2.26925234,2.51130279,1.06012264,0.02122339,0.01257469,0.32599708
-4.46923462,3.87078264,2.41439365,2.54005647,1.11047420,0.02147974,0.01347397,0.34999242
-4.46323162,3.96351621,2.55941132,2.56245668,1.16018424,0.02167389,0.01440480,0.37413728
-4.45722861,4.04844192,2.70246980,2.57837444,1.20871650,0.02180634,0.01535723,0.39813530
-4.45122561,4.12460923,2.84162783,2.58773612,1.25548607,0.02187801,0.01632015,0.42166640
-4.44522261,4.19107142,2.97487894,2.59051622,1.29987135,0.02189017,0.01728150,0.44439392
-4.43921961,4.24690377,3.10019970,2.58673214,1.34122972,0.02184437,0.01822857,0.46597314
-4.43321661,4.29122779,3.21560418,2.57644128,1.37891629,0.02174240,0.01914842,0.48606096
-4.42721361,4.32324074,3.31920263,2.55974074,1.41230512,0.02158628,0.02002825,0.50432626
-4.42121061,4.34224884,3.40926200,2.53676945,1.44081185,0.02137823,0.02085588,0.52046070
-4.41520760,4.34770234,3.48426540,2.50771223,1.46391669,0.02112079,0.02162018,0.53418921
-4.40920460,4.33923033,3.54296761,2.47280535,1.48118652,0.02081676,0.02231152,0.54527994
-4.40320160,4.31667267,3.58444379,2.43234253,1.49229484,0.02046932,0.02292218,0.55355293
-4.39719860,4.28010681,3.60812845,2.38668058,1.49703845,0.02008206,0.02344665,0.55888717
-4.39119560,4.22986714,3.61384251,2.33624378,1.49534975,0.01965901,0.02388191,0.56122564
-4.38519260,4.16655509,3.60180641,2.28152598,1.48730388,0.01920466,0.02422757,0.56057804
-4.37918959,4.09103854,3.57263827,2.22308972,1.47312013,0.01872394,0.02448590,0.55702092
-4.37318659,4.00443987,3.52733671,2.16156200,1.45315741,0.01822224,0.02466174,0.55069536
-4.36718359,3.90811264,3.46724863,2.09762631,1.42790389,0.01770529,0.02476231,0.54180207
-4.36118059,3.80360777,3.39402359,2.03201108,1.39796124,0.01717906,0.02479690,0.53059435
-4.35517759,3.69263051,3.30955650,1.96547507,1.36402437,0.01664971,0.02477643,0.51736901
-4.34917459,3.57699064,3.21592163,1.89879024,1.32685756,0.01612338,0.02471305,0.50245601
-4.34317159,3.45854831,3.11530111,1.83272324,1.28726851,0.01560605,0.02461955,0.48620696
-4.33716858,3.33915866,3.00991143,1.76801660,1.24608143,0.01510346,0.02450888,0.46898348
-4.33116558,3.22061826,2.90193179,1.70537083,1.20411082,0.01462089,0.02439359,0.45114559
-4.32516258,3.10461654,2.79343755,1.64542876,1.16213729,0.01416309,0.02428544,0.43304102
-4.31915958,2.99269480,2.68634237,1.58876316,1.12088658,0.01373421,0.02419495,0.41499574
