energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-5.63981991,6.37364062,-3.05321535,0.03648464,-0.01427686,1.20645526,-0.50934669,4.51635969,-1.86187604,1.22325735,-0.38640626,0.11349167,-0.07701485,1.80861591,-1.05465581,0.78012241,-0.39384897,0.22536265,-0.12486031
-5.63381691,6.55502545,-3.17850824,0.03831297,-0.01546415,1.23065564,-0.53774611,4.64641905,-1.99500797,1.26492133,-0.40430768,0.11356510,-0.07925172,1.88515639,-1.08873343,0.81780234,-0.40805144,0.22720719,-0.12930398
-5.62781391,6.72354047,-3.32354064,0.04029042,-0.01671609,1.25214881,-0.56953868,4.76040968,-2.13887410,1.30644703,-0.42497066,0.11347648,-0.08186545,1.95857899,-1.12954414,0.85392649,-0.42517773,0.22837851,-0.13441104
-5.62181091,6.87778615,-3.48646797,0.04241690,-0.01802253,1.27091478,-0.60443334,4.85723185,-2.29207583,1.34775335,-0.44819946,0.11322617,-0.08481033,2.02800595,-1.17641815,0.88808134,-0.44497077,0.22885086,-0.14010720
-5.61580790,7.01658086,-3.66500649,0.04468795,-0.01937240,1.28696807,-0.64205949,4.93608219,-2.45293104,1.38874215,-0.47374157,0.11281617,-0.08803256,2.09263414,-1.22854228,0.91989019,-0.46711566,0.22860906,-0.14630148
-5.60980490,7.13897322,-3.85648960,0.04709454,-0.02075385,1.30035079,-0.68197393,4.99646792,-2.61950901,1.42929229,-0.50129321,0.11224994,-0.09147166,2.15175595,-1.28498358,0.94902301,-0.49124880,0.22764850,-0.15288836
-5.60380190,7.24425217,-4.05793496,0.04962290,-0.02215466,1.31112547,-0.72366985,5.03821477,-2.78967423,1.46925498,-0.53050624,0.11153236,-0.09506209,2.20477930,-1.34471653,0.97520569,-0.51696832,0.22597499,-0.15975035
-5.59779890,7.33195498,-4.26612047,0.05225466,-0.02356245,1.31936796,-0.76658767,5.06146904,-2.96113775,1.50845063,-0.56099618,0.11066981,-0.09873503,2.25124598,-1.40665267,0.99822840,-0.54384540,0.22360453,-0.16676098
-5.59179590,7.40187338,-4.47766706,0.05496703,-0.02496498,1.32516099,-0.81012739,5.06669380,-3.13151461,1.54666781,-0.59235125,0.10967024,-0.10242022,2.29084759,-1.46967200,1.01795261,-0.57143605,0.22056297,-0.17378812
-5.58579290,7.45405760,-4.68912570,0.05773326,-0.02635048,1.32858879,-0.85366230,5.05465990,-3.29838564,1.58366430,-0.62414222,0.10854336,-0.10604777,2.32343812,-1.53265487,1.03431664,-0.59929334,0.21688556,-0.18069742
-5.57978989,7.48881793,-4.89706622,0.06052317,-0.02770786,1.32973302,-0.89655361,5.02643185,-3.45936165,1.61917052,-0.65593274,0.10730079,-0.10954997,2.34904260,-1.59451362,1.04733909,-0.62697934,0.21261637,-0.18735584
-5.57378689,7.50672354,-5.09816545,0.06330390,-0.02902696,1.32867032,-0.93816564,4.98334911,-3.61214794,1.65289507,-0.68729014,0.10595626,-0.11286290,2.36786102,-1.65422275,1.05712025,-0.65407672,0.20780774,-0.19363517
-5.56778389,7.50859756,-5.28929212,0.06604064,-0.03029872,1.32547145,-0.97788122,4.92700279,-3.75460721,1.68453224,-0.71779631,0.10452568,-0.11592791,2.38026704,-1.71084692,1.06384094,-0.68019965,0.20251947,-0.19941531
-5.56178089,7.49550791,-5.46758634,0.06869762,-0.03151538,1.32020207,-1.01511692,4.85920814,-3.88481878,1.71377122,-0.74705836,0.10302716,-0.11869293,2.38680099,-1.76356588,1.06775893,-0.70500363,0.19681802,-0.20458734
-5.55577789,7.46875301,-5.63053160,0.07123897,-0.03267054,1.31292484,-1.04933762,4.78197294,-4.00113240,1.74030629,-0.77471912,0.10148097,-0.12111340,2.38815721,-1.81169573,1.06920262,-0.72819419,0.19077552,-0.20905621
-5.54977489,7.42984156,-5.77601759,0.07362970,-0.03375930,1.30370276,-1.08007027,4.69746185,-4.10221503,1.76384760,-0.80046691,0.09990927,-0.12315308,2.38516553,-1.85470604,1.06856232,-0.74953417,0.18446874,-0.21274299
