energy_ev,total_up,B_p_up,B_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-4.39719860,0.46396962,0.00294835,0.00000000,0.01527664,0.17015042,0.12642463,0.03756516
-4.39119560,0.46971683,0.00297240,0.00000000,0.01444585,0.17549805,0.12886115,0.03775679
-4.38519260,0.47635140,0.00302180,0.00000000,0.01376814,0.18184491,0.13142315,0.03798947
-4.37918959,0.48359855,0.00309217,0.00000000,0.01323127,0.18902214,0.13402541,0.03824989
-4.37318659,0.49118114,0.00317913,0.00000000,0.01282212,0.19684658,0.13658508,0.03852443
-4.36718359,0.49882518,0.00327842,0.00000000,0.01252704,0.20512439,0.13902327,0.03879941
-4.36118059,0.50626539,0.00338609,0.00000000,0.01233219,0.21365520,0.14126646,0.03906139
-4.35517759,0.51325079,0.00349861,0.00000000,0.01222388,0.22223680,0.14324794,0.03929740
-4.34917459,0.51955021,0.00361306,0.00000000,0.01218884,0.23067008,0.14490909,0.03949525
-4.34317159,0.52495750,0.00372728,0.00000000,0.01221455,0.23876413,0.14620051,0.03964378
-4.33716858,0.52929638,0.00384004,0.00000000,0.01228943,0.24634142,0.14708299,0.03973311
-4.33116558,0.53242472,0.00395123,0.00000000,0.01240314,0.25324259,0.14752825,0.03975489
-4.32516258,0.53423800,0.00406198,0.00000000,0.01254676,0.25933084,0.14751945,0.03970246
-4.31915958,0.53467194,0.00417490,0.00000000,0.01271298,0.26449564,0.14705144,0.03957106
