energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-2.06803402,4.75664315,0.01448677,0.31115110,0.57089875,0.07116679,0.36077509,3.80241074,0.03733199,0.16922087
-2.06203102,4.75879368,0.01490461,0.32347607,0.58462150,0.07394133,0.36238162,3.77205971,0.03884067,0.17062661
-2.05602801,4.77986070,0.01542884,0.33697819,0.60055737,0.07700866,0.36484744,3.75682372,0.04049083,0.17305820
-2.05002501,4.81877211,0.01604499,0.35140980,0.61831897,0.08031281,0.36809927,3.75627221,0.04225452,0.17647575
-2.04402201,4.87389589,0.01673782,0.36649979,0.63746847,0.08379158,0.37202816,3.76950297,0.04410042,0.18081365
-2.03801901,4.94309149,0.01749188,0.38195932,0.65752844,0.08737784,0.37649385,3.79517751,0.04599443,0.18598172
-2.03201601,5.02377816,0.01829200,0.39748841,0.67799430,0.09100108,0.38133038,3.83157036,0.04790046,0.19186712
-2.02601301,5.11301746,0.01912392,0.41278314,0.69834790,0.09458910,0.38635275,3.87663041,0.04978121,0.19833693
-2.02001001,5.20760691,0.01997495,0.42754329,0.71807194,0.09806982,0.39136421,3.92805131,0.05159911,0.20524143
-2.01400700,5.30418115,0.02083467,0.44148030,0.73666477,0.10137323,0.39616397,3.98334844,0.05331722,0.21241794
-2.00800400,5.39931682,0.02169556,0.45432509,0.75365502,0.10443331,0.40055486,4.03993931,0.05490019,0.21969506
-2.00200100,5.48963758,0.02255369,0.46583577,0.76861560,0.10718984,0.40435074,4.09522451,0.05631517,0.22689736
-1.99599800,5.57191552,0.02340930,0.47580470,0.78117658,0.10959024,0.40738331,4.14666648,0.05753267,0.23385011
-1.98999500,5.64316557,0.02426722,0.48406481,0.79103645,0.11159105,0.40950798,4.19186344,0.05852734,0.24038419
-1.98399200,5.70073001,0.02513726,0.49049491,0.79797123,0.11315929,0.41060875,4.22861631,0.05927868,0.24634074
-1.97798899,5.74235046,0.02603436,0.49502370,0.80184133,0.11427347,0.41060178,4.25498672,0.05977158,0.25157558
-1.97198599,5.76622532,0.02697857,0.49763243,0.80259555,0.11492429,0.40943764,4.26934458,0.05999676,0.25596324
-1.96598299,5.77105120,0.02799481,0.49835588,0.80027222,0.11511492,0.40710220,4.27040430,0.05995103,0.25940026
-1.95997999,5.75604747,0.02911242,0.49728176,0.79499739,0.11486097,0.40361620,4.25724888,0.05963744,0.26180792
-1.95397699,5.72096369,0.03036440,0.49454840,0.78697999,0.11418998,0.39903349,4.22934184,0.05906524,0.26313411
-1.94797399,5.66607004,0.03178652,0.49034076,0.77650419,0.11314055,0.39343827,4.18652713,0.05824964,0.26335430
-1.94197099,5.59213184,0.03341610,0.48488478,0.76391912,0.11176116,0.38694121,4.12901765,0.05721153,0.26247165
-1.93596798,5.50036923,0.03529066,0.47844037,0.74962639,0.11010853,0.37967501,4.05737322,0.05597692,0.26051620
-1.92996498,5.39240398,0.03744636,0.47129308,0.73406578,0.10824581,0.37178922,3.97246930,0.05457635,0.25754323
-1.92396198,5.27019548,0.03991630,0.46374476,0.71769956,0.10624048,0.36344492,3.87545793,0.05304411,0.25363075
-1.91795898,5.13596842,0.04272885,0.45610349,0.70099612,0.10416208,0.35480923,3.76772229,0.05141743,0.24887647
-1.91195598,4.99213480,0.04590580,0.44867320,0.68441349,0.10207987,0.34604999,3.65082698,0.04973548,0.24339406
-1.90595298,4.84121318,0.04946076,0.44174315,0.66838324,0.10006048,0.33733070,3.52646550,0.04803842,0.23730915
-1.89994997,4.68574794,0.05339757,0.43557784,0.65329561,0.09816564,0.32880610,3.39640706,0.04636635,0.23075506
-1.89394697,4.52823133,0.05770898,0.43040767,0.63948618,0.09645005,0.32061822,3.26244423,0.04475826,0.22386850
