energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
4.98549275,0.46764067,-0.44979877,0.68129782,-0.40616207,0.01761098,-0.04028956,0.08017357,-0.01460373,0.04715036,-0.00757407,0.03170089,-0.02029178,0.05390561,-0.03398529
4.99149575,0.45599375,-0.48050943,0.66607806,-0.42869263,0.01693648,-0.04297352,0.07633586,-0.01538483,0.04369142,-0.00813004,0.03289273,-0.02198182,0.05007523,-0.03687884
4.99749875,0.44442654,-0.51230366,0.65068539,-0.45235739,0.01627989,-0.04577266,0.07245295,-0.01619187,0.04024391,-0.00879697,0.03408912,-0.02382627,0.04628472,-0.03988809
5.00350175,0.43314494,-0.54454329,0.63536973,-0.47653679,0.01565618,-0.04862900,0.06858121,-0.01700268,0.03686262,-0.00956322,0.03526843,-0.02579883,0.04260071,-0.04296919
5.00950475,0.42233402,-0.57657657,0.62033901,-0.50061289,0.01508017,-0.05148304,0.06476992,-0.01779562,0.03359918,-0.01041562,0.03640837,-0.02787098,0.03908771,-0.04607494
5.01550775,0.41215920,-0.60775261,0.60576078,-0.52398369,0.01456659,-0.05427497,0.06106072,-0.01855009,0.03050137,-0.01133950,0.03748673,-0.03001232,0.03580752,-0.04915564
5.02151076,0.40276949,-0.63743645,0.59176679,-0.54607741,0.01413022,-0.05694602,0.05748731,-0.01924716,0.02761264,-0.01231877,0.03848219,-0.03219107,0.03281885,-0.05216006
5.02751376,0.39430269,-0.66502446,0.57846044,-0.56636656,0.01378603,-0.05943981,0.05407570,-0.01987008,0.02497192,-0.01333604,0.03937530,-0.03437462,0.03017731,-0.05503651
5.03351676,0.38689166,-0.68995945,0.56592616,-0.58438120,0.01354945,-0.06170370,0.05084469,-0.02040484,0.02261362,-0.01437280,0.04014934,-0.03653014,0.02793555,-0.05773399
5.03951976,0.38067156,-0.71174510,0.55424011,-0.59972097,0.01343662,-0.06369002,0.04780667,-0.02084054,0.02056782,-0.01540972,0.04079125,-0.03862535,0.02614362,-0.06020342
5.04552276,0.37578698,-0.72995899,0.54348127,-0.61206548,0.01346462,-0.06535729,0.04496867,-0.02116984,0.01886062,-0.01642694,0.04129247,-0.04062930,0.02484937,-0.06239882
5.05152576,0.37239863,-0.74426380,0.53374211,-0.62118238,0.01365164,-0.06667124,0.04233345,-0.02138915,0.01751448,-0.01740449,0.04164957,-0.04251311,0.02409896,-0.06427852
5.05752876,0.37068866,-0.75441624,0.52513785,-0.62693308,0.01401716,-0.06760564,0.03990068,-0.02149878,0.01654873,-0.01832277,0.04186481,-0.04425087,0.02393720,-0.06580625
5.06353177,0.37086421,-0.76027318,0.51781362,-0.62927551,0.01458188,-0.06814291,0.03766808,-0.02150299,0.01597990,-0.01916298,0.04194641,-0.04582029,0.02440784,-0.06695215
5.06953477,0.37315850,-0.76179474,0.51194889,-0.62826389,0.01536765,-0.06827450,0.03563245,-0.02140985,0.01582211,-0.01990767,0.04190855,-0.04720346,0.02555360,-0.06769359
5.07553777,0.37782930,-0.75904423,0.50775856,-0.62404546,0.01639711,-0.06800098,0.03379050,-0.02123102,0.01608720,-0.02054125,0.04177118,-0.04838735,0.02741594,-0.06801584
5.08154077,0.38515431,-0.75218477,0.50549064,-0.61685416,0.01769331,-0.06733187,0.03213957,-0.02098134,0.01678482,-0.02105049,0.04155948,-0.04936421,0.03003446,-0.06791251
5.08754377,0.39542359,-0.74147274,0.50542022,-0.60700156,0.01927896,-0.06628520,0.03067797,-0.02067843,0.01792231,-0.02142492,0.04130309,-0.05013182,0.03344602,-0.06738575
