energy_ev,total_up,In_p_up,In_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-5.11755878,5.72178219,0.10874721,0.00354817,4.06076981,3.06348522,0.01996393,4.02529558
-5.11155578,5.61922121,0.10357790,0.00340240,4.00808687,3.03138313,0.01884285,3.96952181
-5.10555278,5.51245813,0.09828786,0.00325617,3.95300362,2.99709874,0.01768234,3.91058768
-5.09954977,5.40340513,0.09293411,0.00311030,3.89680695,2.96169954,0.01649628,3.84982977
-5.09354677,5.29395114,0.08757695,0.00296574,3.84071532,2.92620586,0.01529917,3.78854699
-5.08754377,5.18589531,0.08227884,0.00282354,3.78583300,2.89155018,0.01410564,3.72794966
-5.08154077,5.08088676,0.07710336,0.00268484,3.73310921,2.85854110,0.01293006,3.66911373
-5.07553777,4.98037355,0.07211432,0.00255084,3.68330418,2.82783369,0.01178619,3.61294222
-5.06953477,4.88556338,0.06737500,0.00242278,3.63696393,2.79990774,0.01068685,3.56013582
-5.06353177,4.79739764,0.06294759,0.00230196,3.59440532,2.77505507,0.00964374,3.51117424
-5.05752876,4.71654027,0.05889277,0.00218970,3.55571227,2.75337665,0.00866722,3.46630910
-5.05152576,4.64338179,0.05526936,0.00208732,3.52074376,2.73478965,0.00776627,3.42556889
-5.04552276,4.57805789,0.05213420,0.00199615,3.48915333,2.71904418,0.00694843,3.38877576
-5.03951976,4.52048159,0.04954194,0.00191750,3.46041945,2.70574885,0.00621992,3.35557315
-5.03351676,4.47038672,0.04754500,0.00185267,3.43388525,2.69440377,0.00558568,3.32546274
-5.02751376,4.42738000,0.04619335,0.00180294,3.40880555,2.68443916,0.00504955,3.29784877
-5.02151076,4.39099842,0.04553432,0.00176954,3.38439892,2.67525738,0.00461443,3.27208694
-5.01550775,4.36076832,0.04561219,0.00175365,3.35990162,2.66627615,0.00428249,3.24753536
-5.00950475,4.33626235,0.04646774,0.00175640,3.33462076,2.65697019,0.00405538,3.22360432
-5.00350175,4.31715063,0.04813748,0.00177883,3.30798343,2.64690915,0.00393437,3.19980213
-4.99749875,4.30324292,0.05065281,0.00182191,3.27957904,2.63578948,0.00392055,3.17577427
-4.99149575,4.29451903,0.05403894,0.00188649,3.24919266,2.62345838,0.00401496,3.15133363
-4.98549275,4.29114549,0.05831364,0.00197327,3.21682709,2.60992862,0.00421869,3.12648000
-4.97948974,4.29347756,0.06348600,0.00208284,3.18271290,2.59538326,0.00453295,3.10140793
-4.97348674,4.30204623,0.06955498,0.00221557,3.14730550,2.58017016,0.00495906,3.07650240
-4.96748374,4.31753135,0.07650812,0.00237167,3.11126982,2.56478667,0.00549847,3.05232283
-4.96148074,4.34072242,0.08432033,0.00255108,3.07545346,2.54985559,0.00615262,3.02957647
-4.95547774,4.37246965,0.09295284,0.00275355,3.04084989,2.53609368,0.00692289,3.00908279
-4.94947474,4.41362828,0.10235247,0.00297855,3.00855401,2.52427495,0.00781041,2.99173126
-4.94347174,4.46499972,0.11245131,0.00322526,2.97971242,2.51519057,0.00881591,2.97843470
-4.93746873,4.52727282,0.12316673,0.00349262,2.95547127,2.50960791,0.00993949,2.97008127
-4.93146573,4.60096890,0.13440201,0.00377928,2.93692427,2.50823077,0.01118039,2.96748735
-4.92546273,4.68639343,0.14604733,0.00408362,2.92506360,2.51166305,0.01253676,2.97135412
-4.91945973,4.78359686,0.15798144,0.00440377,2.92073575,2.52037747,0.01400546,2.98222973
-4.91345673,4.89234647,0.17007362,0.00473761,2.92460433,2.53469080,0.01558175,3.00047888
-4.90745373,5.01211022,0.18218625,0.00508280,2.93712105,2.55474650,0.01725917,3.02626083
-4.90145073,5.14205293,0.19417761,0.00543682,2.95850558,2.58050520,0.01902928,3.05951664
-4.89544772,5.28104426,0.20590496,0.00579697,2.98873464,2.61174300,0.02088158,3.09996548
-4.88944472,5.42767738,0.21722769,0.00616042,3.02753995,2.64805719,0.02280339,3.14710969
-4.88344172,5.58029674,0.22801058,0.00652423,3.07441434,2.68887840,0.02477981,3.20024766
-4.87743872,5.73703307,0.23812677,0.00688535,3.12862510,2.73348840,0.02679378,3.25849338
-4.87143572,5.89584330,0.24746054,0.00724071,3.18923321,2.78104195,0.02882618,3.32080112
-4.86543272,6.05455353,0.25590974,0.00758716,3.25511727,2.83059158,0.03085602,3.38599399
-4.85942971,6.21090301,0.26338765,0.00792155,3.32500079,2.88111405,0.03286070,3.45279453
-4.85342671,6.36258747,0.26982435,0.00824074,3.39748160,2.93153701,0.03481638,3.51985633
-4.84742371,6.50730060,0.27516756,0.00854159,3.47106240,2.98076510,0.03669838,3.58579522
-4.84142071,6.64277281,0.27938280,0.00882103,3.54418167,3.02770455,0.03848169,3.64921912
-4.83541771,6.76680667,0.28245303,0.00907603,3.61524424,3.07128561,0.04014150,3.70875594
-4.82941471,6.87730915,0.28437785,0.00930368,3.68265122,3.11048255,0.04165379,3.76307893
-4.82341171,6.97232061,0.28517213,0.00950118,3.74482896,3.14433102,0.04299590,3.81092937
-4.81740870,7.05004110,0.28486445,0.00966591,3.80025708,3.17194274,0.04414716,3.85113648
-4.81140570,7.10885436,0.28349523,0.00979547,3.84749541,3.19251782,0.04508944,3.88263480
-4.80540270,7.14734997,0.28111479,0.00988771,3.88520990,3.20535482,0.04580768,3.90447912
-4.79939970,7.16434411,0.27778139,0.00994082,3.91219747,3.20985892,0.04629038,3.91585736
-4.79339670,7.15889914,0.27355937,0.00995335,3.92740961,3.20554860,0.04652996,3.91610161
-4.78739370,7.13034202,0.26851753,0.00992430,3.92997466,3.19206100,0.04652306,3.90469764
-4.78139070,7.07828143,0.26272765,0.00985314,3.91921827,3.16915629,0.04627071,3.88129300
-4.77538769,7.00262316,0.25626347,0.00973990,3.89468186,3.13672120,0.04577837,3.84570384
-4.76938469,6.90358331,0.24919986,0.00958516,3.85613839,3.09477179,0.04505595,3.79792050
-4.76338169,6.78169856,0.24161240,0.00939011,3.80360517,3.04345552,0.04411756,3.73811176
-4.75737869,6.63783277,0.23357719,0.00915654,3.73735294,2.98305241,0.04298134,3.66662761
-4.75137569,6.47317919,0.22517102,0.00888685,3.65791091,2.91397541,0.04166902,3.58400037
-4.74537269,6.28925761,0.21647162,0.00858402,3.56606742,2.83676947,0.04020554,3.49094387
-4.73936968,6.08790593,0.20755819,0.00825156,3.46286574,2.75210933,0.03861859,3.38835049
-4.73336668,5.87126558,0.19851185,0.00789347,3.34959510,2.66079569,0.03693805,3.27728577
-4.72736368,5.64176082,0.18941621,0.00751416,3.22777672,2.56374960,0.03519551,3.15898033
-4.72136068,5.40207181,0.18035775,0.00711833,3.09914531,2.46200470,0.03342371,3.03481908
-4.71535768,5.15510163,0.17142617,0.00671096,2.96562595,2.35669739,0.03165608,2.90632732
-4.70935468,4.90393781,0.16271439,0.00629712,2.82930716,2.24905470,0.02992625,2.77515398
-4.70335168,4.65180886,0.15431843,0.00588189,2.69241035,2.14037978,0.02826765,2.64305187
-4.69734867,4.40203665,0.14633695,0.00547032,2.55725644,2.03203524,0.02671315,2.51185505
-4.69134567,4.15798554,0.13887046,0.00506722,2.42623015,1.92542434,0.02529473,2.38345369
-4.68534267,3.92300912,0.13202030,0.00467718,2.30174265,1.82197032,0.02404328,2.25976651
-4.67933967,3.70039581,0.12588725,0.00430443,2.18619307,1.72309419,0.02298835,2.14271141
-4.67333667,3.49331417,0.12056993,0.00395277,2.08192960,1.63019142,0.02215803,2.03417453
-4.66733367,3.30475911,0.11616295,0.00362555,1.99121061,1.54460778,0.02157881,1.93597847
-4.66133067,3.13749999,0.11275488,0.00332560,1.91616638,1.46761518,0.02127547,1.84985017
-4.65532766,2.99403170,0.11042611,0.00305523,1.85876188,1.40038772,0.02127103,1.77738899
-4.64932466,2.87652952,0.10924668,0.00281620,1.82076128,1.34397873,0.02158659,1.72003592
-4.64332166,2.78680887,0.10927414,0.00260973,1.80369451,1.29929925,0.02224129,1.67904431
-4.63731866,2.72629068,0.11055153,0.00243650,1.80882664,1.26709859,0.02325211,1.65545304
-4.63131566,2.69597323,0.11310559,0.00229667,1.83713066,1.24794740,0.02463375,1.65006277
-4.62531266,2.69641114,0.11694522,0.00218994,1.88926428,1.24222378,0.02639837,1.66341583
-4.61930965,2.72770220,0.12206037,0.00211554,1.96555165,1.25010291,0.02855531,1.69578060
-4.61330665,2.78948255,0.12842134,0.00207230,2.06597054,1.27155040,0.03111083,1.74714076
-4.60730365,2.88093058,0.13597857,0.00205868,2.19014600,1.30631981,0.03406769,1.81718998
-4.60130065,3.00077981,0.14466309,0.00207283,2.33735088,1.35395434,0.03742472,1.90533243
-4.59529765,3.14734082,0.15438738,0.00211262,2.50651391,1.41379300,0.04117641,2.01068938
-4.58929465,3.31853196,0.16504696,0.00217571,2.69623569,1.48498102,0.04531243,2.13211194
