energy_ev,total_up,Co_p_up,Co_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-3.64082041,2.62189850,0.17355972,1.36516402,0.16546719,0.06833282,0.01710700,0.03553034,0.01946514,1.41171871
-3.63481741,2.46815532,0.17681969,1.24317750,0.17426439,0.07173602,0.01741915,0.03898965,0.01998637,1.33726692
-3.62881441,2.34101702,0.18174647,1.13513570,0.18607401,0.07635549,0.01762516,0.04337776,0.02041486,1.27687840
-3.62281141,2.24140288,0.18843236,1.04149722,0.20099859,0.08223070,0.01772152,0.04873990,0.02074918,1.23103944
-3.61680840,2.16987293,0.19696305,0.96246865,0.21914360,0.08939700,0.01770735,0.05512079,0.02099062,1.20006038
-3.61080540,2.12662340,0.20741248,0.89801656,0.24060731,0.09788221,0.01758442,0.06256113,0.02114312,1.18407095
-3.60480240,2.11148346,0.21983718,0.84788257,0.26546978,0.10770295,0.01735705,0.07109385,0.02121302,1.18301566
-3.59879940,2.12391281,0.23427024,0.81160059,0.29378143,0.11886070,0.01703185,0.08074027,0.02120882,1.19664907
-3.59279640,2.16300025,0.25071513,0.78851547,0.32555138,0.13133785,0.01661752,0.09150621,0.02114071,1.22453118
-3.58679340,2.22746361,0.26913962,0.77780266,0.36073608,0.14509383,0.01612445,0.10337825,0.02102016,1.26602338
-3.58079040,2.31565213,0.28947030,0.77848828,0.39922880,0.16006174,0.01556431,0.11632035,0.02085943,1.32028556
-3.57478739,2.42555241,0.31158773,0.78946963,0.44085037,0.17614544,0.01494964,0.13027084,0.02067100,1.38627541
