energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-5.52576288,9.45691702,0.02381440,1.29460567,0.91670549,0.61832726,0.08591659,3.62039115,6.00846321,2.29325826
-5.51975988,9.29660942,0.02197728,1.28629398,0.90939688,0.60006290,0.08036003,3.55689826,5.81470976,2.27517385
-5.51375688,9.14925332,0.02022804,1.27787512,0.90484221,0.58297045,0.07494212,3.50157777,5.61874049,2.25985490
-5.50775388,9.01478703,0.01857716,1.26926149,0.90280884,0.56712721,0.06969968,3.45429259,5.42199020,2.24704682
-5.50175088,8.89238364,0.01703213,1.26031505,0.90294165,0.55255124,0.06466381,3.41451608,5.22564567,2.23633101
-5.49574787,8.78052218,0.01559763,1.25085401,0.90477965,0.53920572,0.05985976,3.38136914,5.03065780,2.22714344
-5.48974487,8.67708351,0.01427570,1.24066111,0.90777700,0.52700489,0.05530695,3.35367025,4.83776205,2.21879860
-5.48374187,8.57946687,0.01306613,1.22949349,0.91132760,0.51582141,0.05101909,3.32999600,4.64750525,2.21051751
-5.47773887,8.48472172,0.01196666,1.21709356,0.91479204,0.50549456,0.04700450,3.30874969,4.46027656,2.20145905
-5.47173587,8.38968971,0.01097347,1.20320056,0.91752577,0.49583931,0.04326642,3.28823482,4.27634081,2.19075323
-5.46573287,8.29115095,0.01008142,1.18756247,0.91890725,0.48665559,0.03980352,3.26673079,4.09587230,2.17753522
-5.45972986,8.18596909,0.00928449,1.16994778,0.91836486,0.47773761,0.03661043,3.24256757,3.91898764,2.16097891
-5.45372686,8.07122985,0.00857608,1.15015664,0.91540135,0.46888296,0.03367833,3.21419670,3.74577631,2.14032886
-5.44772386,7.94436795,0.00794936,1.12803108,0.90961505,0.45990114,0.03099566,3.18025586,3.57632812,2.11492945
-5.44172086,7.80327824,0.00739753,1.10346387,0.90071672,0.45062136,0.02854871,3.13962482,3.41075675,2.08425031
-5.43571786,7.64640742,0.00691409,1.07640571,0.88854169,0.44089932,0.02632239,3.09147095,3.24921902,2.04790715
-5.42971486,7.47282341,0.00649308,1.04687045,0.87305670,0.43062293,0.02430082,3.03528274,3.09192962,2.00567741
-5.42371186,7.28226075,0.00612921,1.01493822,0.85436147,0.41971683,0.02246799,2.97089074,2.93917130,1.95751024
-5.41770885,7.07514099,0.00581806,0.98075628,0.83268494,0.40814551,0.02080830,2.89847522,2.79130034,1.90353058
