energy_ev,total_up,As_p_up,As_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
2.89044522,2.44870174,0.50705539,0.00000000,1.39851000,1.23393695,0.41562550,0.00000000
2.89644822,2.44129537,0.50050536,0.00000000,1.39351530,1.23322556,0.41260499,0.00000000
2.90245123,2.42788416,0.49274105,0.00000000,1.38539373,1.22963016,0.40895216,0.00000000
2.90845423,2.40896347,0.48390352,0.00000000,1.37444017,1.22337265,0.40476386,0.00000000
2.91445723,2.38511081,0.47415172,0.00000000,1.36098604,1.21471262,0.40014415,0.00000000
2.92046023,2.35696621,0.46365746,0.00000000,1.34538911,1.20393852,0.39520033,0.00000000
2.92646323,2.32521083,0.45260006,0.00000000,1.32802295,1.19135805,0.39003875,0.00000000
2.93246623,2.29054489,0.44116083,0.00000000,1.30926662,1.17728816,0.38476075,0.00000000
2.93846923,2.25366600,0.42951771,0.00000000,1.28949514,1.16204523,0.37945871,0.00000000
2.94447224,2.21524900,0.41784036,0.00000000,1.26907103,1.14593592,0.37421279,0.00000000
2.95047524,2.17592826,0.40628577,0.00000000,1.24833739,1.12924912,0.36908825,0.00000000
2.95647824,2.13628313,0.39499479,0.00000000,1.22761267,1.11224934,0.36413374,0.00000000
2.96248124,2.09682707,0.38408954,0.00000000,1.20718713,1.09517180,0.35938047,0.00000000
2.96848424,2.05800079,0.37367173,0.00000000,1.18732115,1.07821934,0.35484246,0.00000000
2.97448724,2.02016922,0.36382199,0.00000000,1.16824497,1.06156116,0.35051767,0.00000000
2.98049025,1.98362228,0.35460008,0.00000000,1.15015979,1.04533329,0.34639001,0.00000000
2.98649325,1.94857874,0.34604583,0.00000000,1.13323975,1.02964054,0.34243206,0.00000000
2.99249625,1.91519272,0.33818075,0.00000000,1.11763442,1.01455959,0.33860829,0.00000000
2.99849925,1.88356185,0.33101001,0.00000000,1.10347143,1.00014301,0.33487855,0.00000000
3.00450225,1.85373659,0.32452481,0.00000000,1.09085885,0.98642361,0.33120163,0.00000000
3.01050525,1.82572964,0.31870475,0.00000000,1.07988696,0.97341892,0.32753865,0.00000000
3.01650825,1.79952493,0.31352027,0.00000000,1.07062928,0.96113539,0.32385607,0.00000000
3.02251126,1.77508561,0.30893485,0.00000000,1.06314265,0.94957197,0.32012820,0.00000000
3.02851426,1.75236057,0.30490704,0.00000000,1.05746646,0.93872300,0.31633901,0.00000000
3.03451726,1.73128940,0.30139223,0.00000000,1.05362109,0.92858025,0.31248328,0.00000000
3.04052026,1.71180569,0.29834410,0.00000000,1.05160578,0.91913403,0.30856697,0.00000000
3.04652326,1.69383890,0.29571586,0.00000000,1.05139633,0.91037358,0.30460696,0.00000000
3.05252626,1.67731497,0.29346123,0.00000000,1.05294282,0.90228671,0.30063009,0.00000000
3.05852926,1.66215621,0.29153531,0.00000000,1.05616792,0.89485915,0.29667175,0.00000000
3.06453227,1.64828083,0.28989535,0.00000000,1.06096592,0.88807349,0.29277409,0.00000000
3.07053527,1.63560246,0.28850150,0.00000000,1.06720303,0.88190827,0.28898398,0.00000000
3.07653827,1.62403017,0.28731754,0.00000000,1.07471886,0.87633719,0.28535092,0.00000000
3.08254127,1.61346920,0.28631170,0.00000000,1.08332946,0.87132874,0.28192492,0.00000000
3.08854427,1.60382251,0.28545752,0.00000000,1.09283163,0.86684628,0.27875457,0.00000000
3.09454727,1.59499324,0.28473464,0.00000000,1.10300860,0.86284858,0.27588531,0.00000000
3.10055028,1.58688795,0.28412973,0.00000000,1.11363660,0.85929089,0.27335798,0.00000000
3.10655328,1.57942039,0.28363719,0.00000000,1.12449211,0.85612639,0.27120763,0.00000000
3.11255628,1.57251537,0.28325972,0.00000000,1.13535924,0.85330775,0.26946258,0.00000000
3.11855928,1.56611262,0.28300875,0.00000000,1.14603694,0.85078891,0.26814381,0.00000000
3.12456228,1.56016985,0.28290437,0.00000000,1.15634542,0.84852660,0.26726446,0.00000000
3.13056528,1.55466497,0.28297505,0.00000000,1.16613151,0.84648158,0.26682953,0.00000000
