energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-4.88344172,5.60629535,0.01675360,0.90428044,2.66614449,0.00000000,1.63302021,1.07567634,1.02030479,0.82400451
-4.87743872,5.72583633,0.01728549,0.94505175,2.69455087,0.00000000,1.68978631,1.11661795,1.02274958,0.83896187
-4.87143572,5.84281422,0.01779567,0.98788738,2.71849830,0.00000000,1.74741759,1.16019262,1.02401884,0.85185565
-4.86543272,5.95652646,0.01827754,1.03253262,2.73781062,0.00000000,1.80561129,1.20618420,1.02408601,0.86262099
-4.85942971,6.06627317,0.01872463,1.07868702,2.75237450,0.00000000,1.86402992,1.25432065,1.02293341,0.87123078
-4.85342671,6.17136492,0.01913077,1.12600767,2.76214144,0.00000000,1.92230455,1.30427580,1.02055154,0.87769612
-4.84742371,6.27113151,0.01949029,1.17411396,2.76712849,0.00000000,1.98003983,1.35567305,1.01693850,0.88206555
-4.84142071,6.36493163,0.01979820,1.22259397,2.76741734,0.00000000,2.03682051,1.40809089,1.01209960,0.88442341
-4.83541771,6.45216299,0.02005031,1.27101211,2.76315208,0.00000000,2.09221940,1.46107029,1.00604705,0.88488694
-4.82941471,6.53227292,0.02024337,1.31891795,2.75453528,0.00000000,2.14580639,1.51412359,0.99880001,0.88360264
-4.82341171,6.60476870,0.02037523,1.36585604,2.74182279,0.00000000,2.19715817,1.56674487,0.99038477,0.88074169
-4.81740870,6.66922768,0.02044487,1.41137617,2.72531718,0.00000000,2.24586828,1.61842122,0.98083513,0.87649476
-4.81140570,6.72530660,0.02045246,1.45504399,2.70536009,0.00000000,2.29155715,1.66864482,0.97019310,0.87106643
-4.80540270,6.77274998,0.02039936,1.49645145,2.68232393,0.00000000,2.33388159,1.71692520,0.95850965,0.86466932
-4.79939970,6.81139732,0.02028807,1.53522672,2.65660305,0.00000000,2.37254342,1.76280129,0.94584572,0.85751834
