energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
1.98999500,1.51142348,0.04985591,0.22503261,0.39198868,0.18353970,0.66144675,0.01995018,0.85933381,0.00000000
1.99599800,1.39320869,0.04304258,0.21445751,0.36072980,0.16869255,0.59510516,0.01901078,0.82262615,0.00000000
2.00200100,1.28207296,0.03690515,0.20510680,0.33272508,0.15405724,0.53269415,0.01811504,0.78571244,0.00000000
2.00800400,1.17823515,0.03142496,0.19685083,0.30778905,0.13978400,0.47444856,0.01726350,0.74890706,0.00000000
2.01400700,1.08174235,0.02657383,0.18953699,0.28568227,0.12600669,0.42050933,0.01645497,0.71246839,0.00000000
2.02001001,0.99249063,0.02231614,0.18299805,0.26612624,0.11284045,0.37093091,0.01568674,0.67659862,0.00000000
2.02601301,0.91024859,0.01861071,0.17706031,0.24881804,0.10038007,0.32569024,0.01495500,0.64144634,0.00000000
2.03201601,0.83468250,0.01541278,0.17155130,0.23344423,0.08869934,0.28469677,0.01425516,0.60711149,0.00000000
2.03801901,0.76538187,0.01267557,0.16630677,0.21969348,0.07785095,0.24780316,0.01358219,0.57365223,0.00000000
2.04402201,0.70188436,0.01035185,0.16117668,0.20726755,0.06786728,0.21481618,0.01293100,0.54109300,0.00000000
2.05002501,0.64369917,0.00839515,0.15603007,0.19589036,0.05876162,0.18550730,0.01229675,0.50943332,0.00000000
2.05602801,0.59032811,0.00676075,0.15075863,0.18531499,0.05053000,0.15962292,0.01167509,0.47865657,0.00000000
2.06203102,0.54128371,0.00540646,0.14527900,0.17532858,0.04315326,0.13689373,0.01106238,0.44873828,0.00000000
2.06803402,0.49610414,0.00429319,0.13953377,0.16575519,0.03659947,0.11704310,0.01045585,0.41965349,0.00000000
2.07403702,0.45436449,0.00338526,0.13349132,0.15645669,0.03082634,0.09979437,0.00985369,0.39138271,0.00000000
2.08004002,0.41568466,0.00265061,0.12714446,0.14733197,0.02578372,0.08487698,0.00925507,0.36391639,0.00000000
2.08604302,0.37973382,0.00206082,0.12050830,0.13831473,0.02141595,0.07203137,0.00866011,0.33725770,0.00000000
2.09204602,0.34623185,0.00159099,0.11361726,0.12937005,0.01766408,0.06101277,0.00806982,0.31142364,0.00000000
2.09804902,0.31494809,0.00121964,0.10652165,0.12049015,0.01446780,0.05159381,0.00748596,0.28644469,0.00000000
2.10405203,0.28569794,0.00092838,0.09928384,0.11168959,0.01176715,0.04356626,0.00691089,0.26236315,0.00000000
2.11005503,0.25833786,0.00070170,0.09197440,0.10300018,0.00950395,0.03674179,0.00634743,0.23923042,0.00000000
