energy_ev,total_up,Hg_p_up,Hg_d_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-1.61180590,1.38383491,0.39117637,0.11996751,0.13299832,0.00332992,0.47345727,0.01584869,0.55939723
-1.60580290,1.42028272,0.39572062,0.12354321,0.13789093,0.00325208,0.47606460,0.01633849,0.58232385
-1.59979990,1.45658952,0.39983162,0.12705571,0.14282255,0.00320520,0.47771396,0.01681219,0.60650291
-1.59379690,1.49231929,0.40345155,0.13045705,0.14774237,0.00319481,0.47837186,0.01726495,0.63166277
-1.58779390,1.52704915,0.40653847,0.13370156,0.15260426,0.00322757,0.47801958,0.01769268,0.65751937
-1.58179090,1.56038467,0.40906879,0.13674743,0.15736948,0.00331117,0.47665519,0.01809223,0.68378504
-1.57578789,1.59197669,0.41103964,0.13955843,0.16200950,0.00345417,0.47429562,0.01846169,0.71017864
-1.56978489,1.62153885,0.41247090,0.14210554,0.16650863,0.00366587,0.47097862,0.01880057,0.73643663
-1.56378189,1.64886508,0.41340692,0.14436864,0.17086643,0.00395608,0.46676460,0.01911005,0.76232451
-1.55777889,1.67384580,0.41391761,0.14633792,0.17509949,0.00433487,0.46173809,0.01939315,0.78764808
-1.55177589,1.69648174,0.41409894,0.14801501,0.17924270,0.00481233,0.45600877,0.01965484,0.81226364
-1.54577289,1.71689421,0.41407254,0.14941381,0.18334954,0.00539826,0.44971169,0.01990208,0.83608658
-1.53976988,1.73533054,0.41398426,0.15056073,0.18749147,0.00610180,0.44300670,0.02014382,0.85909743
-1.53376688,1.75216373,0.41400164,0.15149447,0.19175625,0.00693107,0.43607678,0.02039081,0.88134485
-1.52776388,1.76788564,0.41431017,0.15226513,0.19624515,0.00789276,0.42912518,0.02065537,0.90294502
-1.52176088,1.78309312,0.41510817,0.15293268,0.20106904,0.00899174,0.42237129,0.02095104,0.92407700
-1.51575788,1.79846715,0.41660061,0.15356490,0.20634355,0.01023060,0.41604528,0.02129206,0.94497408
-1.50975488,1.81474528,0.41899166,0.15423462,0.21218338,0.01160924,0.41038149,0.02169288,0.96591114
-1.50375188,1.83268835,0.42247644,0.15501666,0.21869592,0.01312454,0.40561085,0.02216746,0.98718847
-1.49774887,1.85304271,0.42723209,0.15598426,0.22597463,0.01476996,0.40195247,0.02272863,1.00911275
-1.49174587,1.87649950,0.43340865,0.15720541,0.23409230,0.01653534,0.39960481,0.02338740,1.03197601
-1.48574287,1.90365331,0.44111998,0.15873921,0.24309469,0.01840671,0.39873679,0.02415223,1.05603374
-1.47973987,1.93496211,0.45043551,0.16063230,0.25299483,0.02036624,0.39947926,0.02502843,1.08148333
-1.47373687,1.97071096,0.46137293,0.16291576,0.26376829,0.02239236,0.40191730,0.02601764,1.10844420
-1.46773387,2.01098170,0.47389258,0.16560260,0.27534988,0.02445993,0.40608390,0.02711736,1.13694081
-1.46173087,2.05563064,0.48789389,0.16868586,0.28763189,0.02654069,0.41195525,0.02832075,1.16688983
-1.45572786,2.10427604,0.50321411,0.17213771,0.30046411,0.02860374,0.41944823,0.02961646,1.19809240
-1.44972486,2.15629653,0.51962978,0.17590942,0.31365583,0.03061622,0.42842016,0.03098879,1.23023223
-1.44372186,2.21084121,0.53686090,0.17993233,0.32697970,0.03254411,0.43867117,0.03241798,1.26287992
-1.43771886,2.26685144,0.55457781,0.18411983,0.34017748,0.03435316,0.44994900,0.03388067,1.29550372
-1.43171586,2.32309373,0.57241076,0.18837024,0.35296743,0.03600978,0.46195640,0.03535058,1.32748614
-1.42571286,2.37820233,0.58996153,0.19257045,0.36505303,0.03748214,0.47436059,0.03679931,1.35814601
-1.41970985,2.43072983,0.60681693,0.19660019,0.37613287,0.03874106,0.48680463,0.03819732,1.38676478
-1.41370685,2.47920316,0.62256349,0.20033677,0.38591095,0.03976104,0.49892017,0.03951489,1.41261579
