energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
0.64532266,4.25949824,-4.88144902,0.03709024,-0.02368398,0.68242056,-0.62737744,0.75317880,-0.89597062,0.98883061,-1.23167130,0.06400754,-0.09419642,2.08648633,-2.55219200
0.65132566,4.50184056,-5.05303541,0.04090844,-0.02576343,0.72542954,-0.65451437,0.79350516,-0.92777135,1.03813596,-1.26595358,0.06698891,-0.09524117,2.21078617,-2.64979436
0.65732866,4.74782561,-5.21926073,0.04483416,-0.02787130,0.76905538,-0.68069335,0.83457683,-0.95899300,1.08758271,-1.29855129,0.06981375,-0.09593444,2.33821389,-2.74558759
0.66333167,4.99608137,-5.37844402,0.04882687,-0.02998305,0.81299808,-0.70565935,0.87623173,-0.98931358,1.13686430,-1.32910387,0.07244513,-0.09628099,2.46821065,-2.83862606
0.66933467,5.24508903,-5.52876899,0.05284198,-0.03207223,0.85692895,-0.72914475,0.91828164,-1.01837685,1.18564930,-1.35722017,0.07484951,-0.09628915,2.60013724,-2.92787774
0.67533767,5.49318372,-5.66832311,0.05683188,-0.03411124,0.90049287,-0.75087452,0.96051033,-1.04580119,1.23358117,-1.38248667,0.07699768,-0.09597039,2.73327063,-3.01224776
0.68134067,5.73856647,-5.79515062,0.06074716,-0.03607208,0.94331266,-0.77057323,1.00267361,-1.07119113,1.28028063,-1.40447927,0.07886561,-0.09533900,2.86680566,-3.09060906
0.68734367,5.97932778,-5.90731727,0.06453796,-0.03792726,0.98499563,-0.78797384,1.04450140,-1.09415102,1.32535060,-1.42277816,0.08043535,-0.09441174,2.99986200,-3.16183863
0.69334667,6.21348242,-6.00298363,0.06815546,-0.03965073,1.02514215,-0.80282791,1.08570194,-1.11430007,1.36838378,-1.43698487,0.08169581,-0.09320779,3.13149623,-3.22485760
0.69934967,6.43901426,-6.08048307,0.07155343,-0.04121882,1.06335622,-0.81491671,1.12596768,-1.13128799,1.40897251,-1.44674068,0.08264331,-0.09174857,3.26071848,-3.27867289
